"mzref","mzmatch","mzshift"
348.9437416,348.943725585938,-0.0458929638239406
362.9593916,362.959228515625,-0.449318515453352
376.9750416,376.975006103516,-0.0941613646930844
382.9047696,382.904632568359,-0.357873945463965
390.9906916,390.990539550781,-0.388881940178171
396.9204196,396.919799804688,-1.56151027232877
410.9360696,410.935485839844,-1.4205619789336
418.8628476,418.862915039062,0.161005118685652
424.9517196,424.951721191406,0.00374491074327711
432.8784976,432.878234863281,-0.606952574936298
438.9673696,438.966979980469,-0.887581989496516
446.8941476,446.894073486328,-0.165841670269393
460.9097976,460.909820556641,0.0498072307297701
461.0689416,461.068359375,-1.26277210951586
474.9254476,474.925231933594,-0.454105812446782
480.8551756,480.854949951172,-0.469265674095999
488.9410976,488.941131591797,0.0695212512592557
494.8708256,494.871215820312,0.788529637077866
508.8864756,508.885498046875,-1.92096503219181
