mz,rt,dust11.mzXML,dust12.mzXML,dust13.mzXML,dust16.mzXML,dust19.mzXML,dust2.mzXML,dust20.mzXML,dust21.mzXML,dust22.mzXML,dust23.mzXML,dust24.mzXML,dust25.mzXML,dust26.mzXML,dust29.mzXML,dust3.mzXML,dust30.mzXML,dust33.mzXML,dust34.mzXML,dust4.mzXML,dust5.mzXML,dust6.mzXML,dust7.mzXML,dust8.mzXML,dust9.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,chracaterscore,ionmodescore,adductscore,MS2score,allscore,formulacount,mserrorcount,MS1scorecount,MS1scorefail,MS2scorecount,MS2scorefail,neutralscorecount,neutralscorefail,chascorecount,chascorefail,adductscorecount,adductscorefail,ionmodescorecount,ionmodescorefail,isoscorecount,isoscorefail,temp.scorecount,temp.scorefail,temp.scorevalues
484.8394979,12.8852,100,100,100,100,100,100,100,100,100,100,100,119164.1484,100,100,100,100,100,100,100,100,100,100,100,100,12,C13H10Br2N2O4S,-4.605170154,-3.74074843,-9.345918584,BrCC(Br)CO[S](=O)(=O)c1cccc2C(=O)C(C=Cc12)=[N+]=[N-],23180,[M+Cl]-,0,0,-0.5,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-9.845918584
484.8394979,12.8852,100,100,100,100,100,100,100,100,100,100,100,151469.9531,100,100,100,100,100,100,100,100,100,100,100,100,12,C13H10Br2N2O4S,-4.605170154,-3.74074843,-7.345918584,BrCC(Br)CO[S](=O)(=O)c1cccc2C(=O)C(C=Cc12)=[N+]=[N-],23180,[M+Cl]-,0,0,-0.5,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,-6.845918584
482.881012,12.6247,100,100,100,23277.25,422562.7188,1676184,31088.91211,522569.4063,100,100,100,33935.69141,100,100,100,100,100,27259.97461,12212.05957,299606.0625,100,26963.84961,100,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,1,35,35,35,35,35,35,35,6,35,5,35,0,35,1,1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;0.519617382612112;1.01961738261211;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;-3.41443226677073
482.881012,12.6247,100,100,100,20871.86133,422562.7188,580009.4375,31088.91211,522569.4063,100,100,100,100,100,100,100,100,100,27259.97461,12212.05957,299606.0625,100,24853.2793,100,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,1,35,35,35,35,35,35,35,6,35,5,35,0,35,1,1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;0.519617382612112;1.01961738261211;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;-3.41443226677073
484.9101664,11.85376667,48778.49219,100,11647.15918,45271.35156,14561.50684,37654.17969,100,23862.37695,100,100,17303.13672,100,13068.62891,19162.66992,100,100,100,241804.8594,27642.27734,25830.32031,26323.99219,95878.39063,49600.90234,100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,1,35,35,35,35,35,35,35,6,35,5,35,0,35,1,1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;0.519617382612112;1.01961738261211;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;-3.41443226677073
484.9101664,11.85376667,48778.49219,100,18791.97461,52255.10547,14561.50684,53250.44141,100,23862.37695,9107.232422,100,17303.13672,100,13068.62891,19162.66992,100,100,100,241804.8594,27642.27734,25830.32031,26323.99219,95878.39063,49600.90234,100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,1,35,35,35,35,35,35,35,6,35,5,35,0,35,1,1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;0.519617382612112;1.01961738261211;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;-3.41443226677073
484.9101664,11.85376667,48778.49219,100,18791.97461,55062.83594,100,53250.44141,100,23862.37695,9107.232422,100,17303.13672,100,13068.62891,19162.66992,100,100,100,224619.3281,27642.27734,25830.32031,26323.99219,87870.97656,49600.90234,100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,1,35,35,35,35,35,35,35,6,35,5,35,0,35,1,1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;0.519617382612112;1.01961738261211;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;-3.41443226677073
484.9101664,11.85376667,31276.25391,100,18791.97461,55062.83594,100,53250.44141,100,7870.438965,9107.232422,100,12622.64453,100,100,100,100,100,100,174398.4375,27642.27734,20852.72852,26323.99219,104528.8516,31551.5332,100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,1,35,35,35,35,35,35,35,6,35,5,35,0,35,1,1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;0.519617382612112;1.01961738261211;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;-3.41443226677073
482.9291077,8.6292,100,100,100,5430.519043,100,1166004.875,100,100,100,100,100,100,100,100,100,100,100,5973.782715,100,100,100,3367.75708,4591.542969,8448.74707,6,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,1,35,35,35,35,35,35,35,6,35,5,35,0,35,1,1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;0.519617382612112;1.01961738261211;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;-3.41443226677073
482.9316101,11.626,668901.125,126530.0313,151456.3594,445013.5625,167142.6719,428285.8125,37412.47266,104895.2891,79451.25,327447.4375,111874.75,125539.9688,119975.4609,125939.6406,176501.5469,100,164336.1563,2499990.5,221454.8125,204471.5625,120052.9922,1500086.625,400706.0313,304415.4063,18,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,1,35,35,35,35,35,35,35,6,35,5,35,0,35,1,1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;1.01961738261211;0.519617382612112;0.519617382612112;1.01961738261211;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.519617382612112;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;0.0196173826121115;-3.41443226677073
