ï..mz,rt,dust11,dust12,dust13,dust16,dust19,dust2,dust20,dust21,dust22,dust23,dust24,dust25,dust26,dust29,dust3,dust30,dust33,dust34,dust4,dust5,dust6,dust7,dust8,dust9,SampleID,Final,CpdID,avg,Common Name,Class,IUPAC Name (if no other info available)
366.0652161,10.81441667,155441.7656,117699.6016,13435.13574,298906.7813,410926.9688,208244.6719,100,111025.4375,12622.77246,144269.1094,186539.6406,629708,72131.67188,618326.5,70196.10938,44197.08203,184496.5156,16558.16602,48927.29297,520522.5,60738.44922,155190.4531,168433.5469,11888.58496,12,C16H16Cl2N4O2,15,177521.9482,,Chlorinated Azo Dye,
365.0575867,9.470133333,495662.5313,202606.4063,36847.65625,750663,61138.99609,161835.2188,18676.93164,12366.89355,100,702751.9375,158666.7188,100,175819.3125,109215.3047,63660.94922,99570.61719,136401.3906,79120.96875,100,48723.01953,144849.4063,303588.4375,209820.6719,66567.83594,4,C16H16Cl2N4O2,16,168285.5918,,Chlorinated Azo Dye,
363.0421855,11.08878333,15671.69922,100,100,100,100,268926.8125,100,100,174320.2188,100,100,3834726.25,45269.3125,121506.7188,17813.20313,100,100,100,100,99789.14844,100,100,100,100,12,C16H16Cl2N4O3,17,190817.6401,,Chlorinated Azo Dye,
348.0996094,9.9616,46823.59766,53447.22656,9981.008789,631067.0625,20547.43359,79521.4375,19520.2207,55913.92188,9396.150391,59084.63672,33239.16016,100,140766.6406,100,11200.24609,161234.6094,100,25041.0293,100,41303.69141,109417.4609,139816.4531,216209.9531,10391.54395,4,C16H17ClN4O3,18,78096.81185,Disperse Red 13,Chlorinated Azo Dye,
373.0708211,10.83323333,103575.8359,7855.817383,100,12478.69043,9224.385742,100,100,100,4253.858398,18631.46289,100,8841.708008,25997.93164,100,100,100,6735.407715,100,100,100,100,12803.54492,43418.99609,100,1,C17H15ClN4O4,19,10629.90163,,Chlorinated Azo Dye,
425.0428467,10.96193333,58081.80859,100,100,26177.75,100,157255.2344,100,100,218483.6094,100,100,5471812,96146.02344,53000.0625,26196.03516,100,100,100,100,64635.90234,100,40438.23047,100,100,12,C17H15ClN4O5,20,258901.1107,,Chlorinated Azo Dye,
389.0661519,10.42255,441448.5938,140798.5156,85088.35156,593970.875,203584.5625,455935.6563,129579.4766,11363.79883,14784.74902,486692.25,69305.15625,66816.73438,285212.9063,241905.375,81072.98438,16371.31738,170896.5625,35160.70703,100,34666.0625,16827.3125,464907.75,1012442.625,100731.6406,23,C17H15ClN4O5,21,214985.9985,,Chlorinated Azo Dye,
526.0263468,10.21426667,296234.8125,333547.75,99343.15625,1194612.375,204076.5469,738942.5625,120190.7969,116050.375,49001.53516,475952.7813,819083.8125,8174.746582,389180.875,455370.4063,67619.54688,526463.9375,652905.3125,66680.50781,100,99750.08594,355180.5938,584671.25,490582.3125,148155.6719,4,C20H20BrClN4O6,22,345494.6563,,Bromochlorinated Azo Dye,
484.0731201,9.9616,515766.0938,315995.6875,72355.85938,882799.5,113117.7734,261086.1719,49257.11328,58958.28125,25477.94922,274634.625,757315.125,100,264738.4688,327196.1563,52863.45313,192681.7656,137154.2969,46646.99219,100,60202.59375,349614.9688,225779.3594,465413.0625,194902.8125,4,C20H20Cl2N4O6,23,235173.2546,,Chlorinated Azo Dye,
484.0732422,10.18536667,69072.71094,38900.58594,12133.27051,122341.5,100,38462.05859,100,10999.98145,100,50838.25781,132564.1719,100,15535.625,19397.58398,100,36317.44922,100,100,100,100,59454.08203,25528.00977,84037.67188,28791.53906,11,C20H20Cl2N4O6,24,31053.10409,,Chlorinated Azo Dye,
507.1299642,10.73496667,100,2160139.75,100,100,100,100,100,100,100,16484.43945,100,6608.682129,100,100,15204.74023,100,100,100,100,100,100,100,12374.5332,100,2,C22H24ClN5O7,25,92196.33938,,Chlorinated Azo Dye,
505.1370646,10.09451667,90465.0625,14120.52637,18903.72266,100,34821.03906,39527.81641,10703.10645,28054.27344,16979.67969,20263.05664,30902.23438,34964.10156,28132.16406,14205.32715,8837.447266,14752.53223,190802.5625,74361.54688,19450.9043,23051.01563,100,61399.83203,23663.75586,12641.13672,17,C22H24ClN5O7,26,33800.11849,,Chlorinated Azo Dye,
431.1397603,11.05828333,192814.1875,759718.1875,804085.25,400708.375,779817,838761.6875,971433,305822.1875,420508.1875,545456.6875,371137.3438,398474.3438,861663.9375,1068015.875,2473896,759678.375,399039.7188,482473.9375,643430.8125,487205.75,469507.4375,372430.5,321525.5625,1120277.125,15,C22H28ClN3O3S,27,676995.0612,,Chlorinated Azo Dye,
477.1085917,10.42015,361951.8125,413081.25,321407.7188,381541.5,565778.1875,556215.0625,361199.3125,436551.875,432016.1563,442588.0625,530937.8125,434711.75,346969.5,404622,180570.4375,468196.8438,541000.875,655435.1875,373593.0938,444106.0625,378599.8438,375470.2188,431764.5,397470,18,C23H21ClN6O5,28,426490.7943,,Chlorinated Azo Dye,
580.133016,9.770866667,163177.6406,235124.0938,35172.5,1008956.063,95105.11719,420496.125,36050.83984,100,2582.105713,208225.0313,146536.9219,100,280095.0313,134646.2813,119795.8125,107217.6719,1294556.75,276985.2188,100,100,20965.11523,245209.8125,369335.4063,184201.0469,17,C23H25ClN6O10,29,224368.1077,Disperse Blue 79,Chlorinated Azo Dye,
460.0948181,11.61256667,32769.47656,20729.25391,100,56636.57813,100,113475.0859,100,100,100,100,100,100,100,16281.68457,100,100,30256.45508,100,100,100,13090.09473,51058.1875,41377.85547,73865.39844,6,C24H17ClN4O4,30,18789.1696,C.I. Pigment Red 14,Chlorinated Azo Dye,
216.9658508,10.59276667,142586.125,70000.49219,27026.97461,544181.125,73048.92969,133174.1406,23503.43359,126671.3438,13397.35156,174967.4688,179839.0938,10285.97949,115889.8125,99298.67188,32271.98047,229584.8281,87978.53906,58759.39844,100,102902.0703,134072.6563,124370.7891,164004.4688,47899.13281,4,C6H3ClN2O5,31,113158.9502,,Yellow Disperse Dye Intermediate,
215.9817301,7.0767,253351.6406,210971.4375,96677.375,642305.6875,104039.4453,234073.125,46395.89063,94306.70313,112721.8594,274039.125,508394.7813,39093.0625,299426,190573.5313,104805.5781,316734.5,130673.4922,83081.99219,100,184700.3906,228712.5625,139941.5938,574859.25,52109.55859,4,C6H4ClN3O4,32,205087.0243,,Yellow Disperse Dye Intermediate,"2-chloro-4,6-dinitroaniline"
263.0927124,8.352466667,223746.5313,247680.2344,278755.9688,155850.125,234853.4063,281002.0938,254617.7344,157555,216956.1094,366805.9688,228141.2344,187024.8125,147171.6563,252442.0313,208289.9219,266139.125,339515.8125,366949.8438,266154.0938,436792.5938,153615.5625,266643.5313,195625.5781,260304.6563,20,C8H20Cl2N2,33,249693.0677,,Chlorinated Azo Dye,
