m/z,Retention Time (min.),Peak Intensity - Dust 11,Peak Intensity - Dust 12,Peak Intensity - Dust 13,Peak Intensity - Dust 16,Peak Intensity - Dust 19,Peak Intensity - Dust 2,Peak Intensity - Dust 20,Peak Intensity - Dust 21,Peak Intensity - Dust 22,Peak Intensity - Dust 23,Peak Intensity - Dust 24,Peak Intensity - Dust 25,Peak Intensity - Dust 26,Peak Intensity - Dust 29,Peak Intensity - Dust 3,Peak Intensity - Dust 30,Peak Intensity - Dust 33,Peak Intensity - Dust 34,Peak Intensity - Dust 4,Peak Intensity - Dust 5,Peak Intensity - Dust 6,Peak Intensity - Dust 7,Peak Intensity - Dust 8,Peak Intensity - Dust 9,MedInt,All Formula Matches,Isotope Signal Score,Mass Error Score,MS1 Score,Neutral Loss Score,Characteristic Ion Score,Ion Mode Score,Adducts,Adduct Score,MS2 Score,RT Score,Weighted Scores,Final (Highest) Score,Formula,IUPAC,CAS Number,Primary Reported Use,SMILES,Orig Cmpd ID,Final Cmpd ID (by m/z),ClID
298.0723674,10.69753333,5.40680294,4.221864764,4.776482206,5.40851044,5.199907318,5.82796513,4.890639386,4.758351846,4.390374672,4.961014197,4.748082743,4.47449481,4.935940061,4.688342397,4.639078485,4.457692762,5.683759222,5.170946912,5.528728061,5.519944342,4.162159207,5.365349058,5.10522924,4.778210312,4.913289724,C16H13NO5;C13H15ClN2O4;C15H11NO3;C15H11NO3;C15H11NO3;C18H14O2;C18H14O2;C18H14O2;C18H14O2;C18H14O2;C9H18N3O4P,0.000697183226488485;-0.0580148702754837;0.000697183226488485;0.000697183226488485;0.000697183226488485;-0.537056355756787;-0.537056355756787;-0.537056355756787;-0.537056355756787;-0.537056355756787;-0.0703907342563116,0.00995033085316809;0.00995033085316809;-2.25718115198565;-2.25718115198565;-2.25718115198565;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;-4.57016999619005,1.01064751407966;0.951935460577684;-1.25648396875916;-1.25648396875916;-1.25648396875916;-1.52710602490362;-1.52710602490362;-1.52710602490362;-1.52710602490362;-1.52710602490362;-3.64056073044636,0,0,0;0;0;0;0;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5,[M-H]-;[M]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-,1;0.5;0;0;0;0;0;0;0;0;0,0.021550463318352;0;0.021550463318352;0.021550463318352;0.021550463318352;0;0;0;0;0;0,-2.08347969297002;-0.843445889729149;-0.525645192154702;-1.2271005923418;-1.2271005923418;-0.154038044694738;-0.982879294128022;-0.12776090339559;-0.12776090339559;-0.154038044694738;-6.58782156216425,-0.0512817155720091;0.608489570848531;-1.76057869759551;-2.46203409778261;-2.46203409778261;-0.154038044694738;-0.982879294128022;-0.12776090339559;-0.12776090339559;-0.154038044694738;-6.58782156216425,0.608489571,C13H15ClN2O4,"N-(2-chloro-5-nitrophenyl)-4,4-dimethyl-3-oxopentanamide",63163-96-2,Other,CC(C)(C)C(=O)CC(=O)Nc1cc(ccc1Cl)[N+]([O-])=O,235,193,21
305.0948079,10.3818,5.050222257,4.303069311,5.275526397,5.132689198,4.871462104,5.18462166,3.954463088,4.438781889,4.128513613,5.346002934,4.956408234,4.805299625,4.424480838,4.364401769,4.116896617,4.376763314,4.934820187,4.212099806,4.519770177,4.545251483,5.157808385,5.104301714,5.003736591,4.963311339,4.838380865,C16H18O4P;C16H19O4P;C17H18O3;C17H18O3;C16H17ClO;C13H15N5O2S,0.00891714491776965;0.00891714491776965;-0.0429468269929608;-0.0429468269929608;-0.0429468269929608;0.00484109960627719,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;-2.99019016848521,1.01886747577094;1.01886747577094;-0.0329964961397927;-0.0329964961397927;-0.0329964961397927;-1.98534906887894,0,0,-0.5;-0.5;-0.5;-0.5;0;0,[M]-;[M-H]-;[M+Cl]-;[M+Cl]-;[M+CH2O2-H]-;[M]-,0.5;1;0;0;0;0.5,0.847002688066615;1;0.663845666794478;0.663845666794478;0.743272933327089;0,-0.161255252356;-0.11060639668516;-0.0417974357240916;-0.0417974357240916;-0.0497208726379797;-0.300916537633961,-0.161255252356;-0.11060639668516;-0.0417974357240916;-0.0417974357240916;0.660555564549316;-1.7862656065129,0.660555565,C16H17ClO,1-chloro-2-(2-methylpropyl)-3-phenoxybenzene,70624-13-4,Unknown,CC(C)Cc1c(Cl)cccc1Oc2ccccc2,253,207,22
476.2221069,11.57913333,4.969058635,4.672103092,4.53457131,5.288631748,4.876664737,5.095613121,4.195069754,4.647176939,4.653284966,4.90676631,5.161188772,4.699262207,4.842226928,4.701444291,4.456719685,4.835072272,4.670511189,4.920608627,4.608396105,4.6649116,4.414985093,4.886018146,5.361572058,4.924193162,4.768258282,C26H35ClN2O4;C21H34O9,-0.523446906978885;-0.0243216380108455,0.00995033085316809;0.00995033085316809,-0.656353718982859;-0.728657021443392,0,0,0;0,[M-H]-;[M+CH2O2-H]-,1;0,0;0,-0.00776111528983228;-2.49713108950326,0.335885165727309;-3.22578811094665,0.335885166,C26H35ClN2O4,"4-[2,4-bis(2-methylbutan-2-yl)phenoxy]-N-(4-chloro-3-nitrophenyl)butanamide",63134-29-2,Unknown,CCC(C)(C)c1ccc(OCCCC(=O)Nc2ccc(Cl)c(c2)[N+]([O-])=O)c(c1)C(C)(C)CC,528,385,23
355.0370483,9.534766667,5.557172103,5.177502096,4.221896265,4.653380733,4.319805927,4.764401286,3.702526835,3.809756637,0,5.079897806,5.090691805,0,4.9249181,4.777574041,4.133975466,4.718264087,4.756676215,4.465770135,0,4.33741324,5.059650702,5.11296896,5.294478007,4.529411153,4.756676215,C14H13ClN4O3;C13H18ClNO4S,-0.00286952836675409;-0.722209406046012,0.00995033085316809;0.00995033085316809,0.740414135819747;-0.467814630748399,;0;0,0,0;-0.5,[M+Cl]-;[M+Cl]-,1;1,0;0,-0.00230781219464004;-0.227156852990239,1.73810632362511;-0.227156852990239,1.738106324,C14H13ClN4O3,Disperse Orange 138,43047-20-7,Azo Dye,OCCNc1ccc(cc1Cl)N=Nc2ccc(cc2)[N+]([O-])=O,370,282,24
348.0996094,9.9616,4.670464779,4.727925174,3.999174438,5.800075513,4.312757585,4.900484222,4.290484724,4.747519955,3.972949959,4.77147457,4.521650042,0,5.148499746,0,4.049227565,5.20745827,0,4.398652176,0,4.615988867,5.039086632,5.145558281,5.334875683,4.016680079,4.699194977,C16H17ClN4O3;C16H17ClN4O3;C19H17N3O5;C19H17N3O5;C21H16N2O,-0.0572524013907284;-0.0572524013907284;-0.011210797438538;-0.011210797438538;-0.536874318534273,0.00995033085316809;0.00995033085316809;-4.35592953228394;-4.35592953228394;-4.53090035420694,0.439877416641927;0.439877416641927;-4.44406340664556;-4.44406340664556;-5.81136441633096,;0;0;0;0;0,0,0;0;0;0;-0.5,[M]-;[M]-;[M-H-H2O]-;[M-H-H2O]-;[M+Cl]-,0.5;0.5;0;0;0,0;0;0;0;0,-0.00830547355987465;-0.00830547355987465;-0.322602915627243;-0.000501408737635698;-0.095083146024679,0.931571943082052;0.931571943082052;-4.7666663222728;-4.4445648153832;-0.095083146024679,0.931571943,C16H17ClN4O3,Disperse Red 13,3180-81-2,Azo Dye,CCN(CCO)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,359,276,25
306.9860331,10.85663333,5.04191901,4.697851138,5.022139312,5.194940146,3.65344887,4.751585803,3.889535615,4.343842764,3.82392403,4.914073995,4.337668441,5.920168574,4.507786348,3.960909537,4.672470126,4.423007856,4.761626803,0,3.998035939,4.694508644,5.623519574,4.763901487,4.947679544,4.81875256,4.697851138,C14H8Cl2N2O2;C14H8Cl2N2O2,-0.018219906446841;-0.018219906446841,0.00995033085316809;0.00995033085316809,0.32506375773966;0.32506375773966,;0.5;0.5,0,0;-0.5,[M-H]-;[M-H]-,1;1,0.0582661960053855;0.0582661960053855,-1.1967946257066;-1.13631051778844,0.686535328038451;-1.13631051778844,0.686535328,C14H8Cl2N2O2,C.I. Disperse Violet 28,81-42-5,Dye,Nc1c(Cl)c(Cl)c(N)c2C(=O)c3ccccc3C(=O)c12,257,211,26
204.9576365,9.534716667,5.111777345,4.905473791,3.987657931,5.40105489,4.687319134,4.329301882,4.17127114,4.028026789,4.208199128,4.99310301,5.144561657,4.123420328,4.813907962,4.996425678,4.326288405,4.9875969,4.583952005,4.287003353,3.94540102,4.31423263,4.826615865,5.009464507,5.010427405,4.398132108,4.63563557,C6H4Cl2N2O2;C6H4Cl2N2O2;C6H4Cl2N2O2;C6H6Cl2N2O3;C6H6Cl2N2O3;C6H6Cl2N2O3;C6H6Cl2N2O3;C6H6Cl2N2O3,-0.010430545096086;-0.010430545096086;-0.010430545096086;-0.010430545096086;-0.010430545096086;-0.010430545096086;-0.010430545096086;-0.010430545096086,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.666186452423749;0.666186452423749;0.666186452423749;0.666186452423749;0.666186452423749;0.666186452423749;0.666186452423749;0.666186452423749,;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5,0,0;0;0;0;0;0;0;0,[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-,1;1;1;0;0;0;0;0,1;1;1;1;1;1;1;1,-0.180577956396847;-0.180577956396847;-0.180577956396847;-0.221696180983554;-0.221696180983554;-0.196833739761362;-0.0427457878983361;-0.221696180983554,2.9856084960269;2.9856084960269;2.9856084960269;1.9444902714402;1.9444902714402;1.96935271266239;2.12344066452541;1.9444902714402,2.985608496,C6H4Cl2N2O2,Dichloran,99-30-9,Azo Dye Intermediate,Nc1c(Cl)cc(cc1Cl)[N+]([O-])=O,16,12,27
464.8502401,9.243766667,5.493778338,0,3.623305987,7.505688549,4.403772432,0,0,6.542141778,0,0,0,0,4.035630883,0,0,0,0,4.555561127,0,4.696900111,0,7.621572037,4.53670247,0,4.626230619,C9H15Cl6O4P;C9H15Cl6O4P;C14H8Br2N2O4;C14H8Br2N2O4;C14H8Br2N2O4,0.00822337005689781;0.00822337005689781;-1.27889883856125;-1.27889883856125;-1.27889883856125,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,-0.139721035932039;-0.139721035932039;-1.53210640244492;-1.53210640244492;-1.53210640244492,0,0,0;0;-0.5;-0.5;-0.5,[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-,1;1;1;1;1,1;1;0;0;0,-0.602707231476086;-0.753875213531863;-0.0251396527601545;-0.0251396527601545;-0.0251396527601545,2.25757173259187;2.1064037505361;-0.0251396527601545;-0.0251396527601545;-0.0251396527601545,2.257571733,C9H15Cl6O4P,"Tris(2,3-dichloropropyl) phosphate",78-43-3,OPFR,ClCC(Cl)CO[P](=O)(OCC(Cl)CCl)OCC(Cl)CCl,519,378,28
327.0417684,10.93128333,5.075380819,4.760659599,4.343759554,5.150759461,4.536076952,4.67570135,4.383041033,4.192276872,4.39105305,4.927373852,4.728413455,5.038689691,4.660720884,4.748244825,4.363520574,4.575053596,4.543875041,4.573847423,4.414347457,4.462359914,4.591423543,4.708758302,4.797143576,4.779743568,4.626072214,C16H10ClN3O3;C16H10ClN3O3;C10H9N5O8,-0.0572061829824836;-0.0572061829824836;-0.483944295421146,0.00995033085316809;0.00995033085316809;-4.41011057804333,0.952744147870685;0.952744147870685;-5.03691201632162,0,0,0;0;0,[M]-;[M]-;[M-H]-,0.5;0.5;1,0;0;0,-0.492230506936556;-0.133282367468502;-3.06269854311569,0.960513640934134;1.31946178040219;-7.09961055943731,1.31946178,C16H10ClN3O3,C.I. Pigment Red 6,6410-13-5,Azo Dye,[O-][N+](=O)c1cc(Cl)ccc1N\N=C2/C(=O)C=Cc3ccccc23,311,243,29
269.1311849,11.05828333,4.614786767,4.544596922,4.314738213,5.01476198,4.257561494,5.285067467,4.144405623,4.00139674,4.127069538,4.666145769,4.591089379,4.523110793,3.890316615,3.713843925,5.647109218,4.52422005,0,4.499148229,5.3786413,4.92966231,4.709598493,5.121830988,5.474707482,4.800091971,4.591089379,C14H23O3P;C15H23ClO2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2;C15H22O2,-0.00145564762116581;-0.0551462424643311;-0.0551462424643311;-0.0551462424643311;-0.0551462424643311;-0.0551462424643311;-0.0551462424643311;-0.0551462424643311;-0.0551462424643311;-0.0551462424643311;-0.0551462424643311;-0.0551462424643311;-0.05514624246,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.00849468323200229;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163;-0.045195911611163,0,0,-0.5;0;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5,[M-H]-;[M-H]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0,-0.895610936615741;-0.114978107987059;-0.190929894786438;-0.962963743806569;-0.110528373914281;-0.262204680530751;-0.487430944853555;-0.277406032614927;-0.417285397894372;-0.469648484605699;-0.908481884949911;-0.253789981593173;-0.183253067246263;-0.43677,-0.895610936615741;0.839825980401778;-0.190929894786438;-0.962963743806569;-0.110528373914281;-0.262204680530751;-0.487430944853555;-0.277406032614927;-0.417285397894372;-0.469648484605699;-0.908481884949911;-0.253789981593173;-0.183253067246263;-0.436771,0.83982598,C15H23ClO2,"2-chloro-6-(hydroxymethyl)-4-(2,4,4-trimethylpentan-2-yl)phenol",16372-99-9,Other,CC(C)(C)CC(C)(C)c1cc(Cl)c(O)c(CO)c1,163,135,30
460.0948181,11.61256667,4.515469504,4.316583671,0,4.753097006,0,5.05490052,0,0,0,0,0,0,0,4.211699337,0,0,4.480818044,0,0,0,4.116942789,4.708065394,4.616767978,4.868441045,4.566118741,C24H17ClN4O4;C24H17ClN4O4;C18H23Cl3N6O2,-0.0289906144142154;-0.0289906144142154;-0.43228996155986,0.00995033085316809;0.00995033085316809;-2.59546719878052,0.980959716438953;0.980959716438953;-2.02775716034038,;0;0;0,0,0;0;0,[M]-;[M]-;[M]-,0.5;0.5;0.5,0;0;0,-0.611774142297125;-0.291861043084159;-0.824674529147179,0.869185574141825;1.18909867335479;-2.35243168948756,1.189098673,C24H17ClN4O4,C.I. Pigment Red 14,6471-50-7,Azo Dye,Cc1ccccc1NC(=O)C2=Cc3ccccc3C(=N/Nc4ccc(Cl)cc4[N+]([O-])=O)/C2=O,517,376,31
258.0520528,8.416416667,4.878826782,4.65665341,4.065036996,5.18018127,4.334735422,4.762682431,4.277033423,4.114495396,4.15095056,4.898166961,5.007898634,3.600784128,5.423764925,4.534993252,3.988083286,4.989825588,4.587564922,4.483455989,3.41522815,4.516384913,4.693861409,4.843583563,4.997745667,4.490201269,4.561279087,C12H9N3O4;C12H9N3O4;C14H13ClN2O2;C14H13ClN2O2,0.00155205274489152;0.00155205274489152;-0.535191493035884;-0.535191493035884,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,1.01150238359806;1.01150238359806;0.474758837817284;0.474758837817284,;0.5;0.5;0;0,0,-0.5;-0.5;0;0,[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-,1;1;0;0,0;0;0;0,-0.0657875284729475;-8.50650221489775;-0.441383583639106;-0.111778371333703,-0.0657875284729475;-8.50650221489775;0.0333752541781778;0.362980466483581,0.362980466,C14H13ClN2O2,N-(4-amino-5-chloro-2-methoxyphenyl)benzamide,6368-90-7,Azo Dye Intermediate,COc1cc(N)c(Cl)cc1NC(=O)c2ccccc2,136,115,32
230.0490621,9.531166667,0,0,0,0,0,0,0,0,0,0,0,5.651443569,0,0,0,0,0,0,0,0,3.419096831,0,0,0,4.5352702,C12H10ClN3;C9H13NO4S;C9H12BrNO3S;C8H11NO2S;C8H11NO2S,-0.0198458297828749;-0.0823437792769431;-0.0823437792769431;-0.0823437792769431;-0.0823437792769431,0.00995033085316809;0.00995033085316809;0.00995033085316809;-1.95769576114914;-1.95769576114914,0.434548945514738;-0.516837892868219;-1.07239344842377;-3.04003954042608;-3.04003954042608,;0;0;0;0;0,0,0;0;-0.5;0;0,[M-H]-;[M-H]-;[M-Br+O]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0.5;0;0,0.855177307615664;0;0;0;0,-0.000231153984251165;-1.20649401784681;-0.02005933127435;-0.506828550887439;-0.690787135239282,1.28949509914615;-1.72333191071503;-0.02005933127435;-3.54686809131352;-3.73082667566536,1.289495099,C12H10ClN3,3-chloro-4-phenyldiazenylaniline,68239-21-4,Azo Dye,Nc1ccc(N=Nc2ccccc2)c(Cl)c1,262,60,33
432.0166117,9.535266667,0,4.882410151,0,4.750235338,3.659617407,4.713426847,3.624786661,0,0,4.257485407,0,0,4.437155558,4.793176797,4.048951278,4.37607482,3.894508846,4.430397214,0,4.150963683,4.252190431,4.551268305,5.299184877,4.767833429,4.430397214,C16H15Cl3N4O4,-0.045667915,0.009950331,0.464282416,0,0,0,[M]-,0.5,0,-0.432960176,0.531322239,0.531322239,C16H15Cl3N4O4,C.I. Disperse Brown 1,23355-64-8,Azo Dye,OCCN(CCO)c1ccc(N=Nc2c(Cl)cc(cc2Cl)[N+]([O-])=O)c(Cl)c1,486,357,34
505.1370646,10.09451667,4.956480888,4.149850886,4.276547337,0,4.541841726,4.596902824,4.029509845,4.447999026,4.229929493,4.306704958,4.489989882,4.543622373,4.449203141,4.15245124,3.946326835,4.168866572,5.280584203,4.871348415,4.288939797,4.362690065,0,4.788167183,4.374083676,4.101786128,4.362690065,C22H24ClN5O7;C27H29ClO5;C28H28ClN3O3S;C21H29Cl2N5O3;C30H21N3O3S;C27H23N3O5;C26H22ClN3O3,-0.072222005039305;-0.54955094528577;-0.595297026477517;-1.00769951309882;-0.536558307083982;-0.539296952085623;-0.539296952085623,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;-2.32372104551469;-2.49903878270572;-2.61767454814866,-0.0622716741861369;-0.539600614432602;-0.585346695624349;-0.997749182245647;-2.86027935259867;-3.03833573479134;-3.15697150023429,0,0,0;0;0;0;-0.5;-0.5;0,[M]-;[M+Cl]-;[M-H-H2O]-;[M+Cl]-;[M]-;[M+Cl]-;[M+CH2O2-H]-,0.5;0;0;0;0.5;0;0,0,-0.00943638631606797;-0.878160484505796;-0.460233373821866;-0.173711153987499;-1.53979464530381;-0.0760912494920426;-0.518421654877242,0.428291939497795;-1.4177610989384;-1.04558006944621;-0.173711153987499;-1.53979464530381;-0.0760912494920426;-3.67539315511153,0.428291939,C22H24ClN5O7,2-[3-acetamido-N-(2-acetyloxyethyl)-4-[(2-chloro-5-nitrophenyl)diazenyl]anilino]ethyl acetate,66214-53-7,Azo Dye,CC(=O)Nc1cc(ccc1N=Nc2cc(ccc2Cl)[N+]([O-])=O)N(CCOC(C)=O)CCOC(C)=O,553,401,35
243.0329742,10.91928333,0,0,0,0,0,4.137626641,0,0,0,0,0,5.384404382,0,0,0,0,4.530628906,0,0,3.974994547,0,0,0,0,4.334127773,C13H11ClN2O2;C13H11ClN2O2;C13H9ClN2O;C7H6N4O6,-0.051498932671041;-0.051498932671041;-0.051498932671041;-0.483827047361312,0.00995033085316809;0.00995033085316809;0.00995033085316809;-3.42526217345541,0.958451398182127;0.958451398182127;-1.04154860181787;-4.90908922081672,0,0,0;0;-0.5;0,[M-H-H2O]-;[M-H-H2O]-;[M-H]-;[M]-,0;0;1;0.5,0.924385296646556;0.924385296646556;0;0,-1.43156134055065;-1.22154483865053;-0.454896921096218;-2.07648125994511,0.451275354278034;0.661291856178151;-0.454896921096218;-6.48557048076183,0.661291856,C13H11ClN2O2,N-(4-amino-5-chloro-2-hydroxyphenyl)benzamide,5099-13-8,Azo Dye Intermediate,Nc1cc(O)c(NC(=O)c2ccccc2)cc1Cl,94,78,36
217.042511,9.169483333,4.399396995,4.598020006,3.851786052,4.302676891,4.469300717,4.037160936,0,3.707798723,0,6.093655668,0,3.733192287,3.689965525,0,4.712029294,0,4.510431217,4.753595595,0,0,3.710765167,4.095595166,4.275977908,4.642035207,4.302676891,C13H11ClO;C13H11ClO;C13H11ClO;C13H10O;C13H10O;C13H10O;C13H10O,0.00845119237492367;0.00845119237492367;0.00845119237492367;0.00845119237492367;0.00845119237492367;0.00845119237492367;0.00845119237492367,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,1.01840152322809;1.01840152322809;1.01840152322809;1.01840152322809;1.01840152322809;1.01840152322809;1.01840152322809,;0;0;0;0;0;0;0,0,0;-0.5;0;-0.5;-0.5;-0.5;-0.5,[M-H]-;[M-H]-;[M-H]-;[M+Cl]-;[M+Cl]-;[M+Cl]-;[M+Cl]-,1;1;1;0;0;0;0,1;1;1;0;0;0;0,-0.0547327749809198;-0.00513789140914855;-0.049669633265916;-0.0543859291951138;-0.000453731264467598;-0.0150571887822181;-0.0137447054268887,2.96366874824717;-0.00513789140914855;2.96873188996217;-0.0543859291951138;-0.000453731264467598;-0.0150571887822181;-0.0137447054268887,2.96873189,C13H11ClO,Chlorophene,120-32-1,Other,Oc1ccc(Cl)cc1Cc2ccccc2,42,35,37
266.0142619,8.88755,5.015042486,0,3.961701569,4.426281193,0,4.377391884,0,0,3.351071801,4.185084655,0,0,3.892062956,0,0,0,4.480742427,0,4.699517549,4.0964952,0,4.00062114,0,0,4.185084655,C13H10ClNO;C13H10ClNO;C11H10N2O2S2;C10H8N2S2;C8H16Cl2O3S,0.00734493110097471;0.00734493110097471;-0.492811855419747;-0.492811855419747;-0.723127636209623,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.0172952619541428;0.0172952619541428;-0.482861524566579;-0.482861524566579;-0.713177305356455,0,0,0;0;-0.5;0;-0.5,[M+Cl]-;[M+Cl]-;[M-H]-;[M+CH2O2-H]-;[M]-,1;1;0;0;0.5,0,-0.0528135174926185;-0.12568365462802;-0.144565548597938;-0.159834847345702;-0.00582367396899995,0.964481744461521;0.89161160732612;-0.144565548597938;-0.642696371912281;-0.00582367396899995,0.964481744,C13H10ClNO,"N,N-diphenylcarbamoyl chloride",83-01-2,Pharmaceutical,ClC(=O)N(c1ccccc1)c2ccccc2,156,130,38
373.0708211,10.83323333,5.015258447,3.895191379,0,4.096169011,3.964937456,0,0,0,3.628783029,4.270246956,0,3.946536168,4.414938797,0,0,0,3.82836389,0,0,0,0,4.107330229,4.637679778,0,4.096169011,C17H15ClN4O4;C16H20ClNO5S;C21H15N3S2,-0.132201290392476;-0.552957588414251;-0.0930809491720792,0.00995033085316809;0.00995033085316809;-2.92120356460359,0.0777490404606917;-0.743007257561083;-4.01428451377567,0,0,0;0;-0.5,[M-H]-;[M-H]-;[M]-,1;1;0.5,0;0;0,-0.421523652343992;-1.13781552664479;-0.398232439890788,0.656225388116698;-0.880822784205873;-0.398232439890788,0.656225388,C17H15ClN4O4,2-[(4-chloro-2-nitrophenyl)diazenyl]-N-(2-methylphenyl)-3-oxobutanamide,68399-71-3,Azo Dye,CC(=O)C(N=Nc1ccc(Cl)cc1[N+]([O-])=O)C(=O)Nc2ccccc2C,401,300,39
