m/z,Retention Time (min.),Peak Intensity - Dust 11,Peak Intensity - Dust 12,Peak Intensity - Dust 13,Peak Intensity - Dust 16,Peak Intensity - Dust 19,Peak Intensity - Dust 2,Peak Intensity - Dust 20,Peak Intensity - Dust 21,Peak Intensity - Dust 22,Peak Intensity - Dust 23,Peak Intensity - Dust 24,Peak Intensity - Dust 25,Peak Intensity - Dust 26,Peak Intensity - Dust 29,Peak Intensity - Dust 3,Peak Intensity - Dust 30,Peak Intensity - Dust 33,Peak Intensity - Dust 34,Peak Intensity - Dust 4,Peak Intensity - Dust 5,Peak Intensity - Dust 6,Peak Intensity - Dust 7,Peak Intensity - Dust 8,Peak Intensity - Dust 9,MedInt,All Formula Matches,Isotope Signal Score,Mass Error Score,MS1 Score,Neutral Loss Score,Characteristic Ion Score,Ion Mode Score,Adducts,Adduct Score,MS2 Score,RT Score,Weighted Scores,Final (Highest) Score,Formula,IUPAC,CAS Number,Primary Reported Use,SMILES,Orig Cmpd ID,Final Cmpd ID (by m/z),ClID
484.0731201,9.9616,5.712452788,5.499681156,4.859473706,5.945862079,5.053530848,5.416783871,4.692468956,4.770544814,4.406164468,5.438755291,5.879276631,0,5.422817053,5.514808193,4.723155529,5.284840617,5.137209418,4.668823646,0,4.779615203,5.543590019,5.353684236,5.667838568,5.289818106,5.289818106,C20H20Cl2N4O6,-0.143477944,0.009950331,0.866472387,0,0,0,[M]-,0.5,0,-0.253881636,1.112590751,1.112590751,C20H20Cl2N4O6,"2-[N-(2-acetyloxyethyl)-4-[(2,6-dichloro-4-nitrophenyl)diazenyl]anilino]ethyl acetate",55619-17-5,Azo Dye,CC(=O)OCCN(CCOC(C)=O)c1ccc(cc1)N=Nc2c(Cl)cc(cc2Cl)[N+]([O-])=O,533,389,11
215.9817301,7.0767,5.403723721,5.324223662,4.98532485,5.807741768,5.017198028,5.369351553,4.666479516,4.974542563,5.052008144,5.437812572,5.706201084,4.592099694,5.476289509,5.280062581,5.020384398,5.500695371,5.116187498,4.919506902,0,5.266467814,5.35929002,5.145946816,5.759561524,4.716917394,5.266467814,C6H4ClN3O4;C6H4ClN3O4;C8H8Cl2N2O2;C8H8Cl2N2O2;C8H8Cl2N2O2;C8H5ClN2O;C3H11Br2N3S,0.00979283699421871;0.00979283699421871;-0.690633421861379;-0.690633421861379;-0.690633421861379;-0.690633421861379;-0.418917706619663,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;-4.57194468364522,0.419743167847387;0.419743167847387;-0.680683091008211;-0.680683091008211;-0.680683091008211;-1.18068309100821;-5.99086239026488,;0;0;0;0;0;0;0,0,0;0;0;0;0;0;-0.5,[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M+Cl]-;[M-Br+O]-,1;1;0;0;0;0;0.5,0;0;0;0;0;0;0,-1.70176567759729;-1.13978784647175;-0.666524923116756;-2.24648047153745;-0.666524923116756;-0.416462926007904;-0.546344235584577,-0.282022509749897;0.27995532137564;-1.34720801412497;-2.92716356254566;-1.34720801412497;-1.59714601701611;-0.546344235584577,0.279955321,C6H4ClN3O4,"2-chloro-4,6-dinitroaniline",3531-19-9,Azo Dye Intermediate,Nc1c(Cl)cc(cc1[N+]([O-])=O)[N+]([O-])=O,39,32,12
580.133016,9.770866667,5.212660649,5.371297135,4.546203238,6.003872254,4.978203885,5.623761998,4.556915386,0,3.411974019,5.318532936,5.165947065,0,5.447305405,5.129194363,5.078441637,5.030266373,6.112121094,5.442456594,0,0,4.321497254,5.389537845,5.567420943,5.265292094,5.238976372,C23H25ClN6O10;C27H23ClN4O6;C27H23ClN4O6,-0.0753434825551554;-0.539893394067094;-0.539893394067094,0.00995033085316809;-4.10070215288379;-4.10070215288379,0.744130657821822;-4.21202411837946;-4.21202411837946,0,0,0;0;0,[M]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0.5;0;0,0;0;0,-0.0054701204653238;-0.000897623688292851;-0.00089762368829274,1.2386605373565;-4.21292174206775;-4.21292174206775,1.238660537,C23H25ClN6O10,C.I. Disperse Blue 79:2,3618-73-3,Azo Dye,COc1cc(N=Nc2c(Cl)cc(cc2[N+]([O-])=O)[N+]([O-])=O)c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,574,412,13
251.9754639,9.72745,6.233512671,5.05399234,5.209086163,6.243684263,5.218835965,6.505127075,4.571239618,4.702365433,4.870287927,5.232900781,5.550822005,4.316732511,5.598441536,5.253529497,5.28184368,5.363109154,5.138433362,4.945754774,0,5.459823976,4.8820149,6.281980392,5.288387192,4.807953076,5.232900781,C9H9Cl2NO;C12H8Br2,-0.164481965304272;-4.09007686187871,0.00995033085316809;0.00995033085316809,-0.154531634451104;-4.08012653102554,0,0,0;0,[M+Cl]-;[M-Br+O]-,1;0.5,0,-0.1909684858827;-0.11009717344465,0.654499879666196;-0.11009717344465,0.65449988,C9H9Cl2NO,"N-(2,6-dichloro-3-methylphenyl)acetamide",17700-55-9,Unknown,CC(=O)Nc1c(Cl)ccc(C)c1Cl,119,98,14
365.0575867,9.470133333,5.69518609,5.306653173,4.566409869,5.87544501,4.786318303,5.209073039,4.271305529,4.092260623,0,5.846802052,5.200485841,0,5.245066578,5.038283502,4.80387311,4.998131199,5.134818798,4.898291596,0,4.687734195,5.160916719,5.482285227,5.321848273,4.823264439,5.134818798,C16H16Cl2N4O2;C16H16Cl2N4O2,0.00561407734936342;0.00561407734936342,0.00995033085316809;0.00995033085316809,0.682231074869198;0.682231074869198,;0;0,0,0;0,[M-H]-;[M-H]-,1;1,0;0,-1.19378937266453;-1.44582442537526,0.48844170220467;0.236406649493945,0.488441702,C16H16Cl2N4O2,N-(2-chloroethyl)-4-[(2-chloro-4-nitrophenyl)diazenyl]-N-ethylaniline,61813-43-2,Azo Dye,CCN(CCCl)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,382,290,15
389.0661519,10.42255,5.644880138,5.148598076,4.92987011,5.77376515,5.308744843,5.658903557,5.112536221,4.055523537,4.169813957,5.687254431,4.840765547,4.824885246,5.455169174,5.383645518,4.90887616,4.214083628,5.232733327,4.5460576,0,4.539904516,4.22601476,5.667366786,6.005370421,5.003165907,5.112536221,C17H15ClN4O5;C18H22ClO3P,-0.0594375684649253;-0.515489066096009,0.00995033085316809;0.00995033085316809,0.855274667150148;-1.2674434971476,;0.5;0,0,0;-0.5,[M-H]-;[M+Cl]-,1;0,0;0,-0.19475528435832;-0.22453297090491,2.16051938279183;-0.22453297090491,2.160519383,C17H15ClN4O5,C.I. Pigment Yellow 73,13515-40-7,Azo Dye,CC(=O)C(C(=O)NC1=CC=CC=C1OC)N=NC2=C(C=C(C=C2)Cl)[N+](=O)[O-],423,314,16
286.9440715,9.857833333,5.955028293,4.852403741,5.023651933,5.978306397,5.034106704,6.180833036,4.394738412,4.591481215,4.789024765,5.155903875,5.418795341,4.289985237,5.476189101,5.51890993,5.059851617,5.148260288,4.998563403,4.662966152,0,5.337186587,4.608593469,6.080078223,5.179999821,4.70360224,5.059851617,C12H7Cl3O2,-0.020893652,0.009950331,-0.177609988,;0.5,0,0,[M-H]-,0,0,-0.000602813,0.321787199,0.321787199,C12H7Cl3O2,Triclosan,3380-34-5,Other,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,216,176,17
203.038269,9.531166667,0,0,0,0,0,0,0,0,0,0,0,5.032505817,0,0,0,0,0,0,0,0,0,0,0,0,5.032505817,C11H11ClN2O;C11H8N2;C11H8N2;C8H12O4S;C8H14O5S;C8H14O5S;C7H10O2S;C7H10O2S,0.00895023093910837;0.00895023093910837;0.00895023093910837;-0.0480942465215427;-0.0480942465215427;-0.0480942465215427;-0.0480942465215427;-0.0480942465215427,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,1.01890056179228;0.0189005617922765;0.0189005617922765;-0.0381439156683746;-0.0381439156683746;-0.0381439156683746;-1.03814391566837;-1.03814391566837,0,0,0;-0.5;-0.5;0;0;0;0;0,[M-H-H2O]-;[M+Cl]-;[M+Cl]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0;1;0;0;0;0,0.216321660148515;0.387337547759315;0.387337547759315;0;0.978218594077296;0.978218594077296;0;0,-0.188910726245682;-0.258946872909102;-0.258946872909102;-1.29686970938704;-0.760342931064361;-0.760342931064361;-0.50127754926803;-0.50127754926803,1.04631149569511;-0.258946872909102;-0.258946872909102;-0.335013625055419;0.17973174734456;0.17973174734456;-1.5394214649364;-1.5394214649364,1.046311496,C11H11ClN2O,2-(2-chloro-6-methylphenyl)-5-methyl-4H-pyrazol-3-one,117-23-7,Unknown,CC1=NN(C(=O)C1)c2c(C)cccc2Cl,12,8,18
216.9658508,10.59276667,5.154077267,4.845101094,4.431797434,5.735743474,4.863613857,5.124419903,4.371131312,5.102678378,4.127018954,5.242957309,5.254884106,4.012245654,5.06404526,4.99694344,4.508825618,5.360943185,4.944376746,4.769077341,0,5.012424112,5.127340214,5.09471839,5.214855682,4.680327651,5.012424112,C6H3ClN2O5,0.007418676,0.009950331,0.417369007,;0,0,0,[M-H]-,1,1,-0.42483251,1.992536497,1.992536497,C6H3ClN2O5,"4-chloro-2,6-dinitrophenol",88-87-9,Azo Dye Intermediate,Oc1c(cc(Cl)cc1[N+]([O-])=O)[N+]([O-])=O,40,33,19
369.9906616,10.60661667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.658768366,0,5.2885968,4.973682583,C13H10ClN3O6S,-0.206964049,0.009950331,-0.197013718,0,0,0,[M-H]-,1,0,-0.04497807,0.758008213,0.758008213,C13H10ClN3O6S,"N-(4-chloro-2,6-dinitrophenyl)-4-methylbenzenesulfonamide",32658-60-9,Unknown,Cc1ccc(cc1)[S](=O)(=O)Nc2c(cc(Cl)cc2[N+]([O-])=O)[N+]([O-])=O,392,295,20
