Formula,C20H20BrClN4O6,C13H24Cl6O8P2,C9H15Cl6O4P,C12H7Cl3O2,C16H15Cl3N4O4,C20H20Cl2N4O6,C16H12Cl2N4O4,C16H16Cl2N4O3,C16H16Cl2N4O2,C14H8Cl2N2O2,C6H4Cl2N2O2,C9H9Cl2NO3,C9H9Cl2NO,C12H8Cl2O2,C23H25ClN6O10,C23H21ClN6O5,C22H24ClN5O7,C15H18ClN5O3S,C17H15ClN4O5,C24H17ClN4O4,C17H15ClN4O4,C16H13ClN4O4,C16H17ClN4O3,C14H13ClN4O3,C13H10ClN3O6S,C6H4ClN3O4,C22H28ClN3O3S,C16H10ClN3O3,C12H10ClN3,C6H3ClN2O5,C26H35ClN2O4,C13H15ClN2O4,C14H13ClN2O2,C13H11ClN2O2,C13H9ClN2O,C13H10ClNO,C15H23ClO2,C24H33ClO,C16H17ClO,C14H21ClO,C13H11ClO,C22H45Cl
dust5,99750.08594,0,49762.26172,217363.4844,14156.75391,60202.59375,7.45E+06,99789.14844,48723.01953,49488.99609,20617.33984,36798.49609,288286.2813,884913,0,444106.0625,0,13448.64648,64635.90234,0,0,427892.2188,41303.69141,21747.69531,0,184700.3906,487205.75,28997.45703,0,102902.0703,46228.69141,331088.6875,32838.62109,9440.490234,6203.575684,12488.06641,85047.64844,492289,35095.50391,487678.0313,0,0
dust6,355180.5938,0,0,40606.30469,17872.71094,349614.9688,7.44E+05,0,144849.4063,420261.4688,67083.52344,6250.426758,76210.51563,255223.5156,20965.11523,378599.8438,0,7609.67041,0,13090.09473,0,1770206.25,109417.4609,114723.0547,0,228712.5625,469507.4375,39032.24609,2624.803711,134072.6563,26000.70313,14526.44043,49415.29688,0,161940,0,51238.74609,296778.0313,143816.3906,260442.8906,5137.657715,8509.717773
dust7,584671.25,0,41838108,1202481,35585.10938,225779.3594,2.25E+06,0,303588.4375,58063.26953,102203.2031,310397.1563,1914169.5,4375219,245209.8125,375470.2188,0,796188.8125,40438.23047,51058.1875,12803.54492,2225010,139816.4531,129708.6563,45579.375,139941.5938,372430.5,51139.71484,0,124370.7891,76916.25781,231925.7969,69756.32031,0,20165.59961,10014.3125,132382.625,560992.625,127145.7109,10181.94336,12462.21289,126088.9531
dust8,490582.3125,0,34411.41016,151356.0625,199152.0938,465413.0625,1.35E+05,0,209820.6719,88650.16406,102430.0547,40949.20313,194261.7031,553586.4375,369335.4063,431764.5,12374.5332,1414180.75,0,41377.85547,43418.99609,3288209.5,216209.9531,197005.3438,0,574859.25,321525.5625,62682.10547,0,164004.4688,229917.5156,127417.5469,99482.26563,0,58115.05469,0,298337.25,288890.125,100864.0938,265053.4063,18878.95313,0
dust9,148155.6719,0,0,50536.16016,58591.33984,194902.8125,8.50E+05,0,66567.83594,65879.84375,25011.06055,5415.008789,64261.82813,199595.2031,184201.0469,397470,0,507848.75,0,73865.39844,0,653266.8125,10391.54395,33838.50391,194355.4844,52109.55859,1120277.125,60220.39063,0,47899.13281,83983.34375,60008.16016,30917.2793,0,238254.4063,0,63109.09766,743446.0625,91899.11719,396146.25,43856.625,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
