mz,rt,X500_700_Neg_JeansA.mzXML,X500_700_Neg_JeansB.mzXML,X500_700_Neg_JeansC.mzXML,X500_700_Neg_JeansD.mzXML,X500_700_Neg_JeansDx.mzXML,X500_700_Neg_JeansE.mzXML,X500_700_Neg_JeansF.mzXML,X500_700_Neg_JeansG.mzXML,X500_700_Neg_JeansGx.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,ionmodescore,adductscore,MS2score,rtscore,allscore,Final,avg,allscore0
585.34375,6.33525,8152.878906,100,12504683,7189062,1932846.875,10581920,3237540,1649718,639360.875,3,C34H50O8;C34H52O9,0.00502813006582409;0.00502813006582409,0.00995033085316809;0.00995033085316809,-0.860021539081008;-0.860021539081008,Cc1cc(CCC(=O)OCCOCCOCCOC(=O)CCc2cc(C)c(O)c(c2)C(C)(C)C)cc(c1O)C(C)(C)C,21497;29226,[M-H]-;[M-H-H2O]-,;0.5;0.5,0;0,1;0,0.145410914855334;0.144216302514418,0,0.685389375774326;-0.31580523656659,C34H50O8,4193709.292,0.685389376
520.3854777,6.188183333,18538.67578,1023188.688,3185848.25,3101609.75,755001.8125,826305.75,1280610.375,319547.3125,154515.375,3,C27H55O4P,-0.491349809,0.009950331,-0.481399479,CC(C)CCCCCCCCCCC/C=C/CCCCCCCO[P](O)(=O)OCC(C)C,40704,[M+CH2O2-H]-,0,0,1,0,0,0.518600521,C27H55O4P,1185018.443,0.518600521
586.2935994,5.075833333,48693.07813,59791.93359,209831.75,40657.83594,46374.67188,46635.75781,49494.33203,40703.39063,37342.07031,3,C33H50O6P2,-0.013447235,0.009950331,0.329836429,CC(C)(C)c1ccc(O[P@]2OC[C@]3(CO2)CO[P@](OC3)Oc4ccc(cc4C(C)(C)C)C(C)(C)C)c(c1)C(C)(C)C,18179,[M-H-H2O]-,;0,0,0,0.161175588,0,0.491012018,C33H50O6P2,64391.6467,0.491012018
530.330953,5.631316667,100,100,397921.5938,52810.14844,7248.654297,100,16949.63281,19995.13477,11971.46387,3,C24H50O12,0.00791968,0.009950331,0.01787001,OCCCOCC(OCCCO)C(OCCCO)C(OCCCO)C(COCCCO)OCCCO,20636,[M]-,0,0,0.5,0,0,0.51787001,C24H50O12,56355.18088,0.51787001
