"mz","rt","X100_300_Neg_jgu1.mzXML","X100_300_Neg_jgu2.mzXML","X100_300_Neg_jgw1.mzXML","X100_300_Neg_jgw2.mzXML","X100_300_Neg_nju1.mzXML","X100_300_Neg_nju2.mzXML","X100_300_Neg_njw1.mzXML","X100_300_Neg_njw2.mzXML","X100_300_Neg_oju2.mzXML","X100_300_Neg_ojw1.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","chracaterscore","ionmodescore","adductscore","MS2score","allscore","temp.scorevalues"
107.037501,3.363966667,388304.138427734,410314.388427734,365769.575927734,442164.607227734,100,100,100,100,100,100,4,"C6H5NO;C6H5NO;C6H5NO;C6H5NO","0.0078655609038298;0.0078655609038298;0.0078655609038298;0.0078655609038298","-3.88746208610723;-3.88746208610723;-3.88746208610723;-3.88746208610723","-3.8795965252034;-3.8795965252034;-3.8795965252034;-3.8795965252034","O=Nc1ccccc1;O=Cc1cccnc1;O=Cc1ccncc1;O=Cc1ccccn1","865;4055;4849;6387","[M]-;[M]-;[M]-;[M]-","0;0;0;0","0","0;0;0;0","0.5;0.5;0.5;0.5","0;0;0;0","-3.3795965252034;-3.3795965252034;-3.3795965252034;-3.3795965252034",0
108.0120163,3.884316667,148268,100,404130.25,100,100,100,100,100,100,242599.4063,3,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
108.0454763,2.7868,100,100,100,100,100,100257.727589063,100,100,233708.352589063,166575.6563,9,"C6H7NO;C6H7NO;C6H7NO;C6H6BrN;C6H6BrN;C6H6BrN;C6H9NO2;C6H7NO;C6H7NO;C6H7NO;C6H7NO","0.0078655609038298;0.0078655609038298;0.0078655609038298;0.0078655609038298;0.0078655609038298;0.0078655609038298;0.0078655609038298;0.0078655609038298;0.0078655609038298;0.0078655609038298;0.0078655609038298","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0178158917569979;0.0178158917569979;0.0178158917569979;0.0178158917569979;0.0178158917569979;0.0178158917569979;0.0178158917569979;0.0178158917569979;0.0178158917569979;0.0178158917569979;0.0178158917569979","Nc1ccccc1O;Nc1ccc(O)cc1;Nc1cccc(O)c1;Nc1ccccc1Br;Nc1ccc(Br)cc1;Nc1cccc(Br)c1;NCC(O)c1occc1;CN1C=CC=CC1=O;Cc1cccc[n+]1[O-];Cc1cc[n+]([O-])cc1;CC(=O)c1[nH]ccc1","2451;3472;5469;1541;2802;5464;9372;6050;6522;6641;6685","[M-H]-;[M-H]-;[M-H]-;[M-Br+O]-;[M-Br+O]-;[M-Br+O]-;[M-H-H2O]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-","0;0;0;0;0;0;0;0;0;0;0","0","0;0;0;0;0;0;0;-0.5;-0.5;-0.5;-0.5","1;1;1;0.5;0.5;0.5;0;1;1;1;1","0;0;0;0;0;0;0;0;0;0;0","1.017815891757;1.017815891757;1.017815891757;0.517815891756998;0.517815891756998;0.517815891756998;0.0178158917569979;0;0;0;0",0
108.9019826,0.795633333,100,100,128570.585474219,155381.288574219,100,100,100,100,100,7503.812012,4,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
108.9961929,9.745733333,100,100,100,100,100,100,595932.125,100,100,1629346.5,7,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
109.0084203,2.873483333,417186.09375,100,100,100,100,100,100,100,360735.65625,1355652.875,10,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
109.016538,6.192666667,317101.562988281,350625.500488281,399309.219288281,319137.812988281,100,100,100,100,100,24999.23047,3,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
110.0069656,0.99168,100,132639.07421875,100,100,100,100,100,100,100,33292.02344,2,"C5H7NOS;C5H7NOS;C5H5NS","0.00751159531060834;0.00751159531060834;0.00751159531060834","0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0174619261637764;0.0174619261637764;0.0174619261637764","CN1C(=O)CCC1=S;COc1sc(C)nc1;S=C1NC=CC=C1","8117;20173;9254","[M-H-H2O]-;[M-H-H2O]-;[M-H]-","0;0;0","0","0;0;-0.5","0;0;1","0;0;0","0.0174619261637764;0.0174619261637764;0",0
110.9398549,0.966956667,100,264500.2813,276392.0625,473306.9688,100,100,100,100,100,100,4,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
110.9581985,0.824165,2337695.4765625,2485664.4765625,3606398.4765625,3795808.9765625,100,100,100,100,100,100,4,"0","0","0","0","0","0","0","0","0","0","0","0","0",0
