mz,rt,X300_500_Neg_jgu1.mzXML,X300_500_Neg_jgu2.mzXML,X300_500_Neg_jgw1.mzXML,X300_500_Neg_jgw2.mzXML,X300_500_Neg_nju1.mzXML,X300_500_Neg_nju2.mzXML,X300_500_Neg_njw1.mzXML,X300_500_Neg_njw2.mzXML,X300_500_Neg_oju2.mzXML,X300_500_Neg_ojw1.mzXML,formula.pred,SMILES,allscore
415.100942,6.385533333,4202202.703,2829027.953,6322441.203,5581418.703,100,463731.7031,397328.9531,1029552.453,100,100,C19H18ClN5O4,COC(=O)CCN(CCC#N)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,1.440860981
415.100942,6.385533333,12572482.2,18568572.2,23979334.2,20008288.2,100,100,100,100,100,89500.75781,C19H18ClN5O4,CC(=O)OCCN(CCC#N)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,1.428848969
415.100942,6.385533333,12572482.2,18568572.2,23979334.2,20008288.2,100,100,100,100,100,89500.75781,C19H18ClN5O4,COC(=O)CCN(CCC#N)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,1.428848969
415.1008911,6.385533333,1979056.203,3137123.453,4299518.203,3331290.703,100,100,100,100,100,37641.25781,C19H18ClN5O4,CC(=O)OCCN(CCC#N)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,1.428848969
415.1008911,6.385533333,1979056.203,3137123.453,4299518.203,3331290.703,100,100,100,100,100,37641.25781,C19H18ClN5O4,COC(=O)CCN(CCC#N)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,1.428848969
403.3062642,7.9457,100,100,100,100,345234.3828,591601.1016,214135.6328,1043037.539,6040536.289,7246910,C21H42O4,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,1.419143811
403.3062642,7.9457,100,100,100,100,345234.3828,591601.1016,214135.6328,1043037.539,6040536.289,7246910,C21H42O4,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,1.419143811
403.3062642,7.9457,100,100,100,100,345234.3828,591601.1016,214135.6328,1043037.539,6040536.289,7246910,C21H42O4,CCCCCCC(CCCCCCCCCCC(O)=O)OC(C)CO,1.419143811
403.3062642,7.9457,100,100,100,100,345234.3828,591601.1016,214135.6328,1043037.539,6040536.289,7246910,C21H42O4,CCCCCCCC\C=C/CCCCCCCC(O)=O.CC(O)CO,1.419143811
403.3062642,7.9457,100,100,100,100,345234.3828,591601.1016,214135.6328,1043037.539,6040536.289,7246910,C21H42O4,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,1.419143811
403.3063049,7.9457,100,100,100,100,100,100,100,100,1225257.664,1594069.25,C21H42O4,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,1.419143811
403.3063049,7.9457,100,100,100,100,100,100,100,100,1225257.664,1594069.25,C21H42O4,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,1.419143811
403.3063049,7.9457,100,100,100,100,100,100,100,100,1225257.664,1594069.25,C21H42O4,CCCCCCC(CCCCCCCCCCC(O)=O)OC(C)CO,1.419143811
403.3063049,7.9457,100,100,100,100,100,100,100,100,1225257.664,1594069.25,C21H42O4,CCCCCCCC\C=C/CCCCCCCC(O)=O.CC(O)CO,1.419143811
403.3063049,7.9457,100,100,100,100,100,100,100,100,1225257.664,1594069.25,C21H42O4,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,1.419143811
415.1007894,6.364433333,12572482.2,18568572.2,11303767.2,8035759.703,100,100,100,100,100,100,C19H18ClN5O4,CC(=O)OCCN(CCC#N)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,1.388492894
415.1007894,6.364433333,12572482.2,18568572.2,11303767.2,8035759.703,100,100,100,100,100,100,C19H18ClN5O4,COC(=O)CCN(CCC#N)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,1.388492894
343.2854207,7.415416667,564998.3477,597741.0977,674327.1602,527507.7852,2936443.098,3562331.598,355287.0352,662953.5977,100,100,C20H40O4,CCCCCCCCCCCCCCCCC(O)C(=O)OC(C)O,1.353005533
347.243927,7.05975,100,100,100,152843.4473,100,100,400341.0098,355966.4785,492388.5098,962981.75,C17H34O4,CCCCCCCCCCCCCC(=O)OCC(O)CO,1.184268583
347.243927,7.05975,100,100,100,152843.4473,100,100,400341.0098,355966.4785,492388.5098,962981.75,C17H34O4,CCCCCCCCCCCC(O)=O.CC1CO1.C2CO2,1.184268583
456.3204549,10.1086,100,361655.0938,100,100,127996.8438,190037.6563,100,100,100,100,C29H44O4,CCCCCCCCCCCCCCCCCCOc1ccc2c(O)c(ccc2c1)C(O)=O,1.151624139
373.0902812,6.270716667,3188343.898,3315810.898,5224674.898,4337751.898,100,100,100,100,100,48000.55469,C17H16ClN5O3,OCCN(CCC#N)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,1.10184721
363.2026672,4.71585,1294860.836,345078.0234,886174.0234,581712.5859,100,100,100,100,100,19359.78516,C17H32O8,CC(C)(CO)CO.OCC1CCC(CO)CC1.OC(=O)\C=C\C(O)=O,1.086257274
375.105896,8.768716667,2089207.035,2342482.285,2069928.785,1679857.785,100,100,100,100,100,100,C14H21N3O7S,CCOc1cc(N2CCOCC2)c(OCC)cc1[N+]#N.O[S]([O-])(=O)=O,1.062786891
375.105896,8.768716667,2089207.035,2342482.285,2069928.785,1679857.785,100,100,100,100,100,100,C14H21N3O7S,[NH4+].NC([O-])=N.Oc1ccccc1.Oc2ccccc2[S](O)(=O)=O.C=O,1.062786891
325.311381,10.2933,100,100,100,100,853793,1089737,2900717.75,1676024.25,100,517296.8125,C21H42O2,CCCCCCCC\C=C/CCCCCCCCOCCCO,1.01990062
325.311381,10.2933,100,100,100,100,853793,1089737,2900717.75,1676024.25,100,517296.8125,C21H42O2,CCCCCCCCCCCCCCCCCC(CC)C(O)=O,1.01990062
325.3112996,10.24765,68552448.75,54231012.75,35881176.75,36594308.75,145530056.8,186265576.8,179919704.8,144106536.8,100,18640148,C21H44O3,CCCCCCCCCCCCCCCCCCOCC(O)CO,1.019899734
325.3112996,10.24765,68552448.75,54231012.75,35881176.75,36594308.75,145530056.8,186265576.8,179919704.8,144106536.8,100,18640148,C21H44O3,CCCCCCCCCCCCCCCCCCOC(CO)CO,1.019899734
325.3112996,10.24765,68552448.75,54231012.75,35881176.75,36594308.75,145530056.8,186265576.8,179919704.8,144106536.8,100,18640148,C21H44O3,CCCCCCCCCCCCCCCCO.CC1CO1.C2CO2,1.019899734
325.3112996,10.24765,68552448.75,54231012.75,35881176.75,36594308.75,145530056.8,186265576.8,179919704.8,144106536.8,100,18640148,C21H44O3,CCCCCCCCCCCCCCCCCCOCC(O)CO,1.019899734
325.3112793,10.24765,13593230.75,11135085.75,6928599.75,6935630.75,32044860.75,40849592.75,39563104.75,31473364.75,100,3173765,C21H44O3,CCCCCCCCCCCCCCCCCCOCC(O)CO,1.019897693
325.3112793,10.24765,13593230.75,11135085.75,6928599.75,6935630.75,32044860.75,40849592.75,39563104.75,31473364.75,100,3173765,C21H44O3,CCCCCCCCCCCCCCCCCCOC(CO)CO,1.019897693
325.3112793,10.24765,13593230.75,11135085.75,6928599.75,6935630.75,32044860.75,40849592.75,39563104.75,31473364.75,100,3173765,C21H44O3,CCCCCCCCCCCCCCCCO.CC1CO1.C2CO2,1.019897693
325.3112793,10.24765,13593230.75,11135085.75,6928599.75,6935630.75,32044860.75,40849592.75,39563104.75,31473364.75,100,3173765,C21H44O3,CCCCCCCCCCCCCCCCCCOCC(O)CO,1.019897693
325.3112793,10.24765,13593230.75,11135085.75,6928599.75,4222453.75,32044860.75,40849592.75,39563104.75,31473364.75,100,3173765,C21H42O2,CCCCCCCC\C=C/CCCCCCCCOCCCO,1.019897693
325.3112793,10.24765,13593230.75,11135085.75,6928599.75,4222453.75,32044860.75,40849592.75,39563104.75,31473364.75,100,3173765,C21H42O2,CCCCCCCCCCCCCCCCCC(CC)C(O)=O,1.019897693
311.2957153,9.892716667,100,100,100,100,14070393,9185109,51098347,10289413,100,5863873,C20H40O2,CCCCCCCC/C=C/CCCCCCCCOCCO,1.019895003
311.2957153,9.892716667,100,100,100,100,14070393,9185109,51098347,10289413,100,5863873,C20H40O2,CCCCCCCCCCCCCCCCCC(C)C(O)=O,1.019895003
311.2957153,9.892716667,100,100,100,100,14070393,9185109,51098347,10289413,100,5863873,C20H40O2,CCCCCCCCCCC(CCCCCCCC)C(O)=O,1.019895003
311.2958069,9.82095,100,111835471,100,76778503,277921599,100,100,202256991,100,1290657.625,C20H40O2,CCCCCCCC/C=C/CCCCCCCCOCCO,1.019893895
311.2958069,9.82095,100,111835471,100,76778503,277921599,100,100,202256991,100,1290657.625,C20H40O2,CCCCCCCCCCCCCCCCCC(C)C(O)=O,1.019893895
311.2958069,9.82095,100,111835471,100,76778503,277921599,100,100,202256991,100,1290657.625,C20H40O2,CCCCCCCCCCC(CCCCCCCC)C(O)=O,1.019893895
339.326711,10.8076,78001681,79017705,69764801,70126401,964280073,1034704457,1457973833,816135497,100,194174976,C22H44O2,CCCCCCCCCCCCCCCCCCCCCC(O)=O,1.019893238
367.3581136,11.78908333,67426470.5,55344430.5,94411278.5,64258190.5,448722958.5,451564366.5,140021966.5,283508558.5,3556549.5,14504170,C24H48O2,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,1.019891911
367.3581136,11.78908333,67426470.5,55344430.5,94411278.5,64258190.5,448722958.5,451564366.5,140021966.5,283508558.5,3556549.5,14504170,C24H48O2,CCCCCCCCCCCCC(CCCCCCCCCC)C(O)=O,1.019891911
367.3581136,11.78908333,67426470.5,55344430.5,94411278.5,64258190.5,448722958.5,451564366.5,345493262.5,349953230.5,100,157390176,C24H48O2,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,1.019891911
367.3581136,11.78908333,67426470.5,55344430.5,94411278.5,64258190.5,448722958.5,451564366.5,345493262.5,349953230.5,100,157390176,C24H48O2,CCCCCCCCCCCCC(CCCCCCCCCC)C(O)=O,1.019891911
339.3266296,10.8076,12208959,13131861,10904083,10560489,227300345,242839945,344309193,187294777,100,44146364,C22H44O2,CCCCCCCCCCCCCCCCCCCCCC(O)=O,1.019890654
342.3014832,7.808266667,166371.4043,100,450990.5137,100,7327562.92,6916239.92,22881213.42,14561566.42,100,10650962,C20H41NO3,CCCCCCC(O)CCCCCCCCCCC(=O)NCCO,1.01988856
342.3014832,7.808266667,166371.4043,100,450990.5137,100,7327562.92,6916239.92,22881213.42,14561566.42,100,10650962,C20H41NO3,CCCCCCCCCCCCCCCC(=O)N(CCO)CCO,1.01988856
342.3014832,7.808266667,166371.4043,100,450990.5137,100,7327562.92,6916239.92,22881213.42,14561566.42,100,10650962,C20H41NO3,CCCCCCCCCCCCCCCC(=O)NCCOCCO,1.01988856
342.3014526,7.808266667,316421.0137,113865.4512,100,100,100,100,1397462.67,101412.9043,100,100,C20H41NO3,CCCCCCC(O)CCCCCCCCCCC(=O)NCCO,1.01988856
342.3014526,7.808266667,316421.0137,113865.4512,100,100,100,100,1397462.67,101412.9043,100,100,C20H41NO3,CCCCCCCCCCCCCCCC(=O)N(CCO)CCO,1.01988856
342.3014526,7.808266667,316421.0137,113865.4512,100,100,100,100,1397462.67,101412.9043,100,100,C20H41NO3,CCCCCCCCCCCCCCCC(=O)NCCOCCO,1.01988856
368.3615723,11.78908333,138797.3125,100,945750.8125,100,13096713.56,13713949.56,10391865.56,9861696.563,100,4363675,C24H48O2,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,1.019885563
368.3615723,11.78908333,138797.3125,100,945750.8125,100,13096713.56,13713949.56,10391865.56,9861696.563,100,4363675,C24H48O2,CCCCCCCCCCCCC(CCCCCCCCCC)C(O)=O,1.019885563
368.3615723,11.78908333,138797.3125,100,945750.8125,100,13096713.56,13713949.56,100,100,100,5251558,C24H48O2,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,1.019885563
368.3615723,11.78908333,138797.3125,100,945750.8125,100,13096713.56,13713949.56,100,100,100,5251558,C24H48O2,CCCCCCCCCCCCC(CCCCCCCCCC)C(O)=O,1.019885563
326.3146973,10.24765,1398380.781,1239521.281,602886.5313,648096.5313,3265395.656,4262210.406,4115294.906,3371991.656,100,496064.6563,C21H42O2,CCCCCCCC\C=C/CCCCCCCCOCCCO,1.019880587
326.3146973,10.24765,1398380.781,1239521.281,602886.5313,648096.5313,3265395.656,4262210.406,4115294.906,3371991.656,100,496064.6563,C21H42O2,CCCCCCCCCCCCCCCCCC(CC)C(O)=O,1.019880587
326.3146973,10.24765,1398380.781,1239521.281,602886.5313,648096.5313,3265395.656,4262210.406,2777849.656,1168162.906,100,100,C21H42O2,CCCCCCCC\C=C/CCCCCCCCOCCCO,1.019880587
326.3146973,10.24765,1398380.781,1239521.281,602886.5313,648096.5313,3265395.656,4262210.406,2777849.656,1168162.906,100,100,C21H42O2,CCCCCCCCCCCCCCCCCC(CC)C(O)=O,1.019880587
342.3012187,7.607066667,3535064.92,205667.0762,326601.8262,740592.8574,7327562.92,6916239.92,22881213.42,14561566.42,83828269.42,2414302.75,C20H41NO3,CCCCCCC(O)CCCCCCCCCCC(=O)NCCO,1.019878477
342.3012187,7.607066667,3535064.92,205667.0762,326601.8262,740592.8574,7327562.92,6916239.92,22881213.42,14561566.42,83828269.42,2414302.75,C20H41NO3,CCCCCCCCCCCCCCCC(=O)N(CCO)CCO,1.019878477
342.3012187,7.607066667,3535064.92,205667.0762,326601.8262,740592.8574,7327562.92,6916239.92,22881213.42,14561566.42,83828269.42,2414302.75,C20H41NO3,CCCCCCCCCCCCCCCC(=O)NCCOCCO,1.019878477
311.2957662,9.789616667,127476751,100,101961567,100,100,318358943,301599583,94645335,100,47851288,C20H40O2,CCCCCCCC/C=C/CCCCCCCCOCCO,1.019876704
311.2957662,9.789616667,127476751,100,101961567,100,100,318358943,301599583,94645335,100,47851288,C20H40O2,CCCCCCCCCCCCCCCCCC(C)C(O)=O,1.019876704
311.2957662,9.789616667,127476751,100,101961567,100,100,318358943,301599583,94645335,100,47851288,C20H40O2,CCCCCCCCCCC(CCCCCCCC)C(O)=O,1.019876704
317.2122498,6.972966667,8054287.236,4436204.236,3237293.986,7198835.236,166009.5332,151433.5645,100,100,854705.2363,945461.6875,C19H28O,C\C=C\C(=O)[C@@H]\1CC(=C/CCC(=C/CC/C=C1C)/C)/C,1.019876388
339.1996969,10.79745,199188164.8,237824468.8,342108548.8,311956164.8,33298008.75,48362776.75,26696928.75,24971608.75,1371824773,1619882112,C19H32O3S,CCCCCCCCCCC(CC)c1ccc(cc1)[S](O)(=O)=O,1.019852776
387.3227743,7.09355,1062492.67,748085.9824,1238294.545,1346689.42,100,100,100,100,8582977.42,146832.7969,C20H42N2O2,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCN,1.0198518
317.2123311,6.965716667,719648.7363,9144885.236,8191588.736,825853.6113,100,100,100,100,100939.5176,73525.03125,C19H28O,C\C=C\C(=O)[C@@H]\1CC(=C/CCC(=C/CC/C=C1C)/C)/C,1.019846072
317.2122803,6.965716667,1660812.861,2004397.736,1659412.236,1466579.361,100,100,100,100,100,179237.4844,C19H28O,C\C=C\C(=O)[C@@H]\1CC(=C/CCC(=C/CC/C=C1C)/C)/C,1.019846072
378.2862549,11.18608333,1497303.906,1279673.906,4639733.156,1424157.281,100,100,100,100,100,100,C20H43O4P,CCCCCCCCCCO[P](O)(=O)OCCCCCCCCCC,1.019845934
378.2862549,11.18608333,1497303.906,1279673.906,4639733.156,1424157.281,100,100,100,100,100,100,C20H43O4P,CCCC[P+](CCCC)(CCCC)CCCC.CC(O)=O.CC([O-])=O,1.019845934
378.2862549,11.18608333,1497303.906,1279673.906,4639733.156,1424157.281,100,100,100,100,100,100,C20H43O4P,CCCCCCCCCCCCCCCCCCCCO[P](O)(O)=O,1.019845934
378.2862549,11.18608333,1497303.906,1279673.906,4639733.156,1424157.281,100,100,100,100,100,100,C20H43O4P,CCCCCCCCCCCCCCCCCCCCO[P](O)(O)=O,1.019845934
325.184082,10.171,350032368,470555088,640339664,608727504,126587616,134962672,91261336,88366776,1779042128,2239104000,C18H30O3S,CCCCCCCCCCCCc1ccc(cc1)[S](O)(=O)=O,1.019837886
325.184082,10.171,350032368,470555088,640339664,608727504,126587616,134962672,91261336,88366776,1779042128,2239104000,C18H30O3S,CCCCCCCCCC(CC)c1ccc(cc1)[S](O)(=O)=O,1.019837886
325.184082,10.171,350032368,470555088,640339664,608727504,126587616,134962672,91261336,88366776,1779042128,2239104000,C18H30O3S,CCC(C(C)CC(C)CC(C)C)c1ccc(cc1)[S](O)(=O)=O,1.019837886
367.3581238,11.82093333,10373496.5,7214162.5,16733758.5,9519310.5,112683118.5,109895078.5,82471390.5,84305358.5,100,41307448,C24H48O2,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,1.019832496
367.3581238,11.82093333,10373496.5,7214162.5,16733758.5,9519310.5,112683118.5,109895078.5,82471390.5,84305358.5,100,41307448,C24H48O2,CCCCCCCCCCCCC(CCCCCCCCCC)C(O)=O,1.019832496
340.3300781,10.8076,838398.0625,585069.5625,398557.8125,248214.8125,25569189.56,29391307.56,39789859.56,21373977.56,100,5458770,C22H44O2,CCCCCCCCCCCCCCCCCCCCCC(O)=O,1.019803237
411.384196,9.456583333,7822051.266,7081483.266,5639825.766,4981088.266,417967.3906,448270.0156,100,100,100,191391.6563,C26H52O3,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(CC)CCCC,1.019770962
411.3841248,9.456583333,1519125.016,1207970.766,825141.2656,590803.1406,100,100,100,100,100,100,C26H52O3,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(CC)CCCC,1.019770962
369.3483378,7.692483333,100,100,100,100,100,100,627003.2598,100,53297737.63,100,C22H46N2O2,CCCCCCCCCCCCCCCCCC(=O)NCCNCCO,1.019729052
369.3483276,7.692483333,100,100,100,100,100,100,100,100,11981964.63,57527.67188,C22H46N2O2,CCCCCCCCCCCCCCCCCC(=O)NCCNCCO,1.019729052
329.085612,5.457716667,100,100,100,100,100,100,100,100,1222219.25,209814.0938,C18H18O4S,Oc1ccc(cc1CC=C)[S](=O)(=O)c2ccc(O)c(CC=C)c2,1.019697933
339.2330729,7.836883333,3033035.227,1489600.477,1251088.352,5219784.977,100,100,10237071.48,3183667.227,315105.0078,741180.9375,C23H32O2,CC(C)(C)c1cc(ccc1O)C(C)(C)c2ccc(O)c(c2)C(C)(C)C,1.019678344
339.2330729,7.836883333,3033035.227,1489600.477,1251088.352,5219784.977,100,100,10237071.48,3183667.227,315105.0078,741180.9375,C23H32O2,Cc1cc(Cc2cc(C)cc(c2O)C(C)(C)C)c(O)c(c1)C(C)(C)C,1.019678344
339.2330729,7.836883333,3033035.227,1489600.477,158825.6328,295737.8828,523294.4766,511449.7266,10237071.48,100,315105.0078,741180.9375,C23H32O2,CC(C)(C)c1cc(ccc1O)C(C)(C)c2ccc(O)c(c2)C(C)(C)C,1.019678344
