mz,rt,X500_700_Neg_jgu1.mzXML,X500_700_Neg_jgu2.mzXML,X500_700_Neg_jgw1.mzXML,X500_700_Neg_jgw2.mzXML,X500_700_Neg_nju1.mzXML,X500_700_Neg_nju2.mzXML,X500_700_Neg_njw1.mzXML,X500_700_Neg_njw2.mzXML,X500_700_Neg_oju2.mzXML,X500_700_Neg_ojw1.mzXML,formula.pred,SMILES,allscore
602.5358683,11.88736667,162139.707,100,100,100,100,100,100,100,100,100,C36H75O4P,CCCCCCCCCCCCCCCCCCO[P](O)(=O)OCCCCCCCCCCCCCCCCCC,1.996313786
666.1800334,4.752433333,425403,654348.0625,142889.9844,239125.6719,100,100,100,100,100,100,C30H41N3O6S4,CCN(CC)CC.CC(C=C1Sc2ccccc2N1CCC[S](O)(=O)=O)=Cc3sc4ccccc4[n+]3CCC[S]([O-])(=O)=O,1.861609004
586.3467611,7.1007,34564477.5,30359801.5,12924237.5,50162697.5,100,100,100,100,24806185.5,5792889,C34H50O8,Cc1cc(CCC(=O)OCCOCCOCCOC(=O)CCc2cc(C)c(O)c(c2)C(C)(C)C)cc(c1O)C(C)(C)C,1.748309012
676.6356405,8.944183333,952853.375,100,100,100,100,100,100,100,100,100,C42H83N3O3,CCCCCCCCCCCCCCCCCC(=O)NCCN1CCN=C1CCCCCCCCCCCCCCCCC.CC(O)=O,1.559259334
605.0612793,6.4438,100,100,100,100,100,100,127704.4688,100,100,100,C28H20N4O8S2,O[S](=O)(=O)c1cc2C=CC(=O)\C(=N/Nc3ccc(cc3)c4ccc(NN=C5C=CC(=O)C=C5)cc4)c2c(c1)[S](O)(=O)=O,1.456777689
586.3467611,7.106566667,90932033.5,30359801.5,29145077.5,50162697.5,100,100,100,100,123322233.5,127628504,C34H50O8,Cc1cc(CCC(=O)OCCOCCOCCOC(=O)CCc2cc(C)c(O)c(c2)C(C)(C)C)cc(c1O)C(C)(C)C,1.415215503
536.105835,7.004583333,100,155316.0781,100,100,100,100,100,100,100,13807.75293,C26H21ClN4O7,COc1cc(OC)c(NC(=O)C2=Cc3ccccc3C(=N/Nc4cc(ccc4OC)[N+]([O-])=O)/C2=O)cc1Cl,1.338869409
585.3430786,7.106566667,242904326,81700350,80416670,135390166,100,100,100,100,333289382,337594208,C34H50O8,Cc1cc(CCC(=O)OCCOCCOCCOC(=O)CCc2cc(C)c(O)c(c2)C(C)(C)C)cc(c1O)C(C)(C)C,1.304156169
586.3470459,7.106566667,11064929.5,100,100,2228666.5,100,100,100,100,18510595.5,27554082,C34H50O8,Cc1cc(CCC(=O)OCCOCCOCCOC(=O)CCc2cc(C)c(O)c(c2)C(C)(C)C)cc(c1O)C(C)(C)C,1.304103126
536.1058146,7.009233333,2973200.141,1886758.391,1646789.641,2572812.891,100,100,100,100,100,111465.0469,C26H21ClN4O7,COc1cc(OC)c(NC(=O)C2=Cc3ccccc3C(=N/Nc4cc(ccc4OC)[N+]([O-])=O)/C2=O)cc1Cl,1.246189973
634.6253459,9.681033333,100,100,100,100,100,100,2431515.75,100,100,100,C40H81N3O2,CCCCCCCCCCCCCCCCCC(=O)NCCN(CCN)C(=O)CCCCCCCCCCCCCCCCC,1.219359942
635.6287231,9.681033333,100,100,100,100,100,100,1044642.125,100,100,100,C40H81N3O2,CCCCCCCCCCCCCCCCCC(=O)NCCN(CCN)C(=O)CCCCCCCCCCCCCCCCC,1.162146287
636.6321411,9.681033333,100,100,100,100,100,100,220671.1484,100,100,100,C40H81N3O2,CCCCCCCCCCCCCCCCCC(=O)NCCN(CCN)C(=O)CCCCCCCCCCCCCCCCC,1.072387356
635.6094767,11.41215,100,100,100,100,100,100,17374921.7,100,100,100,C40H80N2O3,CCCCCCCCCCCCCCCCCC(=O)NCCN(CCO)C(=O)CCCCCCCCCCCCCCCCC,1.072343629
636.6130981,11.41215,100,100,100,100,100,100,7554256.5,100,100,100,C40H80N2O3,CCCCCCCCCCCCCCCCCC(=O)NCCN(CCO)C(=O)CCCCCCCCCCCCCCCCC,1.067289853
634.5773722,11.1812,100,100,133433.9063,100,100,100,452734.0313,102280.3906,100,100,C40H77NO4,CCCCCCCCCCCCCCCCCC(=O)OCC1(CO)COC(=N1)CCCCCCCCCCCCCCCCC,1.056426117
634.5773722,11.1812,100,100,100,100,100,100,677843.9375,100,100,100,C40H77NO4,CCCCCCCCCCCCCCCCCC(=O)OCC1(CO)COC(=N1)CCCCCCCCCCCCCCCCC,1.056426117
563.5046794,8.626383333,104956403.3,154707139.3,113192963.3,133830547.3,29301399.25,20964483.25,13907717.25,16746949.25,9061437.25,16961618,C36H68O4,CCCCCCCCC(CCCCCCCCC(O)=O)C(CCCCCCCC(O)=O)CC\C=C/CCCCC,1.019855958
