mz,rt,X500_700_Neg_jgu1.mzXML,X500_700_Neg_jgu2.mzXML,X500_700_Neg_jgw1.mzXML,X500_700_Neg_jgw2.mzXML,X500_700_Neg_nju1.mzXML,X500_700_Neg_nju2.mzXML,X500_700_Neg_njw1.mzXML,X500_700_Neg_njw2.mzXML,X500_700_Neg_oju2.mzXML,X500_700_Neg_ojw1.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,chracaterscore,ionmodescore,adductscore,MS2score,allscore,temp.scorevalues
519.3893433,6.983816667,100,100,100,100,100,100,100,100,1123481.002,1440735.25,10,C28H58O9,0.006100556,-4.288465402,-4.282364846,CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.CCCC(O)=O.OCCC(CO)CCO,33719,[M-H-H2O]-,0,0,0,0,0,-4.282364846,0
520.150472,5.4532,1339460.5,1027885.438,1053092.75,1697844.125,100,100,100,100,100,100,4,C23H29N5O5S2;C21H23BrN6O9,-0.568390966905548;-0.017256863178029,-4.46671947967565;-4.36836028285378,-5.0351104465812;-4.38561714603181,CCCCN(CCC#N)c1ccc(cc1)N=Nc2sc3cc(OC)ccc3[n+]2C.CO[S]([O-])(=O)=O;COCCOC(=O)CCNc1cc(NC(C)=O)c(cc1OC)N=Nc2c(Br)cc(cc2[N+]([O-])=O)[N+]([O-])=O,17741;12603,[M-H]-;[M-Br+O]-,0;0,0,-0.5;0,1;0.5,0;0,0;-3.88561714603181,0
519.3179932,9.681316667,100,100,100,100,421082.6563,501769.0625,236144.7031,457352.6875,100,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520.3930054,6.955016667,100,100,100,100,100,100,100,100,346184.125,425570.75,10,C28H58O9,0.005246759,-2.312378093,-2.307131334,CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.CCCC(O)=O.OCCC(CO)CCO,33719,[M-H-H2O]-,0,0,0,0,0,-2.307131334,0
520.9970296,8.5038,333959.4063,256350.3594,478545.25,280936.875,100,100,100,100,100,100,3,C24H16Cl2O7,-0.559826043,0.009950331,-0.549875712,CC(=O)Oc1cc2Oc3cc(OC(C)=O)c(Cl)cc3C(c2cc1Cl)c4ccccc4C(O)=O,10986,[M+Cl]-,0,0,0,0,0,-0.549875712,0
521.0523682,0.91623,193878.2622,208163.981,116563.8247,126053.4185,100,100,100,100,100,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521.0826213,5.333866667,39578863.99,35511799.99,37170363.99,29532597.99,100,100,100,100,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521.1186523,5.905566667,1928352.063,3536572.063,100,2516529.063,100,100,100,100,100,169689.6094,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521.1186523,5.905566667,1928352.063,3536572.063,1911295.563,2516529.063,100,100,100,100,100,169689.6094,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521.1250407,5.161166667,100,100,100,100,269434.375,269780.25,362083.625,411680.0625,328351.4063,191451.4688,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521.4566447,8.294983333,5151596.031,2794129.531,3514163.281,4892041.531,9787597.031,5542870.031,1612379.781,4174552.531,2649106.781,1240203.5,5,C32H60O2,0.007723188,-4.507576027,-4.499852839,CCCCCCCCCCCCCC/C=C/1OC(=O)C1CCCCCCCCCCCCCC,20370,[M+CH2O2-H]-,0,0,0,0,0,-4.499852839,0
521.9850871,6.927433333,156485,182608,100969.75,185266.1875,100,100,100,100,100,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.0858154,5.333866667,9212656,7903250.5,7889119,6890569,100,100,100,100,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.1025798,6.33165,1844749.035,2138923.16,3077498.91,2498374.66,100,100,100,100,100,33480.44141,3,C24H25ClN4O3S,-0.970411884,-4.296765215,-5.2671771,CCN(Cc1ccccc1)c2cccc(NC(=O)CN=Nc3ccc(cc3Cl)[S](C)(=O)=O)c2,20510,[M+Cl]-,0,0,0,0,0,0,0
522.3105672,10.7886,220542.7969,277099.6875,209913.9844,220907.4375,100,100,100,100,100,100,2,C28H46ClN3O4,-0.09185229,0.009950331,-0.081901959,CC(C)CC(C)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.NCCNCCN.ClCC3CO3,32767,[M-H]-,0,0,0,1,0,0.918098041,0
522.3105672,10.7886,220542.7969,277099.6875,209913.9844,220907.4375,100,100,100,100,100,100,2,C28H46ClN3O4,-0.09185229,0.009950331,-0.081901959,CC(C)CC(C)=O.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.NCCNCCN.ClCC3CO3,32767,[M-H]-,0,0,0,1,0,0.918098041,0
522.3923543,9.623616667,100,100,100,100,494022.1123,495494.5811,100,443321.8623,100,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.460022,8.294983333,2002940.531,913050.0313,1200395.656,1839980.531,3645718.531,1916064.531,613952.2188,1838212.031,955041.0313,421698.5625,5,C32H60O2,0.005659487,-4.466779884,-4.461120397,CCCCCCCCCCCCCC/C=C/1OC(=O)C1CCCCCCCCCCCCCC,20370,[M+CH2O2-H]-,0,0,0,0,0,-4.461120397,0
522.8566284,0.956815,100,100,100,100,140072.4375,100,100,100,100,1110463.875,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.8566284,0.956815,100,100,100,100,140072.4375,100,100,100,100,1110463.875,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520.9036255,8.126316667,136646.6719,100,100,100,100,100,235125,716318.4375,100,240459.9531,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521.0827637,5.333866667,12492759.99,10709448.99,10695834.99,9442636.993,100,100,100,100,100,32415.50391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523.086853,6.773483333,581686.2109,698173.9609,493152.0234,536996.7734,100,100,100,100,100,100,2,C24H25Cl2N3O4S,-0.797583751,-2.186522774,-2.984106525,CCN1C(=CC=Cc2oc3ccccc3[n+]2CC)N(CCC[S]([O-])(=O)=O)c4cc(Cl)c(Cl)cc14,15719,[M-H]-,0,0,0,1,0,0,0
523.0898641,0.917388333,232454.7813,210110.2969,153544.6094,156917.8125,100,100,100,100,100,100,1,C20H26ClN3O7S,-0.732278517,-4.489212997,-5.221491514,CN(C)CCN(Cc1sc(Cl)cc1)c2ccccn2.OC(=O)CC(O)(CC(O)=O)C(O)=O,3015,[M+Cl]-,0,0,0,0,0,0,0
523.0982463,6.244783333,16121726.45,14430613.45,16328643.45,13606079.45,100,100,100,100,100,51367.23047,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523.1373088,5.851433333,100,100,100,100,100,100,100,100,115185,335318.7188,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523.3115641,5.089916667,222230.125,100456.4453,2208451,1459956.375,100,100,100,100,100,100,3,C29H51NO4S2,-0.489201155,0.009950331,-0.479250824,CCCCCCCCCCCCCCCCCCN1CC(C)(C)S[C@H]1c2cc(ccc2O)[S](O)(=O)=O,43945,[M-H-H2O]-,0,0,0,0,0,-0.479250824,0
523.4723714,8.399116667,256862.7109,342949.1172,401726.9922,609348.3672,1797642.68,1239409.93,3592206.68,3121371.43,1995199.18,3957941,10,C33H64O4;C33H66O5;C32H62O2,0.00783998453061162;0.00783998453061162;0.00783998453061162,-4.00277990654933;-3.84886147903235;-4.31442380724218,-3.99493992201872;-3.84102149450174;-4.30658382271157,CCCCCCCCCCCCOC(=O)CCCCCCCC(=O)OCCCCCCCCCCCC;CCCCCCCCCCO.CCCCCCCC\C=C/CCCCCCCC(O)=O.CC1CO1.C2CO2;CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCCCCCC,18170;40434;16479,[M-H]-;[M-H-H2O]-;[M+CH2O2-H]-,0;0;0,0,-0.5;0;0,1;0;0,0;0;0,0;-3.84102149450174;-4.30658382271157,0
