"mz","rt","X500_700_Pos_jgu1.mzXML","X500_700_Pos_jgu2.mzXML","X500_700_Pos_jgw1.mzXML","X500_700_Pos_jgw2.mzXML","X500_700_Pos_nju1.mzXML","X500_700_Pos_nju2.mzXML","X500_700_Pos_njw1.mzXML","X500_700_Pos_njw2.mzXML","X500_700_Pos_oju2.mzXML","X500_700_Pos_ojw1.mzXML","formula.pred","SMILES","allscore"
"647.4816284","10.07956667","100","111107.7265625","729968.4765625","814882.1015625","100","100","100","100","100","38524.60156","C39H67ClN2O4","CCCCCCCCCCCCCCC1CO1.CN(C)CCCN.CC(C)(c2ccc(O)cc2)c3ccc(O)cc3.ClCC4CO4","0"
"647.4816284","10.07956667","100","111107.7265625","729968.4765625","814882.1015625","100","100","100","100","100","38524.60156","C39H65ClN2O3","CCCCCCCC\C=C/CCCCCCCCNCCCN.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3","-3.0687969969084"
"647.4818115","8.995383333","100","298442.6640625","100","100","100","100","100","100","1383573.2265625","380275.4375","C39H67ClN2O4","CCCCCCCCCCCCCCC1CO1.CN(C)CCCN.CC(C)(c2ccc(O)cc2)c3ccc(O)cc3.ClCC4CO4","0"
"647.4818115","8.995383333","100","298442.6640625","100","100","100","100","100","100","1383573.2265625","380275.4375","C39H65ClN2O3","CCCCCCCC\C=C/CCCCCCCCNCCCN.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3","-0.621193981824948"
"647.5190226","11.55546667","100","100","100","100","115137.30083125","100","138698.53513125","100","100","75290.11719","C29H68N5O7P","CCCCCCCCCCCCCCCCCC(O)=O.CCO[P](=O)(OCC)OCC.NCCNCCN.NC(N)=O","-0.030246564"
"648.1048584","11.73526667","2396653.25","2072642.375","2639629.25","1420372.125","100","100","100","100","100","41216.00781","C25H36Cl6O4","CCCCC(CC)COC(=O)C1C(C(=O)OCC(CC)CCCC)C2(Cl)C(=C(Cl)C1(Cl)C2(Cl)Cl)Cl","0"
"648.1048584","11.73526667","2396653.25","2072642.375","2639629.25","1420372.125","100","100","100","100","100","41216.00781","C25H36Cl6O4","CC(C)CCCCCOC(=O)C1C(C(=O)OCCCCCC(C)C)C2(Cl)C(=C(Cl)C1(Cl)C2(Cl)Cl)Cl","0"
"648.4387614","11.82163333","178203.43364375","134277.85544375","2893934.83984375","1948336.83984375","250195.12114375","2768349.83984375","100","100","100","29063.47852","C34H62O11","CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)c(c1)C(C)(C)C","-4.78115853"
"648.4387614","11.82163333","1884573.21484375","1873092.71484375","2843010.08984375","1948336.83984375","100","100","100","100","100","100","C34H62O11","CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)c(c1)C(C)(C)C","-4.78115853"
"648.4403687","10.48258333","164061.7734875","120136.1952875","252085.5859875","100","236053.4609875","307884.0234875","657135.5546875","538012.1171875","100","145163.5938","C34H62O11","CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)c(c1)C(C)(C)C","-0.476066639"
"648.4403687","10.48258333","164061.7734875","120136.1952875","252085.5859875","100","236053.4609875","307884.0234875","657135.5546875","538012.1171875","100","145163.5938","C34H62O11","CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)c(c1)C(C)(C)C","-0.476066639"
