mz,rt,X700_900_Neg_jgu1.mzXML,X700_900_Neg_jgu2.mzXML,X700_900_Neg_jgw1.mzXML,X700_900_Neg_jgw2.mzXML,X700_900_Neg_nju1.mzXML,X700_900_Neg_nju2.mzXML,X700_900_Neg_njw1.mzXML,X700_900_Neg_njw2.mzXML,X700_900_Neg_oju2.mzXML,X700_900_Neg_ojw1.mzXML,formula.pred,SMILES,allscore
747.5280355,7.59635,100,100,100,100,100,114683.5234,323511.0625,100,100,98548.38281,C41H72N4O8,CC(C)(c1ccc(OCC(O)CNCCCOCCOCCCCCN)cc1)c2ccc(OCC(O)CNCCCOCCOCCCCCN)cc2,1.007752513
794.8050334,11.82708333,100,100,100,100,2365602,1689210.25,3464824.25,2019177.875,100,322143.7188,C52H106O4,[CH2]CCCCCCCCCCCCCCC.[CH2]CCCCCCCCCCCCCCCCC.CCCCCCCCCC(O)=O.CCCCCCCC(O)=O,0.868138784
845.6341349,10.80003333,254808.3848,318875.3535,267729.791,319987.791,100,100,100,100,100,100,C51H90O7S,CCCCCCCCCCCCc1cccc(c1CCCCCCCCCCCC)[S](O)(=O)=O.CCCCCCCCCc2ccc(O)cc2.CC3CO3.C=O.C4CO4,0.856612341
793.8016968,11.82708333,100,100,100,100,4616269,2788477.5,5906576,4208029,204012.9375,719756.5625,C52H106O4,[CH2]CCCCCCCCCCCCCCC.[CH2]CCCCCCCCCCCCCCCCC.CCCCCCCCCC(O)=O.CCCCCCCC(O)=O,0.855620734
795.8086141,11.82708333,100,100,100,100,724636.9766,531845.4766,868376.1641,669270.0391,100,175114.7656,C52H106O4,[CH2]CCCCCCCCCCCCCCC.[CH2]CCCCCCCCCCCCCCCCC.CCCCCCCCCC(O)=O.CCCCCCCC(O)=O,0.835285648
705.5312703,7.999466667,8127988.026,6704485.026,6860496.526,11229308.53,100,100,100,100,329103.9952,811286.8125,C42H74O8,CCCCCCCCCCCCCCCCCC(O)=O.CCCCCCCCCCCCCCCC(O)=O.OC(=O)c1ccccc1C(O)=O,0.696994118
773.6358236,11.12115,259028.4453,423584.9766,381104.9453,560897.8203,100,100,100,100,100,100,C52H86O5,CCCCCCCCCc1ccccc1O.CCCCCCCCCc2cccc(O)c2CCCCCCCCC.CC(C)(C)c3ccc(O)cc3.C=O.C4CO4,0.454805994
807.1908976,5.214883333,100,100,100,100,135061.7188,134562.0469,100,100,100,100,C46H29N7O6S,CSc1nc(Nc2cccc3C(=O)c4c(NC(=O)c5ccccc5)cccc4C(=O)c23)nc(Nc6cccc7C(=O)c8c(NC(=O)c9ccccc9)cccc8C(=O)c67)n1,0.373592304
807.1908976,5.214883333,100,100,100,100,135061.7188,134562.0469,100,100,100,100,C46H29N7O6S,CSc1nc(Nc2cccc3C(=O)c4c(NC(=O)c5ccccc5)cccc4C(=O)c23)nc(Nc6cccc7C(=O)c8c(NC(=O)c9ccccc9)cccc8C(=O)c67)n1,0.373592304
717.5070597,7.038633333,100,100,100,100,100,100,100,100,1085189.355,1462953.375,C39H72O11,CCCCCCCCCC(=O)OCC(CO)(COCC(CO)(COC(=O)CCCC)COC(=O)CCCCCCC)COC(=O)CCCCC,0.335142595
