mz,rt,X700_900_Pos_jgu1.mzXML,X700_900_Pos_jgu2.mzXML,X700_900_Pos_jgw1.mzXML,X700_900_Pos_jgw2.mzXML,X700_900_Pos_nju1.mzXML,X700_900_Pos_nju2.mzXML,X700_900_Pos_njw1.mzXML,X700_900_Pos_njw2.mzXML,X700_900_Pos_oju2.mzXML,X700_900_Pos_ojw1.mzXML,formula.pred,SMILES,allscore
727.5041504,10.50183333,3550854.25,3741827.5,5443691.75,2934020,100,100,100,100,100,110533.8594,C42H70O8,CCCCC(CC)COC(=O)c1cc(C(=O)OCC(CC)CCCC)c(cc1C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,0
728.5078328,10.50183333,3612845.029,3803818.279,5505682.529,2996010.779,100,100,100,100,100,110533.8594,C35H69Cl3N8,CC(C)(C)CC(C)(C)N.CC1(C)CC(CC(C)(C)N1)NCCCCCCNC2CC(C)(C)NC(C)(C)C2.Clc3nc(Cl)nc(Cl)n3,0
728.5078328,10.50183333,3612845.029,3803818.279,5505682.529,2996010.779,100,100,100,100,100,110533.8594,C33H75N3O10S,CCCCCCCCCCCCOCC(O)C[N+](C)(CCO)CCC[N+](C)(CCO)CCC[N+](C)(CCO)CCO.CO[S]([O-])(=O)=O,0
728.5078328,10.50183333,3612845.029,3803818.279,5505682.529,2996010.779,100,100,100,100,100,110533.8594,C46H66N2O5,CCCCCCCCCCCCCCCCCC([O-])=O.CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC,-0.024112401
729.5114136,9.015883333,24506579.86,19136829.86,37546835.86,8222774.863,100,100,100,100,100,56489.96484,C46H66N2O5,CCCCCCCCCCCCCCCCCC([O-])=O.CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC,-0.601571048
729.5108236,9.0265,102801143.9,73813687.86,77642175.86,64311119.86,100,100,100,100,626124.1758,137684.75,C33H75N3O10S,CCCCCCCCCCCCOCC(O)C[N+](C)(CCO)CCC[N+](C)(CCO)CCC[N+](C)(CCO)CCO.CO[S]([O-])(=O)=O,0
729.5108236,9.0265,102801143.9,73813687.86,77642175.86,64311119.86,100,100,100,100,626124.1758,137684.75,C46H66N2O5,CCCCCCCCCCCCCCCCCC([O-])=O.CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC,-0.601567309
729.5114136,9.015883333,213334.0508,240916.4571,312959.8321,109480.3633,100,100,100,100,100,20924.94922,C46H66N2O5,CCCCCCCCCCCCCCCCCC([O-])=O.CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC,-0.601571048
731.5269165,8.928533333,46053243.66,40807563.66,75972423.66,58996119.66,495150.5391,352529.5704,154661.3047,551546.7891,355855.3204,486902.3125,C46H60N6,CCN(CC)c1ccc(cc1)N(c2ccc(cc2)N(CC)CC)c3ccc(cc3)N(c4ccc(cc4)N(CC)CC)c5ccc(cc5)N(CC)CC,-5.364205184
733.4689535,7.7038,5705310.08,5624896.08,13520323.58,10518699.58,100,100,100,100,100,100,C31H70O18,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.CC(O)COC(C)CO.CC(O)COC(C)CO.CC(O)COC(C)CO.CC(O)COC(C)CO,-5.891723893
733.4692586,7.6587,1878957.83,2122033.08,672196.7051,813569.5801,100,100,100,100,100,154945.625,C31H70O18,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.CC(O)COC(C)CO.CC(O)COC(C)CO.CC(O)COC(C)CO.CC(O)COC(C)CO,-4.637354233
733.4694214,7.7038,2114838.351,2356042.351,5727518.351,4150326.851,100,100,100,100,100,100,C42H70O9S,CCCCCCCCCCCCS.CCCCOC(=O)C=C.COC(=O)C(C)=C.CC(=C)C(O)=O.CC(=C)C(=O)OCCO.C=Cc1ccccc1,0
733.4694214,7.7038,2114838.351,2356042.351,5727518.351,4150326.851,100,100,100,100,100,100,C31H70O18,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.CC(O)COC(C)CO.CC(O)COC(C)CO.CC(O)COC(C)CO.CC(O)COC(C)CO,-3.741635135
734.3319092,6.6433,1760139.172,1054813.797,1595829.672,2761801.172,100,100,100,100,100,111253.2969,C33H48O16,CC(C)(CO)CO.OCCCCCCO.OC(=O)CCCCC(O)=O.OC(=O)c1ccc(cc1)C(O)=O.OC(=O)c2cccc(c2)C(O)=O,-3.402213632
735.50295,9.93295,2852354.771,3075131.771,3048004.771,2227426.021,100,100,100,100,100,69688.51563,C36H65N3O11,CCC(CO)(CO)CO.CC1(C)CC(N)CC(C)(CN)C1.NC2CCCCC2.OC(=O)CCCCC(O)=O.OC(=O)c3cccc(c3)C(O)=O,0.564612319
735.50295,9.93295,2852354.771,3075131.771,3048004.771,2227426.021,100,100,100,100,100,69688.51563,C36H65N3O11,CCC(CO)(CO)CO.CC1(C)CC(N)CC(C)(CN)C1.NC2CCCCC2.OC(=O)CCCCC(O)=O.OC(=O)c3cccc(c3)C(O)=O,0.564612319
735.5217489,8.07485,17019452.44,14083119.44,3328784.188,3510903.688,73842112.44,89351072.44,69165552.44,106830696.4,7950153.438,3589307.5,C38H72N2O6S2,CCCCCCCCCCCCCCCC(=O)NC(CSSCC(NC(=O)CCCCCCCCCCCCCCC)C(O)=O)C(O)=O,-5.065948347
