mz,minintensity,sampleID,IsUnique,,Formula,ProdList,+e-,-10 ppm,+10 ppm,,Match found?,Total matches
113.023,5688.663086,9,FALSE,,,,,,,,,
113.06,4340.932617,1,FALSE,,,,,,,,,
113.06,4830.967285,2,FALSE,,,,,,,,,
113.06,4322.46582,3,FALSE,,,,,,,,,
113.06,2845.488525,4,FALSE,,,,,,,,,
113.06,4661.691406,5,FALSE,,,,,,,,,
113.06,3125.05127,6,FALSE,,,,,,,,,
113.06,4783.433594,7,FALSE,,,,,,,,,
113.06,5477.961914,8,FALSE,,,,,,,,,
113.06,4387.636719,9,FALSE,,,,,,,,,
113.925,3608.116943,1,FALSE,,,,,,,,,
113.925,11548.16797,2,FALSE,,,,,,,,,
113.925,11712.19434,3,FALSE,,,,,,,,,
113.925,12071.03516,4,FALSE,,,,,,,,,
113.925,14603.5293,5,FALSE,,,,,,,,,
113.925,11231.26074,6,FALSE,,,,,,,,,
113.925,10888.18457,7,FALSE,,,,,,,,,
113.925,9625.417969,8,FALSE,,,,,,,,,
113.925,16367.9209,9,FALSE,,,,,,,,,
113.988,4955.815918,1,FALSE,,,,,,,,,
113.988,5966.34375,2,FALSE,,,,,,,,,
113.988,8306.258789,3,FALSE,,,,,,,,,
113.988,6640.278809,4,FALSE,,,,,,,,,
113.988,5753.071289,5,FALSE,,,,,,,,,
113.988,6896.182129,6,FALSE,,,,,,,,,
113.988,7561.561035,7,FALSE,,,,,,,,,
113.988,7856.494141,8,FALSE,,,,,,,,,
113.988,8641.370117,9,FALSE,,,,,,,,,
114.933,13634.82813,1,FALSE,,,,,,,,,
114.933,17928.77539,2,FALSE,,,,,,,,,
114.933,10656.19824,3,FALSE,,,,,,,,,
114.933,14997.55078,4,FALSE,,,,,,,,,
114.933,21033.66602,5,FALSE,,,,,,,,,
114.933,16496.65234,6,FALSE,,,,,,,,,
114.933,17971.87305,7,FALSE,,,,,,,,,
114.933,18961.28125,8,FALSE,,,,,,,,,
114.933,23006.90039,9,FALSE,,,,,,,,,
114.989,2947.428955,2,TRUE,,,,,,,,,
115.003,2655.782959,4,FALSE,,,,,,,,,
115.003,2510.260986,5,FALSE,,,,,,,,,
115.003,2682.840332,8,FALSE,,,,,,,,,
115.003,2725.259033,9,FALSE,,,,,,,,,
115.039,4072.479492,1,FALSE,,,,,,,,,
115.039,4097.783203,2,FALSE,,,,,,,,,
115.039,2861.246094,3,FALSE,,,,,,,,,
115.039,5231.814941,4,FALSE,,,,,,,,,
115.039,3543.945801,5,FALSE,,,,,,,,,
115.039,4391.237793,6,FALSE,,,,,,,,,
115.039,4043.402832,7,FALSE,,,,,,,,,
115.039,4673.432129,8,FALSE,,,,,,,,,
115.039,3475.12793,9,FALSE,,,,,,,,,
115.92,749353,4,FALSE,,,,,,,,,
115.92,913885.25,5,FALSE,,,,,,,,,
115.92,833301.6875,8,FALSE,,,,,,,,,
115.92,946408,9,FALSE,,,,,,,,,
116.034,3462.718018,1,FALSE,,,,,,,,,
116.034,3580.537842,2,FALSE,,,,,,,,,
116.034,4011.195313,3,FALSE,,,,,,,,,
116.034,4316.05127,4,FALSE,,,,,,,,,
116.034,4479.571777,5,FALSE,,,,,,,,,
116.034,3645.180908,6,FALSE,,,,,,,,,
116.034,3579.406006,7,FALSE,,,,,,,,,
116.034,4397.871094,8,FALSE,,,,,,,,,
116.034,3411.280518,9,FALSE,,,,,,,,,
116.92,48774.00781,1,FALSE,,,,,,,,,
116.92,77206.66406,2,FALSE,,,,,,,,,
116.92,94640.61719,3,FALSE,,,,,,,,,
116.92,89832.53906,4,FALSE,,,,,,,,,
116.92,112598.4219,5,FALSE,,,,,,,,,
116.92,92711.67969,6,FALSE,,,,,,,,,
116.92,107169.8594,7,FALSE,,,,,,,,,
116.92,102023.2031,8,FALSE,,,,,,,,,
116.92,112339.7266,9,FALSE,,,,,,,,,
116.927,1098321.875,1,FALSE,,,,,,,,,
116.927,1124913.125,2,FALSE,,,,,,,,,
116.927,910205.375,3,FALSE,,,,,,,,,
116.927,1309339,4,FALSE,,,,,,,,,
116.927,1584316,5,FALSE,,,,,,,,,
116.927,1311506.75,6,FALSE,,,,,,,,,
116.927,1459936.75,7,FALSE,,,,,,,,,
116.927,1535346.375,8,FALSE,,,,,,,,,
116.927,1588758.125,9,FALSE,,,,,,,,,
117.018,109369.6875,1,FALSE,,,,,,,,,
117.018,112099.9766,2,FALSE,,,,,,,,,
117.018,89953.55469,3,FALSE,,,,,,,,,
117.018,119422.1484,4,FALSE,,,,,,,,,
117.018,109087.2891,5,FALSE,,,,,,,,,
117.018,106138.1016,6,FALSE,,,,,,,,,
117.018,102433.7813,7,FALSE,,,,,,,,,
117.018,109077.0469,8,FALSE,,,,,,,,,
117.018,101589.3672,9,FALSE,,,,,,,,,
117.055,11442.59766,4,FALSE,,,,,,,,,
117.055,10098.04883,8,FALSE,,,,,,,,,
117.055,10751.23828,9,FALSE,,,,,,,,,
117.918,9978.523438,1,FALSE,,,,,,,,,
117.918,17955.22266,2,FALSE,,,,,,,,,
117.918,21452.24219,3,FALSE,,,,,,,,,
117.918,24028.25586,4,FALSE,,,,,,,,,
117.918,23356.75,5,FALSE,,,,,,,,,
117.918,23847.44727,6,FALSE,,,,,,,,,
117.918,23268.16602,7,FALSE,,,,,,,,,
117.918,25338.76563,8,FALSE,,,,,,,,,
117.918,28568.9082,9,FALSE,,,,,,,,,
118.923,5533.734863,1,FALSE,,,,,,,,,
118.923,8205.994141,2,FALSE,,,,,,,,,
118.923,9243.875,3,FALSE,,,,,,,,,
118.923,7667.159668,4,FALSE,,,,,,,,,
118.923,12318.30469,5,FALSE,,,,,,,,,
118.923,9053.058594,6,FALSE,,,,,,,,,
118.923,10135.96387,7,FALSE,,,,,,,,,
118.923,9932.941406,8,FALSE,,,,,,,,,
118.923,9443.03418,9,FALSE,,,,,,,,,
118.926,32985.71094,1,FALSE,,,,,,,,,
118.926,31025.44922,2,FALSE,,,,,,,,,
118.926,25081.05078,3,FALSE,,,,,,,,,
118.926,33745.80469,4,FALSE,,,,,,,,,
118.926,47347.11719,5,FALSE,,,,,,,,,
118.926,32337.65039,6,FALSE,,,,,,,,,
118.926,42577.19922,7,FALSE,,,,,,,,,
118.926,41016.00781,8,FALSE,,,,,,,,,
118.926,42865.40625,9,FALSE,,,,,,,,,
118.932,4187.15625,3,FALSE,,,,,,,,,
118.932,11283.45313,8,FALSE,,,,,,,,,
118.932,10123.42969,9,FALSE,,,,,,,,,
119.034,2835.028076,1,FALSE,,,,,,,,,
119.034,2874.910645,2,FALSE,,,,,,,,,
119.034,4009.814453,3,FALSE,,,,,,,,,
119.034,2843.209961,4,FALSE,,,,,,,,,
119.034,3017.848877,5,FALSE,,,,,,,,,
119.034,3328.463379,6,FALSE,,,,,,,,,
119.034,3069.228516,7,FALSE,,,,,,,,,
119.034,3949.90332,8,FALSE,,,,,,,,,
119.034,3039.909912,9,FALSE,,,,,,,,,
120.065,2257.100098,1,FALSE,,,,,,,,,
120.065,2455.120117,2,FALSE,,,,,,,,,
120.065,2911.240723,6,FALSE,,,,,,,,,
121.028,6206.862305,1,FALSE,,,,,,,,,
121.028,6385.933594,2,FALSE,,,,,,,,,
121.028,5197.933105,3,FALSE,,,,,,,,,
121.028,8996.110352,4,FALSE,,,,,,,,,
121.028,6789.387695,5,FALSE,,,,,,,,,
121.028,6569.758301,6,FALSE,,,,,,,,,
121.028,6685.945313,7,FALSE,,,,,,,,,
121.028,5189.494629,8,FALSE,,,,,,,,,
121.028,6953.0625,9,FALSE,,,,,,,,,
123.044,2058.350098,1,FALSE,,,,,,,,,
123.044,2768.999512,2,FALSE,,,,,,,,,
123.044,2709.85376,4,FALSE,,,,,,,,,
123.044,2579.034668,6,FALSE,,,,,,,,,
123.044,2247.393066,7,FALSE,,,,,,,,,
123.044,2234.744385,8,FALSE,,,,,,,,,
