"mz","rt","X300_500_Neg_JeansA.mzXML","X300_500_Neg_JeansB.mzXML","X300_500_Neg_JeansC.mzXML","X300_500_Neg_JeansD.mzXML","X300_500_Neg_JeansDx.mzXML","X300_500_Neg_JeansE.mzXML","X300_500_Neg_JeansF.mzXML","X300_500_Neg_JeansG.mzXML","X300_500_Neg_JeansGx.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore","MS2score","allscore","X","X460","rows"
303.2002563,7.121183333,100,100,100,100,100,100,318679.2188,491643.125,206153.8906,8,"C14H27NO3","-0.484014474","-3.905299147","-5.38931362","CCCCC(CC)C(=O)NCCCCCC(O)=O","42863","[M+CH2O2-H]-","0","0","0","0","-5.38931362",NA,237,"zeroes"
305.2163493,6.086483333,100,100,275003.4063,100,100,100,100,100,100,3,"C15H33NO6;C15H33NO6;C14H29NO3;C14H29NO3;C14H29NO3","-0.483995333904142;-0.483995333904142;-0.483995333904142;-0.483995333904142;-0.483995333904142","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974","OCCCOCCN(CCOCCCO)CCOCCCO;COCCOCCN(CCOCCOC)CCOCCOC;CCCCCCCCCC(=O)N(CCO)CCO;CCCCCCCCCC(O)=O.C1COCCN1;CC(C)CCCCCOCCCNCCC(O)=O","21641;35334;390;16226;37520","[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0;0;0;0;0","0;0;0;0;0","0;0;0;0;0","0;0;0;0;0","-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974",NA,NA,""
305.2163493,6.086483333,100,100,393151.6875,100,100,100,100,100,100,3,"C15H33NO6;C15H33NO6;C14H29NO3;C14H29NO3;C14H29NO3","-0.483995333904142;-0.483995333904142;-0.483995333904142;-0.483995333904142;-0.483995333904142","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974","OCCCOCCN(CCOCCCO)CCOCCCO;COCCOCCN(CCOCCOC)CCOCCOC;CCCCCCCCCC(=O)N(CCO)CCO;CCCCCCCCCC(O)=O.C1COCCN1;CC(C)CCCCCOCCCNCCC(O)=O","21641;35334;390;16226;37520","[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0;0;0;0;0","0;0;0;0;0","0;0;0;0;0","0;0;0;0;0","-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974;-0.474045003050974",NA,NA,""
307.1590678,5.0669,100,100,100,100,100,100,241123.725830078,116515.678930078,100,7,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,""
307.1952311,7.048983333,9224027.07617188,6390553.57617188,35758869.0761719,6249989.57617188,1158826.45117188,100,8849328.07617188,13758631.0761719,3409109.32617188,3,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,""
307.1952718,7.33,9224027.07617188,4135780.07617188,8385949.07617188,6249989.57617188,859318.888671875,100,195637.013671875,1118284.57617188,2778936.82617188,1,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,""
308.1986287,7.048983333,1509116.63024902,1065181.00524902,5964431.88024902,963584.880249023,186938.380249023,100,1307089.25524902,2182398.13024902,512424.286549023,3,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,""
307.1953125,7.048983333,212900.544971875,100,5363301.07617188,100,100,100,100,172025.388671875,100,3,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,""
309.1532186,5.043216667,100,100,598178.90234375,100,100,100,100,100,100,3,"C15H21NO3","-0.489449382","-4.474735135","-4.964184517","OC(=O)C=C.C=Cc1ccccc1.C2COCCN2","23942","[M+CH2O2-H]-","0","0","0","0","-4.964184517",NA,NA,""
309.1743368,5.77165,100,1302244.9375,100,2045094.9375,878987.6875,206946.1875,6661875.9375,1373740.9375,2016657.1875,7,"C14H30O5S;C13H28O3S;C17H26N2O","0.00880925146637723;0.00880925146637723;-0.0432206018301957","0.00995033085316809;0.00995033085316809;-4.0085185768303","0.0187595823195453;0.0187595823195453;-4.0517391786605","CCCCCCCCCCCCOCCO[S](O)(=O)=O;CCCCCCCCCCCCC[S](O)(=O)=O;CCN1c2cc(NC(=O)CC)ccc2C(C)CC1(C)C","23693;24007;20515","[M-H]-;[M+CH2O2-H]-;[M+Cl]-","0;0;0","0;0;-0.5","1;0;0","0;0;0","1.01875958231955;0.0187595823195453;0",NA,NA,""
