mz,rt,Sample with Max Intensity,Formula,SMILES,Match Score
520.3854777,6.188183333,100_300_Neg_JeansC.mzXML,C27H55O4P,CC(C)CCCCCCCCCCC/C=C/CCCCCCCO[P](O)(=O)OCC(C)C,0.518600521
523.3638916,7.506616667,100_300_Neg_JeansG.mzXML,C30H54O8,CCCCCCC(O)CCCCCCCCCCC(O)=O.COC(=O)C(C)=C.CC(=C)C(=O)OCC1CO1,1.017789022
525.3796387,8.000483333,100_300_Neg_JeansF.mzXML,C29H52O5,CCCCCCCCCCCCCCCC(O)=O.CC(C)(C)c1ccc(O)cc1.C=O.C2CO2,1.205346167
526.3830566,8.000483333,100_300_Neg_JeansF.mzXML,C29H52O5,CCCCCCCCCCCCCCCC(O)=O.CC(C)(C)c1ccc(O)cc1.C=O.C2CO2,1.123300817
530.330953,5.631316667,100_300_Neg_JeansC.mzXML,C24H50O12,OCCCOCC(OCCCO)C(OCCCO)C(OCCCO)C(COCCCO)OCCCO,0.51787001
534.2738444,5.631316667,100_300_Neg_JeansC.mzXML,C27H45ClO8,CCCCOC(=O)C=C.CCCCC(CC)COC(=O)C=C.OC(=O)CC=C.OC(=O)C=C.ClC=C,0.432916651
585.34375,6.33525,100_300_Neg_JeansC.mzXML,C34H52O9,CCCCOC(=O)C=C.CCCCC(CC)COC(=O)C=C.OCCOC(=O)C=C.OC(=O)C=C.C=Cc1ccccc1,1.539978461
585.34375,6.33525,100_300_Neg_JeansC.mzXML,C34H50O8,Cc1cc(CCC(=O)OCCOCCOCCOC(=O)CCc2cc(C)c(O)c(c2)C(C)(C)C)cc(c1O)C(C)(C)C,2.539978461
585.3439331,6.33525,100_300_Neg_JeansC.mzXML,C34H50O8,Cc1cc(CCC(=O)OCCOCCOCCOC(=O)CCc2cc(C)c(O)c(c2)C(C)(C)C)cc(c1O)C(C)(C)C,0.378439753
601.4322917,9.639833333,100_300_Neg_JeansG.mzXML,C32H60O7,CCCCCCO.CCCCCCCCO.CCCCCCCCCCO.OC(=O)c1ccccc1C(O)=O,0.010703498
611.4683634,10.85046667,100_300_Neg_JeansB.mzXML,C39H66O6,CCCCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCCCC)c(c1)C(=O)OCCCCCCCCCC,0.012760241
611.4683634,10.85046667,100_300_Neg_JeansB.mzXML,C39H66O6,CC(C)CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC(C)C)c(c1)C(=O)OCCCCCCCC(C)C,0.012760241
627.4116007,7.9129,100_300_Neg_JeansF.mzXML,C34H62O11,CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)c(c1)C(C)(C)C,1.727208831
627.4116007,7.9129,100_300_Neg_JeansF.mzXML,C34H60O10,CCCCCCC(O)CCCCCCCCCCC(O)=O.COC(=O)C(C)=C.CC(=C)C(O)=O.CC(=C)C(=O)OCC1CO1,2.237815667
641.4266764,8.02985,100_300_Neg_JeansF.mzXML,C35H64O11,CCCCCCCCCc1cccc(OCCCOCCOCCOCCOCCOCCOCCOCCOCCOCO)c1,0.008267067
655.4428914,8.17765,100_300_Neg_JeansF.mzXML,C36H66O11,CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)c(CCCCC)c1,1.094125874
655.4428914,8.17765,100_300_Neg_JeansF.mzXML,C35H62O8,CCCCCCCCOC(=O)\C=C/C(=O)OCCCCCCCC.CCCCC(CC)COC(=O)C=C.CC(=O)OC=C,1.462637572
655.479248,10.86608333,100_300_Neg_JeansG.mzXML,C37H70O10,CCCCCCCCCCC(=O)OCC(CO)(COCC(CO)(CO)COC(=O)CCCCCCCC)COC(=O)CCCCCC,0.016721146
685.5263468,10.88126667,100_300_Neg_JeansDx.mzXML,C38H72O7,CCCCCCCCCCCCCCCC(=O)O[C@H](CO)[C@H]1OC[C@H](O)[C@H]1OC(=O)CCCCCCCCCCCCCCC,0.010180695
