mz,,,,max,step 0.002,upper,lower,Match?,Match total,,step 0.001,upper,lower,Match?,Match total,,step 0.0005,upper,lower,Match?,Match total,,step 0.0002,step 0.0001
100.0025635,TRUE,100.0026,33,,100.074,100.0745,100.0735,FALSE,,,100.037,100.0375,100.0365,FALSE,,,100.0185,100.019,100.018,FALSE,,,,
100.0025711,TRUE,100.0026,33,,100.076,100.0765,100.0755,FALSE,,,100.038,100.0385,100.0375,FALSE,,,100.019,100.0195,100.0185,FALSE,,,,
100.0025864,TRUE,100.0026,33,,100.078,100.0785,100.0775,FALSE,,,100.039,100.0395,100.0385,TRUE,,,100.0195,100.02,100.019,TRUE,,,,
100.0025864,TRUE,100.0026,33,,100.08,100.0805,100.0795,TRUE,,,100.04,100.0405,100.0395,FALSE,,,100.02,100.0205,100.0195,TRUE,,,,
100.0025864,TRUE,100.0026,33,,100.082,100.0825,100.0815,FALSE,,,100.041,100.0415,100.0405,FALSE,,,100.0205,100.021,100.02,FALSE,,,,
100.0025864,TRUE,100.0026,33,,100.084,100.0845,100.0835,FALSE,,,100.042,100.0425,100.0415,TRUE,,,100.021,100.0215,100.0205,FALSE,,,,
100.002594,TRUE,100.0026,33,,100.086,100.0865,100.0855,FALSE,,,100.043,100.0435,100.0425,FALSE,,,100.0215,100.022,100.021,FALSE,,,,
100.002594,TRUE,100.0026,33,,100.088,100.0885,100.0875,FALSE,,,100.044,100.0445,100.0435,FALSE,,,100.022,100.0225,100.0215,FALSE,,,,
100.002594,TRUE,100.0026,33,,100.09,100.0905,100.0895,TRUE,,,100.045,100.0455,100.0445,FALSE,,,100.0225,100.023,100.022,FALSE,,,,
100.0026016,TRUE,100.0026,33,,100.092,100.0925,100.0915,FALSE,,,100.046,100.0465,100.0455,TRUE,,,100.023,100.0235,100.0225,FALSE,,,,
100.0026016,TRUE,100.0026,33,,100.094,100.0945,100.0935,FALSE,,,100.047,100.0475,100.0465,TRUE,,,100.0235,100.024,100.023,FALSE,,,,
100.0026016,TRUE,100.0026,33,,100.096,100.0965,100.0955,FALSE,,,100.048,100.0485,100.0475,FALSE,,,100.024,100.0245,100.0235,FALSE,,,,
100.0026016,TRUE,100.0026,33,,100.098,100.0985,100.0975,FALSE,,,100.049,100.0495,100.0485,FALSE,,,100.0245,100.025,100.024,FALSE,,,,
100.0026093,TRUE,100.0026,33,,100.1,100.1005,100.0995,FALSE,,,100.05,100.0505,100.0495,FALSE,,,100.025,100.0255,100.0245,FALSE,,,,
100.0026169,TRUE,100.0026,33,,100.102,100.1025,100.1015,FALSE,,,100.051,100.0515,100.0505,TRUE,,,100.0255,100.026,100.025,FALSE,,,,
100.0026169,TRUE,100.0026,33,,100.104,100.1045,100.1035,FALSE,,,100.052,100.0525,100.0515,TRUE,,,100.026,100.0265,100.0255,FALSE,,,,
100.0026169,TRUE,100.0026,33,,100.106,100.1065,100.1055,FALSE,,,100.053,100.0535,100.0525,FALSE,,,100.0265,100.027,100.026,TRUE,,,,
100.0026169,TRUE,100.0026,33,,100.108,100.1085,100.1075,FALSE,,,100.054,100.0545,100.0535,FALSE,,,100.027,100.0275,100.0265,TRUE,,,,
100.0026169,TRUE,100.0026,33,,100.11,100.1105,100.1095,FALSE,,,100.055,100.0555,100.0545,FALSE,,,100.0275,100.028,100.027,FALSE,,,,
100.0026245,TRUE,100.0026,33,,100.112,100.1125,100.1115,FALSE,,,100.056,100.0565,100.0555,FALSE,,,100.028,100.0285,100.0275,FALSE,,,,
100.0026245,TRUE,100.0026,33,,100.114,100.1145,100.1135,FALSE,,,100.057,100.0575,100.0565,FALSE,,,100.0285,100.029,100.028,FALSE,,,,
