mz,rt,X300_500_Neg_JeansA.mzXML,X300_500_Neg_JeansB.mzXML,X300_500_Neg_JeansC.mzXML,X300_500_Neg_JeansD.mzXML,X300_500_Neg_JeansDx.mzXML,X300_500_Neg_JeansE.mzXML,X300_500_Neg_JeansF.mzXML,X300_500_Neg_JeansG.mzXML,X300_500_Neg_JeansGx.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,ionmodescore,adductscore,MS2score,allscore,,460,rows
309.1743368,5.77165,1580069,3139675,145522.5938,3882525,2716417.75,2044376.25,8499306,3211171,3854087.25,7,C14H30O5S;C13H28O3S;C17H26N2O,0.00880925146637723;0.00880925146637723;-0.0432206018301957,0.00995033085316809;0.00995033085316809;-4.0085185768303,0.0187595823195453;0.0187595823195453;-4.0517391786605,CCCCCCCCCCCCOCCO[S](O)(=O)=O;CCCCCCCCCCCCC[S](O)(=O)=O;CCN1c2cc(NC(=O)CC)ccc2C(C)CC1(C)C,23693;24007;20515,[M-H]-;[M+CH2O2-H]-;[M+Cl]-,0;0;0,0;0;-0.5,1;0;0,0;0;0,1.01875958231955;0.0187595823195453;0,,,
309.1749064,5.680033333,1580069,3139675,36359204,3882525,2716417.75,2044376.25,8499306,3211171,3854087.25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,
307.1953125,7.048983333,414679.375,325978.25,1478456.75,256830.75,54738.02344,2296.915771,384743.0938,563847.0625,135583.9688,3,0,0,0,0,0,0,0,0,0,0,0,0,,,
308.1987305,7.048983333,159695.1875,95463.52344,583270.8125,108401.2813,20886.90039,100,118335.2109,238702.7969,63124.62891,3,0,0,0,0,0,0,0,0,0,0,0,0,,,
309.207428,5.272566667,8418.541016,20783.54102,46720.72656,25885.48438,4717.5625,20531.99414,122609.4531,172584.0313,37151.80078,8,C18H30O4;C18H30O4;C18H30O4;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2,0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249,0.00995033085316809;0.00995033085316809;0.00995033085316809;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905,0.0197367767842906;0.0197367767842906;0.0197367767842906;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793,CC(=O)OC1(C)CCC2C(C)(C)CCCC2(C)C1CC(O)=O;O=C(CCCCC(=O)OC1CCCCC1)OC2CCCCC2;CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C;CC1(C)CCCC2(C)C1CCC3(C)OC(=O)CCC23;C[C@@H]1CC[C@H]2C(C)(C)C3CC12CCC3(C)OC(C)=O;C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(C)(C)OC(C)=O;CC(C)=CCC\C(C)=C/CCC(C)(OC(C)=O)C=C;CCOC(OCC)C(C)Cc1ccc(cc1)C(C)C;CCCCCCCCCc1ccc(OCCO)cc1;CCCCCCCCCc1ccccc1OCCO;CC(=O)OC/C=C(C)/CC/C=C(C)/CCC=C(C)C;CCC(=O)CCC1C(=CCCC1(C)C)C.OCC#C;CC1CCCC(COC(C)=O)C2CC(CC12)C(C)=C;CCC(=O)OCC(C)(C)CC1=C(C)CCC1C(C)=C,15343;6323;12648;19704;799;889;3969;8446;12857;17751;18576;19286;31134;32505,[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;-0.5;-0.5;0;0;0;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0,1.01973677678429;0;0;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793,,,
309.1533508,5.071816667,18003.13281,18680.43164,129187.8438,31168.7793,18912.51367,17379.81836,29079.4707,26985.5625,22665.25,3,C15H21NO3,-0.484310642,-3.1732925,-3.657603142,OC(=O)C=C.C=Cc1ccccc1.C2COCCN2,23942,[M+CH2O2-H]-,0,0,0,0,-3.657603142,,,
309.1746521,5.680033333,226903.4688,487719.7188,5641486,613233.6875,414109.5938,334239.4375,1342144.125,484711.5313,568799.5,3,C14H30O5S,0.008837134,-4.361929711,-4.353092577,CCCCCCCCCCCCOCCO[S](O)(=O)=O,23693,[M-H]-,0,0,1,0,-3.353092577,,,
308.1990051,7.10715,69805.51563,63817.16797,283754.375,47682.30078,8227.272461,100,58606.99219,111199.9375,22463.39453,3,0,0,0,0,0,0,0,0,0,0,0,0,,,
310.8552246,0.093628667,95443.29688,97576.45313,93900.80469,82728.96094,107309.8438,111024.6172,94175.52344,105903.1016,110763.7109,6,0,0,0,0,0,0,0,0,0,0,0,0,,,
310.8550822,0.154071667,112111.8281,102373.3828,108899.7031,121681.0859,113601.0234,111024.6172,98718.14063,108745.9844,123046.1484,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
