mz,rt,X500_700_Neg_JeansA.mzXML,X500_700_Neg_JeansB.mzXML,X500_700_Neg_JeansC.mzXML,X500_700_Neg_JeansD.mzXML,X500_700_Neg_JeansDx.mzXML,X500_700_Neg_JeansE.mzXML,X500_700_Neg_JeansF.mzXML,X500_700_Neg_JeansG.mzXML,X500_700_Neg_JeansGx.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,ionmodescore,adductscore,MS2score,allscore,,214,rows
523.0065308,7.883866667,100,100,100,100,100,100,105052.0781,24434.01953,11658.53027,7,C22H20ClIN2OS,-1.027463779,0.009950331,-1.017513449,[I-].CC1=CSC(=CC=Cc2oc3cc(Cl)ccc3[n+]2C)N1Cc4ccccc4,19825,[M]-,0,0,0.5,0,0,,,
525.3796387,8.000483333,16288.30469,65169.42578,20687.01953,53102.61719,20937.67188,6905.270508,1870692.25,1125839.125,556017.4375,7,C29H52O5,0.007517048,0.009950331,-0.194653833,CCCCCCCCCCCCCCCC(O)=O.CC(C)(C)c1ccc(O)cc1.C=O.C2CO2,19112,[M+CH2O2-H]-,0.5,0,0,1,1.205346167,,,
526.3830566,8.000483333,8563.625,20333.02539,4915.245117,20059.44727,6503.615723,4069.73877,614481.125,383485.625,166299.4063,7,C29H52O5,0.007468133,0.009950331,-0.276699183,CCCCCCCCCCCCCCCC(O)=O.CC(C)(C)c1ccc(O)cc1.C=O.C2CO2,19112,[M+CH2O2-H]-,0.5,0,0,1,1.123300817,,,
525.0042725,7.883866667,100,100,100,100,100,100,100484.0547,31805.70313,8126.909668,7,C22H20ClIN2OS,-0.594927525,0.009950331,-0.584977194,[I-].CC1=CSC(=CC=Cc2oc3cc(Cl)ccc3[n+]2C)N1Cc4ccccc4,19825,[M]-,0,0,0.5,0,-0.084977194,,,
527.3264771,10.70531667,158391.75,823037.3125,1313673,959337.25,265542.125,6670.358887,442725.8438,925007.0625,486893.5313,3,C27H47ClN2O3,-0.084307798,-4.062398597,-4.480039728,[Cl-].CCCCCCCCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,14945,[M+CH2O2-H]-,0,0,0,0,-4.480039728,,,
527.3264771,10.70531667,2480558,823037.3125,10957911,959337.25,265542.125,6670.358887,442725.8438,36876.74609,486893.5313,3,C27H47ClN2O3,-0.084307798,-4.062398597,-4.313373061,[Cl-].CCCCCCCCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,14945,[M+CH2O2-H]-,0,0,0,0,-4.313373061,,,
527.3953451,8.6509,21620.77734,84859.96094,16820.23633,84080.83594,30123.73633,33522.60156,738026.1875,469796.625,196011.8906,7,0,0,0,0,0,0,0,0,0,0,0,0,,,
528.3296102,10.70531667,674664,231612.5469,3117561.25,299766.9375,69308.4375,3907.246582,110682.1094,250185.7969,120454.7344,3,C27H47ClN2O3,-0.053382427,-2.345765077,-2.399147504,[Cl-].CCCCCCCCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,14945,[M+CH2O2-H]-,0,0,0,0,-2.399147504,,,
529.1467692,6.180833333,100495.7813,52586.34375,34524.26953,30500.90625,47527.09766,69676.39844,71639.34375,61278.82422,50849.52734,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
529.1467692,6.180833333,100495.7813,52586.34375,34524.26953,48458.96094,30385.07422,69676.39844,71639.34375,61278.82422,33379.13672,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
529.3051554,6.542316667,283657.25,225529,1172386.125,223772.9063,208148.5156,201065.1719,1113405.25,267164.2188,254274.4531,3,0,0,0,0,0,0,0,0,0,0,0,0,,,
527.326355,10.70531667,71437.48438,27929.35547,286510.4063,25589.93164,10043.2998,100,16971.33008,28068.61328,11611.21582,3,C27H47ClN2O3,-0.129618352,-3.192000985,-3.321619337,[Cl-].CCCCCCCCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,14945,[M+CH2O2-H]-,0,0,0,0,-3.321619337,,,
528.3295898,10.70531667,79041.78125,33839.70313,412409.4688,42083.41406,13311.50684,100,22749.55469,34598.88672,14022.17969,3,C27H47ClN2O3,-0.050494486,-2.180343035,-2.230837521,[Cl-].CCCCCCCCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,14945,[M+CH2O2-H]-,0,0,0,0,-2.230837521,,,
530.3084717,6.542316667,75031.97656,61767.52734,305591.0625,63739.75781,59148.30469,53556.74219,303505.9063,70890.19531,70772.11719,3,0,0,0,0,0,0,0,0,0,0,0,0,,,
530.330953,5.631316667,100,100,397921.5938,52810.14844,7248.654297,100,16949.63281,19995.13477,11971.46387,3,C24H50O12,0.00791968,0.009950331,0.01787001,OCCCOCC(OCCCO)C(OCCCO)C(OCCCO)C(COCCCO)OCCCO,20636,[M]-,0,0,0.5,0,0.51787001,,,
531.3029582,8.7173,177183.8281,143010.5938,112038.1172,222873.2813,221843.0938,160588.9375,215031.9063,224595.0938,65885.17969,8,C34H45O3P;C22H46O11;C22H47NO8S,-0.00236700861286778;0.00885867009952012;-0.487407768730582,0.00995033085316809;-3.95289373184708;-4.3635180910754,0.00758332224030031;-3.94403506174756;-4.85092585980598,COP(OCC1CC2CC1C3C4CC(C=C4)C23)OC(C5CC6CC5C=C6)C7CC8CC7C9C%10CC(C=C%10)C89;CCCCCCC(O)=O.CCCCC(O)=O.OCC(CO)(CO)COCC(CO)(CO)CO;CCCCCCCCCC(CCCCCCCC(O)=O)O[S](O)(=O)=O.OCCNCCO,38163;27836;24854,[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0,-0.5;0;0,1;0;0,0;0;0,0;-3.94403506174756;-4.85092585980598,,,
531.3029175,5.104666667,514438.3438,547742.375,1631502.625,482498.25,449477.9375,432998.5313,424204.625,368909.5938,480735.25,3,C34H45O3P;C22H46O11;C22H47NO8S,0.000395462277328349;0.00378807930800337;-0.488553010408884,0.00995033085316809;-3.68317084678412;-4.46394453745024,0.0103457931304964;-3.67938276747612;-4.95249754785912,COP(OCC1CC2CC1C3C4CC(C=C4)C23)OC(C5CC6CC5C=C6)C7CC8CC7C9C%10CC(C=C%10)C89;CCCCCCC(O)=O.CCCCC(O)=O.OCC(CO)(CO)COCC(CO)(CO)CO;CCCCCCCCCC(CCCCCCCC(O)=O)O[S](O)(=O)=O.OCCNCCO,38163;27836;24854,[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0,-0.5;0;0,1;0;0,0;0;0,0;-3.67938276747612;-4.95249754785912,,,
531.3029582,8.7173,165036.0781,136507.3906,8569.119141,120665.1172,147217.2188,120939.9531,75847.3125,224595.0938,107330.9453,8,C34H45O3P;C22H46O11;C22H47NO8S,-0.00236700861286778;0.00885867009952012;-0.487407768730582,0.00995033085316809;-3.95289373184708;-4.3635180910754,0.00758332224030031;-3.94403506174756;-4.85092585980598,COP(OCC1CC2CC1C3C4CC(C=C4)C23)OC(C5CC6CC5C=C6)C7CC8CC7C9C%10CC(C=C%10)C89;CCCCCCC(O)=O.CCCCC(O)=O.OCC(CO)(CO)COCC(CO)(CO)CO;CCCCCCCCCC(CCCCCCCC(O)=O)O[S](O)(=O)=O.OCCNCCO,38163;27836;24854,[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0;0;0,-0.5;0;0,1;0;0,0;0;0,0;-3.94403506174756;-4.85092585980598,,,
532.306132,5.104666667,150575.2656,152230.4219,488726.6875,123622.7422,122774.0703,114489.8047,102082.4297,93212.21875,127572.2969,3,C34H45O3P;C32H36N8;C22H46O11,-0.044069440107935;-4.30080915471611;-0.0195811330840132,-2.24648363872761;-3.24678570598037;-2.53820710305323,-2.29055307883554;-7.54759486069648;-2.55778823613724,COP(OCC1CC2CC1C3C4CC(C=C4)C23)OC(C5CC6CC5C=C6)C7CC8CC7C9C%10CC(C=C%10)C89;CN(C)c1cc(C)c(N=Nc2ccc(cc2)N=Nc3ccc(cc3)N=Nc4c(C)cc(cc4C)N(C)C)c(C)c1;CCCCCCC(O)=O.CCCCC(O)=O.OCC(CO)(CO)COCC(CO)(CO)CO,38163;36040;27836,[M-H]-;[M]-;[M+CH2O2-H]-,0;0;0,-0.5;0;0,1;0.5;0,0;0;0,0;0;-2.55778823613724,,,
533.2015584,6.274383333,24673.09961,23188.375,44873.92188,19676.44531,27732.0957,18800.20898,111585.5,20677.88477,24473.31055,7,0,0,0,0,0,0,0,0,0,0,0,0,,,
