mz,,,,,Found
157.1233968,,,,,
157.986131,,,,,
158.0151916,,,,,
158.0904044,,,,,
158.1267383,,,,,
158.8467275,,,,,
159.0412479,,,,,
159.0663062,,,,,
159.1026703,,,,,
159.1026883,,,,,
159.1026915,,,,,
159.1026949,,,,,
160.1060281,,,,,
160.1060316,,,,,
160.106043,,,,,
160.8420767,,,,,
160.9302185,,,,,
160.9525488,,,,,
161.0275173,,,,,
161.0356275,,,,,
161.0455429,,,,,
161.1183269,,,,,
161.1183295,,,,,
161.8898056,,,,,
161.8898802,,,,,
161.8898863,,,,,
161.9526394,,,,,
161.9963339,,,,,
162.0409264,,,,,
162.0771842,,,,,
162.8391092,,,,,
162.8934423,,,,,
162.9650419,,,,,
162.9651206,,,,,
163.0165945,,,,,
163.0400806,,,,,
163.0611947,,,,,
163.0764434,,,,,
163.0764459,,,,,
163.0764699,,,,,
164.0353495,,,,,
164.0646202,,,,,
164.071685,,,,,
164.0797762,,,,,
164.0928222,,,,,
164.8361246,,,,,
164.9475183,,,,,
164.9865748,,,,,
165.0193358,,,,,
165.0193495,,,,,
165.0408639,,,,,
165.0408683,,,,,
165.0408774,,,,,
165.0408784,,,,,
165.0408858,,,,,
165.0408899,,,,,
165.0408901,,,,,
165.0408909,,,,,
165.040899,,,,,
165.0409003,,,,,
165.0409056,,,,,
165.0557287,,,,,
165.0590952,,,,,
165.0769699,,,,,
165.9831785,,,,,
165.9832401,,,,,
165.9968308,,,,,
166.0403823,,,,,
166.0404092,,,,,
166.0404382,,,,,
166.0404766,,,,,
166.0509558,,,,,
166.0509638,,,,,
166.0590751,,,,,
166.0720949,,,,,
166.0720992,,,,,
166.0721002,,,,,
166.0721018,,,,,
166.9795781,,,,,
166.998677,,,,,
167.0018972,,,,,
167.0201966,,,,,
167.0202464,,,,,
167.0367805,,,,,
167.0379095,,,,,
167.0827401,,,,,
167.1077058,,,,,
167.1077108,,,,,
167.1077174,,,,,
167.1077268,,,,,
167.1077312,,,,,
167.1077349,,,,,
167.1077395,,,,,
167.1077689,,,,,
167.1077933,,,,,
167.1441689,,,,,
167.9795314,,,,,
168.019759,,,,,
168.0302568,,,,,
