mz,rt,X700_900_Neg_jgu1.mzXML,X700_900_Neg_jgu2.mzXML,X700_900_Neg_jgw1.mzXML,X700_900_Neg_jgw2.mzXML,X700_900_Neg_nju1.mzXML,X700_900_Neg_nju2.mzXML,X700_900_Neg_njw1.mzXML,X700_900_Neg_njw2.mzXML,X700_900_Neg_oju2.mzXML,X700_900_Neg_ojw1.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,chracaterscore,ionmodescore,adductscore,MS2score,allscore,temp.scorevalues
829.6562093,11.12115,49268.66797,100,208956.7344,248332.3906,150090.75,133613.7031,120049.1875,63859.02344,100,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830.6212565,10.23935,847444.875,894887.6875,697776.125,804256.3125,100,100,100,100,100,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830.6212565,10.23935,847444.875,894887.6875,697776.125,804256.3125,100,100,100,100,100,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831.2364095,5.479566667,100,100,100,100,115298.875,174992.0469,90114.36719,71150.35938,100,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831.2364095,5.479566667,100,100,100,100,115298.875,174992.0469,90114.36719,71150.35938,100,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831.2637329,9.678233333,918583.5,934081.0625,1171797.875,821446.875,100,100,100,100,100,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831.2637329,9.678233333,918583.5,934081.0625,1171797.875,821446.875,100,100,100,100,100,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829.6179199,10.29981667,798744.8125,766895.5625,536197.375,619511.1875,100,100,100,100,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832.2301025,5.535533333,261163.7344,276219.7813,192319.875,269251.9375,47086.41797,33037.67578,28363.52148,34528.38281,100,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830.6212158,10.23178333,289442.1563,258991.5781,336377.8438,259355.5313,100,100,100,100,100,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832.7453817,0.91091,53267.71484,36694.98438,81219.19531,42507.39844,147842.0625,151527.7656,148128.7969,133011.4688,153495.6719,150395.7188,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835.2224935,5.656883333,100,100,100,100,198732.2969,251201.9844,201630.6875,287755.0938,100,100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835.2877604,8.583916667,350237.9375,348474.6875,381876.9375,459127.875,100,100,100,100,100,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835.2877604,8.583916667,350237.9375,348474.6875,406103.7188,459127.875,100,100,100,100,100,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835.7860921,7.976366667,100,100,100,100,100,100,5265430.5,100,100,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836.2260946,5.656883333,100,100,100,100,112252.9219,93687.28125,82734.44531,150268.0469,100,100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836.7897746,7.976366667,100,100,100,100,100,100,3509668.25,100,100,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835.2227783,5.656883333,100,100,100,100,86376.44531,86313.80469,89635.92188,129582.4375,100,100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837.7700399,10.9283,100,100,100,100,1720324.75,1851453.375,2109028.75,2382470.75,100,1503779,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837.7938232,7.976366667,100,100,100,100,100,100,1010437.25,100,386965.4688,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838.6919149,11.03878333,100,100,118334.2891,100,62184.05469,53639.05859,349522.6563,121320.3672,100,110428.2109,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838.6919149,11.03878333,100,100,83438.125,100,62184.05469,53639.05859,342421.5313,121320.3672,100,110428.2109,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838.7739258,10.9283,100,100,100,100,1128662.375,1162922.375,1283109.5,1529536.125,100,601484.0625,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839.4516805,7.994716667,987335.875,663099.375,719893.5,834774.1875,100,100,100,100,100,100,1,C44H64Cl2N8O,-0.859165275,-4.371130802,-5.230296077,[Cl-].[Cl-].CCN(CC[N+](CC)(CC)CC)c1ccc(cc1)N=Nc2ccc(Oc3ccc(cc3)N=Nc4ccc(cc4)N(CC)CC[N+](CC)(CC)CC)cc2,20810,[M+CH2O2-H]-,0,0,0,0,0,0,0
839.5685425,10.0935,536067.375,798825.9375,234858.7969,383454.25,100,100,100,100,100,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839.646464,10.23935,953562.1875,1021903.625,537072.6875,722579.875,100,130132.5156,100,100,100,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840.6019491,9.082183333,100,100,100,100,100,100,100,100,100,1552972,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840.6494751,10.26858333,535555.8125,581911.6875,255270.2813,361674.0938,100,76800.3125,100,100,100,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841.1981405,7.30395,100,100,100,100,190839.9688,162284.7813,107660.3984,100011.9531,100,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
