"mz","rt","X500_700_Neg_jgu1.mzXML","X500_700_Neg_jgu2.mzXML","X500_700_Neg_jgw1.mzXML","X500_700_Neg_jgw2.mzXML","X500_700_Neg_nju1.mzXML","X500_700_Neg_nju2.mzXML","X500_700_Neg_njw1.mzXML","X500_700_Neg_njw2.mzXML","X500_700_Neg_oju2.mzXML","X500_700_Neg_ojw1.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","chracaterscore","ionmodescore","adductscore","MS2score","allscore","temp.scorevalues"
647.504414876302,8.37311666666667,100,100,100,100,100,85761.25,103660.15625,101197.234375,4662276.5,20332.6875,9,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
645.543029785156,10.9859166666667,100,100,209030.5,100,299086.25,274296.375,100,382638,100,100,8,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
645.543029785156,10.9859166666667,100,100,217339.796875,100,299086.25,250219.578125,100,382638,100,100,8,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
647.556579589844,10.0589333333333,100,100,483445.9375,100,317641.9375,239353.609375,170846.234375,191615.59375,100,100,3,"C41H74N2O","-0.577345225144332","0.00995033085316809","-0.567394894291164","CCCCCC/C=C/C/C=C/CCCCCCCC=NCCOCCN=CCCCCCCC/C=C/C/C=C/CCCCC","38581","[M+Cl]-","0",0,"-0.5","1","0","0",0
647.558227539062,10.1487,100,100,100,100,86637.2109375,100,100,307514.8125,100,100,8,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
647.592468261719,10.8173666666667,8454556,17156002,4626256.5,5944633.5,100,100,100,100,100,100,2,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
647.136352539062,5.5516,3931818.5,3340770.75,4455510.5,4038104.25,100,100,100,100,100,21397.8125,3,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
648.338175455729,7.1644,1009367.1875,551567.0625,875382.5625,693616.5,100,100,36051.75390625,100,2415292.75,2098113.25,9,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
648.357177734375,11.1812,100,100,100,100,911094,1341581,1416804.375,1413160.625,100,100,7,"C33H50N2O8;C33H50N2O8","-0.49819129765128;-0.49819129765128","-4.47440233417206;-4.47440233417206","-4.97259363182334;-4.97259363182334","CCC(COCC=C)(COCC=C)COC(=O)Nc1cccc(NC(=O)OCC(CC)(COCC=C)COCC=C)c1C;CCC(COCC=C)(COCC=C)COC(=O)Nc1ccc(C)c(NC(=O)OCC(CC)(COCC=C)COCC=C)c1","20232;23456","[M+CH2O2-H]-;[M+CH2O2-H]-","0;0",0,"0;0","0;0","0;0","-4.97259363182334;-4.97259363182334",0
648.452616373698,8.95983333333333,100,100,100,100,163371.78125,161067.875,258422.125,118569.0546875,100,100,7,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
646.489868164062,10.4605166666667,100,100,100,100,174110.546875,85426.6953125,187775.4375,155258.4375,100,100,7,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
648.595540364583,10.7886,1951111,3820959.75,1003019.1875,1469298.625,100,100,100,100,100,100,2,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
648.604736328125,8.90215,100,100,100,100,100,100,1745523.125,100,100,100,7,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
648.605773925781,11.6262166666667,74293384,87133736,33856148,51859332,100,100,100,100,100,100,2,"C42H80O4","0.00982635015169215","0.00995033085316809","0.0197766810048602","CCCCCCCCCCCCCCCCCCOC(=O)C(C)=C.CCCCCCCCCCCCCCCCOC(=O)C(C)=C","19180","[M]-","0",0,"0","0.5","0","0.51977668100486",0
648.640604654948,9.53651666666667,100,100,100,100,100,100,142001.75,100,100,100,7,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
648.821634928385,1.03998166666667,316371.5,157986.765625,399712.71875,181676.953125,697039.875,739069.5625,641970.125,688097.1875,642925.8125,808816.5,10,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
648.821655273438,0.987055,316371.5,157986.765625,399712.71875,272237.15625,888105.9375,1011219.75,830888.4375,829814.4375,722762.125,808816.5,6,"0","0","0","0","0","0","0","0",0,"0","0","0","0",0
