Compound (+ Cl-),Most Abundant Mass,Mass + e-,% Abundance,,Compound,Average Molecular Weight,Cl Average Weight,Cl Content (mass %)
C15H3Cl30,1234.086115,1234.086665,0.001973255,,C15H3Cl29,3.396823553,3.330819399,0.98056886
C15H2Cl31,1268.047143,1268.047693,0.001544947,,C15H2Cl30,2.72772056,2.691557267,0.986742303
C15H1Cl32,1302.008171,1302.008721,0.001208347,,C15H1Cl31,2.18682002,2.170594712,0.99258041
C15Cl33,1335.9691,1335.96965,0.00094416,,C15Cl32,1.750458294,1.74714865,0.99810927
C16H33Cl2,295.195931,295.196481,0.481370903,,C16H33Cl1,260.7101339,35.45293492,0.135986026
C16H32Cl3,329.156959,329.157509,0.36472854,,C16H32Cl2,294.9154855,70.90586984,0.240427761
C16H31Cl4,365.115037,365.115587,0.353681465,,C16H31Cl3,329.4963109,106.3588048,0.322792096
C16H30Cl5,399.076065,399.076615,0.33497487,,C16H30Cl4,363.5762258,141.8117397,0.39004679
C16H29Cl6,433.037093,433.037643,0.304567379,,C16H29Cl5,398.28094,177.2646746,0.445074461
C16H28Cl7,466.998121,466.998671,0.269227915,,C16H28Cl6,432.3049954,212.6726162,0.491950402
C16H27Cl8,502.956199,502.956749,0.26107341,,C16H27Cl7,465.6395109,248.1578203,0.532939784
C16H26Cl9,536.917227,536.917777,0.254329668,,C16H26Cl8,501.1176414,283.5324144,0.565800106
C16H25Cl10,570.878255,570.878805,0.240877896,,C16H25Cl9,534.6162959,318.7146053,0.596155799
C16H24Cl11,604.839283,604.839833,0.223067879,,C16H24Cl10,569.185076,354.4084688,0.622659454
C16H23Cl12,640.797361,640.797911,0.216311491,,C16H23Cl11,603.3080265,389.6005103,0.645773789
C16H22Cl13,674.758389,674.758939,0.213065364,,C16H22Cl12,636.3405725,424.4552299,0.667025251
C16H21Cl14,708.719417,708.719967,0.205465126,,C16H21Cl13,672.0716299,460.521393,0.685226652
C16H20Cl15,742.680445,742.680995,0.194597854,,C16H20Cl14,705.250019,495.4758078,0.702553413
C16H19Cl16,778.638523,778.639073,0.18870378,,C16H19Cl15,738.3449375,531.4616789,0.719801345
C16H18Cl17,812.599551,812.600101,0.186971788,,C16H18Cl16,774.1870279,566.5089239,0.731746856
C16H17Cl18,846.560579,846.561129,0.182142152,,C16H17Cl17,807.1049347,601.2115348,0.744898846
C16H16Cl19,880.521607,880.522157,0.174808569,,C16H16Cl18,839.8738464,637.5385858,0.759088509
C16H15Cl20,916.479685,916.480235,0.169513883,,C16H15Cl19,876.9977642,672.4047643,0.766712062
C16H14Cl21,950.440713,950.441263,0.168575515,,C16H14Cl20,909.5859665,706.8656082,0.777128973
C16H13Cl22,984.401741,984.402291,0.165294411,,C16H13Cl21,940.5216599,743.554118,0.790576283
C16H12Cl23,1018.362769,1018.363319,0.160030739,,C16H12Cl22,979.0642691,778.2451134,0.794886646
C16H11Cl24,1044.335597,1044.336147,0.008252049,,C16H11Cl23,1011.47534,812.486649,0.803268865
C16H10Cl25,1078.296625,1078.297175,0.006512991,,C16H10Cl24,9.924903004,9.328980225,0.939956816
C16H9Cl26,1112.257653,1112.258203,0.005132202,,C16H9Cl25,8.045395383,7.632960448,0.948736524
C16H8Cl27,1146.218681,1146.219231,0.004038165,,C16H8Cl26,6.507403647,6.227436162,0.956977083
C16H7Cl28,1180.179709,1180.180259,0.003172987,,C16H7Cl27,5.25252872,5.067250459,0.964725893
C16H6Cl29,1214.140737,1214.141287,0.002489993,,C16H6Cl28,4.231407962,4.11303415,0.972024959
C16H5Cl30,1248.101765,1248.102315,0.001951692,,C16H5Cl29,3.402574103,3.330819399,0.978911641
C16H4Cl31,1282.062793,1282.063343,0.001528064,,C16H4Cl30,2.731382804,2.691557267,0.985419277
C16H3Cl32,1316.023821,1316.024371,0.001195143,,C16H3Cl31,2.189031377,2.170594712,0.991577706
C16H2Cl33,1349.984849,1349.985399,0.000933843,,C16H2Cl32,1.751678979,1.74714865,0.997413722
C16H1Cl34,1383.945877,1383.946427,0.000729002,,C16H1Cl33,1.399670287,1.403801336,1.002951445
C16Cl35,1417.9068,1417.90735,0.000568601,,C16Cl34,1.116859208,1.126031665,1.008212724
C17H35Cl2,309.211581,309.212131,0.47611071,,C17H35Cl1,274.6896497,35.45293492,0.12906542
C17H34Cl3,343.172609,343.173159,0.360742959,,C17H34Cl2,308.8528302,70.90586984,0.229578177
C17H33Cl4,379.130687,379.131237,0.349816602,,C17H33Cl3,343.45679,106.3588048,0.309671574
C17H32Cl5,413.091715,413.092265,0.331314423,,C17H32Cl4,377.4901783,141.8117397,0.375670012
C17H31Cl6,447.052743,447.053293,0.301239211,,C17H31Cl5,412.2266943,177.2646746,0.430017457
C17H30Cl7,481.013771,481.014321,0.26628592,,C17H30Cl6,446.2095331,212.6726162,0.476620512
C17H29Cl8,516.971849,516.972399,0.258220523,,C17H29Cl7,479.4617151,248.1578203,0.517575883
C17H28Cl9,550.932877,550.933427,0.251550474,,C17H28Cl8,515.0188554,283.5324144,0.550528221
C17H27Cl10,584.893905,584.894455,0.238245697,,C17H27Cl9,548.4553857,318.7146053,0.581113092
C17H26Cl11,618.854933,618.855483,0.220630299,,C17H26Cl10,582.9653831,354.4084688,0.607940847
C17H25Cl12,654.813011,654.813561,0.213947742,,C17H25Cl11,617.1097591,389.6005103,0.631330982
C17H24Cl13,688.774039,688.774589,0.210737087,,C17H24Cl12,650.0777437,424.4552299,0.652929952
C17H23Cl14,722.735067,722.735617,0.203219901,,C17H23Cl13,685.84235,460.521393,0.671468294
C17H22Cl15,756.696095,756.696645,0.19247138,,C17H22Cl14,719.6053278,495.4758078,0.68853827
C17H21Cl16,792.654173,792.654723,0.186641714,,C17H21Cl15,752.0494528,531.4616789,0.706684483
C17H20Cl17,826.615201,826.615751,0.184928649,,C17H20Cl16,787.8553319,566.5089239,0.719051964
C17H19Cl18,860.576229,860.576779,0.180151789,,C17H19Cl17,820.7079455,601.2115348,0.732552351
C17H18Cl19,894.537257,894.537807,0.172898344,,C17H18Cl18,853.4883823,637.5385858,0.746979806
C17H17Cl20,930.495335,930.495885,0.167661515,,C17H17Cl19,890.6742691,672.4047643,0.754939025
C17H16Cl21,964.456363,964.456913,0.166733402,,C17H16Cl20,923.1889149,706.8656082,0.76567818
C17H15Cl22,998.417391,998.417941,0.163488152,,C17H15Cl21,954.7850652,743.554118,0.778765971
C17H14Cl23,1032.378419,1032.378969,0.158281999,,C17H14Cl22,992.6495444,778.2451134,0.784007929
C17H13Cl24,1058.351247,1058.351797,0.008161875,,C17H13Cl23,1024.995386,812.486649,0.79267347
C17H12Cl25,1092.312275,1092.312825,0.00644182,,C17H12Cl24,9.960752972,9.328980225,0.936573796
C17H11Cl26,1126.273303,1126.273853,0.00507612,,C17H11Cl25,8.070729563,7.632960448,0.945758421
C17H10Cl27,1160.234331,1160.234881,0.003994038,,C17H10Cl26,6.525066837,6.227436162,0.954386571
C17H9Cl28,1194.195359,1194.195909,0.003138314,,C17H9Cl27,5.264639989,5.067250459,0.962506547
C17H8Cl29,1228.156387,1228.156937,0.002462784,,C17H8Cl28,4.239536722,4.11303415,0.970161228
C17H7Cl30,1262.117415,1262.117965,0.001930365,,C17H7Cl29,3.407875548,3.330819399,0.977388802
C17H6Cl31,1296.078443,1296.078993,0.001511366,,C17H6Cl30,2.734701564,2.691557267,0.984223398
C17H5Cl32,1330.039471,1330.040021,0.001182083,,C17H5Cl31,2.190980459,2.170594712,0.990695605
