Compound (+ Cl-),Most Abundant Mass,Mass + e-,% Abundance,,Compound,Average Molecular Weight,Cl Average Weight,Cl Content (mass %)
C20H41Cl2,351.258531,351.259081,0.46067251,,C20H41Cl1,316.8735483,35.45293492,0.111883542
C20H40Cl3,385.219559,385.220109,0.349045634,,C20H40Cl2,351.225217,70.90586984,0.201881489
C20H39Cl4,421.177637,421.178187,0.338473571,,C20H39Cl3,385.2706319,106.3588048,0.27606258
C20H38Cl5,455.138665,455.139215,0.320571338,,C20H38Cl4,419.1446381,141.8117397,0.338336046
C20H37Cl6,489.099693,489.100243,0.291471334,,C20H37Cl5,453.9886477,177.2646746,0.390460589
C20H36Cl7,523.060721,523.061271,0.257651426,,C20H36Cl6,487.8334628,212.6726162,0.435953317
C20H35Cl8,559.018799,559.019349,0.249847555,,C20H35Cl7,520.8174147,248.1578203,0.476477578
C20H34Cl9,592.979827,592.980377,0.243393786,,C20H34Cl8,556.6303837,283.5324144,0.509372867
C20H33Cl10,626.940855,626.941405,0.230520425,,C20H33Cl9,589.8655331,318.7146053,0.54031739
C20H32Cl11,660.901883,660.902433,0.213476218,,C20H32Cl10,624.8731806,354.4084688,0.567168635
C20H31Cl12,696.859961,696.860511,0.207010347,,C20H31Cl11,658.384622,389.6005103,0.591752142
C20H30Cl13,730.820989,730.821539,0.2039038,,C20H30Cl12,691.1499755,424.4552299,0.614128981
C20H29Cl14,764.782017,764.782567,0.196630364,,C20H29Cl13,727.0052632,460.521393,0.633449875
C20H28Cl15,798.743045,798.743595,0.186230371,,C20H28Cl14,760.819945,495.4758078,0.651239247
C20H27Cl16,834.701123,834.701673,0.180589735,,C20H27Cl15,793.0221999,531.4616789,0.670172511
C20H26Cl17,868.662151,868.662701,0.178932217,,C20H26Cl16,829.5925617,566.5089239,0.682876089
C20H25Cl18,902.623179,902.623729,0.17431025,,C20H25Cl17,862.2765601,601.2115348,0.697237479
C20H24Cl19,936.584207,936.584757,0.167292003,,C20H24Cl18,894.1625993,637.5385858,0.71300073
C20H23Cl20,972.542285,972.542835,0.162224982,,C20H23Cl19,931.5246943,672.4047643,0.721832463
C20H22Cl21,1006.503313,1006.503863,0.161326963,,C20H22Cl20,963.8057591,706.8656082,0.733410857
C20H21Cl22,1040.464341,1040.464891,0.158186942,,C20H21Cl21,996.2597602,743.554118,0.74634563
C20H20Cl23,1066.437169,1066.437719,0.009988516,,C20H20Cl22,1033.19283,778.2451134,0.753242851
C20H19Cl24,1100.398197,1100.398747,0.007897221,,C20H19Cl23,12.4025787,812.486649,65.50949354
C20H18Cl25,1134.359225,1134.359775,0.00623294,,C20H18Cl24,10.05855616,9.328980225,0.927467131
C20H17Cl26,1168.320253,1168.320803,0.004911523,,C20H17Cl25,8.139213361,7.632960448,0.937800757
C20H16Cl27,1202.281281,1202.281831,0.003864529,,C20H16Cl26,6.572267728,6.227436162,0.947532331
C20H15Cl28,1236.242309,1236.242859,0.003036552,,C20H15Cl27,5.296525437,5.067250459,0.956712192
C20H14Cl29,1270.203337,1270.203887,0.002382926,,C20H14Cl28,4.260510767,4.11303415,0.965385226
C20H13Cl30,1304.164365,1304.164915,0.001867772,,C20H13Cl29,3.421166975,3.330819399,0.973591591
C20H12Cl31,1338.125393,1338.125943,0.001462359,,C20H12Cl30,2.742660385,2.691557267,0.981367318
C20H11Cl32,1372.086421,1372.086971,0.001143753,,C20H11Cl31,2.195303228,2.170594712,0.988744827
C20H10Cl33,1406.047449,1406.047999,0.000893689,,C20H10Cl32,1.754599786,1.74714865,0.99575337
C20H9Cl34,1440.008477,1440.009027,0.000697656,,C20H9Cl33,1.40041317,1.403801336,1.002419405
C20H8Cl35,1473.969505,1473.970055,0.000544152,,C20H8Cl34,1.116245625,1.126031665,1.008766923
C20H7Cl36,1507.930533,1507.931083,0.000424077,,C20H7Cl35,0.888622729,0.901790101,1.01481773
C20H6Cl37,1541.891561,1541.892111,0.000330243,,C20H6Cl36,0.706570718,0.721120201,1.020591686
C20H5Cl38,1575.852589,1575.853139,0.000256984,,C20H5Cl37,0.561175936,0.575826511,1.026106921
C20H4Cl39,1609.813617,1609.814167,0.000199837,,C20H4Cl38,0.445215761,0.459186639,1.031380016
C20H3Cl40,1643.774645,1643.775195,0.000155296,,C20H3Cl39,0.352851081,0.365704093,1.036426167
C20H2Cl41,1677.735673,1677.736223,0.000120608,,C20H2Cl40,0.279371261,0.290897932,1.041259327
C20H1Cl42,1711.696701,1711.697251,9.36E-05,,C20H1Cl41,0.220983571,0.231125021,1.045892327
C20Cl43,1745.6576,1745.65815,7.26E-05,,C20Cl42,0.174639966,0.183430829,1.050337067
C21H43Cl2,365.274181,365.274731,0.455638499,,C21H43Cl1,330.8745424,35.45293492,0.107149177
C21H42Cl3,399.235209,399.235759,0.345231429,,C21H42Cl2,365.2080636,70.90586984,0.194151983
C21H41Cl4,435.193287,435.193837,0.334774892,,C21H41Cl3,399.1826909,106.3588048,0.266441424
C21H40Cl5,469.154315,469.154865,0.317068286,,C21H40Cl4,432.9968001,141.8117397,0.327512212
C21H39Cl6,503.115343,503.115893,0.288286273,,C21H39Cl5,467.8807086,177.2646746,0.378867244
C21H38Cl7,537.076371,537.076921,0.254835933,,C21H38Cl6,501.6746213,212.6726162,0.423925403
C21H37Cl8,573.034449,573.034999,0.24711734,,C21H37Cl7,534.5620212,248.1578203,0.464226433
C21H36Cl9,606.995477,606.996027,0.240734094,,C21H36Cl8,570.4664862,283.5324144,0.49701853
C21H35Cl10,640.956505,640.957055,0.228001407,,C21H35Cl9,603.6294482,318.7146053,0.527997112
C21H34Cl11,674.917533,674.918083,0.211143451,,C21H34Cl10,638.6328296,354.4084688,0.554948716
C21H33Cl12,710.875611,710.876161,0.204748236,,C21H33Cl11,672.0954223,389.6005103,0.579680351
C21H32Cl13,744.836639,744.837189,0.201675636,,C21H32Cl12,704.7902633,424.4552299,0.602243323
C21H31Cl14,778.797667,778.798217,0.19448168,,C21H31Cl13,740.6722508,460.521393,0.62176137
C21H30Cl15,812.758695,812.759245,0.184195334,,C21H30Cl14,774.5106231,495.4758078,0.639727581
C21H29Cl16,848.716773,848.717323,0.178616336,,C21H29Cl15,806.6287098,531.4616789,0.658867794
C21H28Cl17,882.677801,882.678351,0.176976931,,C21H28Cl16,843.23472,566.5089239,0.671828271
C21H27Cl18,916.638829,916.639379,0.17240547,,C21H27Cl17,875.8494821,601.2115348,0.686432483
C21H26Cl19,950.599857,950.600407,0.165463915,,C21H26Cl18,907.6598585,637.5385858,0.702398128
C21H25Cl20,986.557935,986.558485,0.160452264,,C21H25Cl19,945.0772864,672.4047643,0.711481245
C21H24Cl21,1020.518963,1020.519513,0.159564059,,C21H24Cl20,977.2761815,706.8656082,0.723301787
C21H23Cl22,1054.479991,1054.480541,0.15645835,,C21H23Cl21,1009.75225,743.554118,0.736372826
C21H22Cl23,1080.452819,1080.453369,0.009879366,,C21H22Cl22,1046.631753,778.2451134,0.74357109
C21H21Cl24,1114.413847,1114.414397,0.007810923,,C21H21Cl23,12.4444544,812.486649,65.2890535
C21H20Cl25,1148.374875,1148.375425,0.006164829,,C21H20Cl24,10.08800063,9.328980225,0.924760076
C21H19Cl26,1182.335903,1182.336453,0.004857852,,C21H19Cl25,8.159607338,7.632960448,0.935456834
C21H18Cl27,1216.296931,1216.297481,0.003822299,,C21H18Cl26,6.586128291,6.227436162,0.945538241
C21H17Cl28,1250.257959,1250.258509,0.00300337,,C21H17Cl27,5.305715196,5.067250459,0.955055119
C21H16Cl29,1284.218987,1284.219537,0.002356887,,C21H16Cl28,4.26639901,4.11303415,0.964052856
C21H15Cl30,1318.180015,1318.180565,0.001847361,,C21H15Cl29,3.424753147,3.330819399,0.972572112
C21H14Cl31,1352.141043,1352.141593,0.001446379,,C21H14Cl30,2.744668198,2.691557267,0.980649416
C21H13Cl32,1386.102071,1386.102621,0.001131255,,C21H13Cl31,2.196252029,2.170594712,0.988317681
C21H12Cl33,1420.063099,1420.063649,0.000883923,,C21H12Cl32,1.754858386,1.74714865,0.995606633
C21H11Cl34,1454.024127,1454.024677,0.000690032,,C21H11Cl33,1.400240254,1.403801336,1.002543194
C21H10Cl35,1487.985155,1487.985705,0.000538206,,C21H10Cl34,1.115819907,1.126031665,1.009151798
C21H9Cl36,1521.946183,1521.946733,0.000419443,,C21H9Cl35,0.88806534,0.901790101,1.015454675
C21H8Cl37,1555.907211,1555.907761,0.000326634,,C21H8Cl36,0.705961724,0.721120201,1.021472095
C21H7Cl38,1589.868239,1589.868789,0.000254175,,C21H7Cl37,0.560566449,0.575826511,1.027222574
C21H6Cl39,1623.829267,1623.829817,0.000197653,,C21H6Cl38,0.444636761,0.459186639,1.032723066
C21H5Cl40,1657.790295,1657.790845,0.000153599,,C21H5Cl39,0.352319776,0.365704093,1.037989117
C21H4Cl41,1691.751323,1691.751873,0.00011929,,C21H4Cl40,0.278895653,0.290897932,1.043035014
C21H3Cl42,1725.712351,1725.712901,9.26E-05,,C21H3Cl41,0.22056568,0.231125021,1.047873906
C21H2Cl43,1759.673379,1759.673929,7.18E-05,,C21H2Cl42,0.174278106,0.183430829,1.052517919
C21H1Cl44,1793.634407,1793.634957,5.57E-05,,C21H1Cl43,0.137585475,0.145424855,1.056978248
C21Cl45,1827.5953,1827.59585,4.32E-05,,C21Cl44,0.108528139,0.115177151,1.061265326
C22H45Cl2,379.289831,379.290381,0.450659498,,C22H45Cl1,344.8716565,35.45293492,0.102800373
C22H44Cl3,413.250859,413.251409,0.341458903,,C22H44Cl2,379.1846516,70.90586984,0.186995622
C22H43Cl4,449.208937,449.209487,0.331116631,,C22H43Cl3,413.0800648,106.3588048,0.257477457
C22H42Cl5,483.169965,483.170515,0.313603514,,C22H42Cl4,446.8308189,141.8117397,0.317372333
C22H41Cl6,517.130993,517.131543,0.285136017,,C22H41Cl5,481.7566727,177.2646746,0.367954788
C22H40Cl7,551.092021,551.092571,0.252051207,,C22H40Cl6,515.4971911,212.6726162,0.412558244
C22H39Cl8,587.050099,587.050649,0.244416958,,C22H39Cl7,548.2844437,248.1578203,0.452607808
C22H38Cl9,621.011127,621.011677,0.238103466,,C22H38Cl8,584.2834849,283.5324144,0.485265152
C22H37Cl10,654.972155,654.972705,0.225509916,,C22H37Cl9,617.3717064,318.7146053,0.516244269
C22H36Cl11,688.933183,688.933733,0.208836176,,C22H36Cl10,652.3681939,354.4084688,0.543264482
C22H35Cl12,724.891261,724.891811,0.202510845,,C22H35Cl11,685.7804289,389.6005103,0.568112611
C22H34Cl13,758.852289,758.852839,0.19947182,,C22H34Cl12,718.4032814,424.4552299,0.590831419
C22H33Cl14,792.813317,792.813867,0.192356477,,C22H33Cl13,754.3101103,460.521393,0.610519979
C22H32Cl15,826.774345,826.774895,0.182182534,,C22H32Cl14,788.1754402,495.4758078,0.628636446
C22H31Cl16,862.732423,862.732973,0.176664502,,C22H31Cl15,820.2075873,531.4616789,0.647959964
C22H30Cl17,896.693451,896.694001,0.175043011,,C22H30Cl16,856.8469772,566.5089239,0.661155304
C22H29Cl18,930.654479,930.655029,0.170521505,,C22H29Cl17,889.3907473,601.2115348,0.675981324
C22H28Cl19,964.615507,964.616057,0.163655804,,C22H28Cl18,921.1245233,637.5385858,0.692130727
C22H27Cl20,1000.573585,1000.574135,0.158698918,,C22H27Cl19,958.5955038,672.4047643,0.70144786
C22H26Cl21,1034.534613,1034.535163,0.157820418,,C22H26Cl20,991.8904201,706.8656082,0.712644859
C22H25Cl22,1068.495641,1068.496191,0.154748647,,C22H25Cl21,1023.21259,743.554118,0.726685857
C22H24Cl23,1094.468469,1094.469019,0.009771409,,C22H24Cl22,1060.030597,778.2451134,0.734172311
C22H23Cl24,1128.429497,1128.430047,0.007725569,,C22H23Cl23,12.48434508,812.486649,65.08043826
C22H22Cl25,1162.390525,1162.391075,0.006097463,,C22H22Cl24,10.11591203,9.328980225,0.922208516
C22H21Cl26,1196.351553,1196.352103,0.004804768,,C22H21Cl25,8.178819744,7.632960448,0.933259405
C22H20Cl27,1230.312581,1230.313131,0.003780531,,C22H20Cl26,6.599079984,6.227436162,0.94368248
C22H19Cl28,1264.273609,1264.274159,0.002970551,,C22H19Cl27,5.314207163,5.067250459,0.953528966
C22H18Cl29,1298.234637,1298.235187,0.002331132,,C22H18Cl28,4.271752491,4.11303415,0.962844678
C22H17Cl30,1332.195665,1332.196215,0.001827174,,C22H17Cl29,3.427930215,3.330819399,0.971670714
C22H16Cl31,1366.156693,1366.157243,0.001430574,,C22H16Cl30,2.746363574,2.691557267,0.980044045
C22H15Cl32,1400.117721,1400.118271,0.001118893,,C22H15Cl31,2.196962613,2.170594712,0.98799802
C22H14Cl33,1434.078749,1434.079299,0.000874264,,C22H14Cl32,1.754935657,1.74714865,0.995562796
C22H13Cl34,1468.039777,1468.040327,0.000682492,,C22H13Cl33,1.399929533,1.403801336,1.002765713
C22H12Cl35,1502.000805,1502.001355,0.000532324,,C22H12Cl34,1.115289628,1.126031665,1.009631612
C22H11Cl36,1535.961833,1535.962383,0.000414859,,C22H11Cl35,0.88742874,0.901790101,1.016183114
C22H10Cl37,1569.922861,1569.923411,0.000323065,,C22H10Cl36,0.705292819,0.721120201,1.022440866
C22H9Cl38,1603.883889,1603.884439,0.000251398,,C22H9Cl37,0.559911723,0.575826511,1.028423745
C22H8Cl39,1637.844917,1637.845467,0.000195494,,C22H8Cl38,0.444023654,0.459186639,1.034149048
C22H7Cl40,1671.805945,1671.806495,0.000151921,,C22H7Cl39,0.351762801,0.365704093,1.039632653
C22H6Cl41,1705.766973,1705.767523,0.000117986,,C22H6Cl40,0.278400756,0.290897932,1.04488916
C22H5Cl42,1739.728001,1739.728551,9.16E-05,,C22H5Cl41,0.22013332,0.231125021,1.049932018
C22H4Cl43,1773.689029,1773.689579,7.10E-05,,C22H4Cl42,0.173905399,0.183430829,1.054773636
C22H3Cl44,1807.650057,1807.650607,5.51E-05,,C22H3Cl43,0.137267658,0.145424855,1.059425481
C22H2Cl45,1841.611085,1841.611635,4.27E-05,,C22H2Cl44,0.108259563,0.115177151,1.063898165
C22H1Cl46,1875.572113,1875.572663,3.31E-05,,C22H1Cl45,0.085314199,0.091132757,1.068201526
C22Cl47,1909.533,1909.53355,2.56E-05,,C22Cl46,0.067181024,0.07204122,1.072344774
C23H47Cl2,393.305481,393.306031,0.445734905,,C23H47Cl1,358.8645246,35.45293492,0.098791974
C23H46Cl3,427.266509,427.267059,0.337727602,,C23H46Cl2,393.1544444,70.90586984,0.180351185
C23H45Cl4,463.224587,463.225137,0.327498346,,C23H45Cl3,426.961675,106.3588048,0.24910621
C23H44Cl5,497.185615,497.186165,0.310176604,,C23H44Cl4,460.6455779,141.8117397,0.307854339
C23H43Cl6,531.146643,531.147193,0.282020186,,C23H43Cl5,495.6154273,177.2646746,0.357665772
C23H42Cl7,565.107671,565.108221,0.249296911,,C23H42Cl6,529.3000368,212.6726162,0.401799738
C23H41Cl8,601.065749,601.066299,0.241746086,,C23H41Cl7,563.8198687,248.1578203,0.440136707
C23H40Cl9,635.026777,635.027327,0.235501584,,C23H40Cl8,598.0802133,283.5324144,0.474070882
C23H39Cl10,668.987805,668.988355,0.223045651,,C23H39Cl9,631.0911309,318.7146053,0.505021525
C23H38Cl11,702.948833,702.949383,0.206554113,,C23H38Cl10,666.9267106,354.4084688,0.53140542
C23H37Cl12,738.906911,738.907461,0.200297902,,C23H37Cl11,699.4383968,389.6005103,0.557019049
C23H36Cl13,772.867939,772.868489,0.197292086,,C23H36Cl12,731.9877915,424.4552299,0.579866543
C23H35Cl14,806.828967,806.829517,0.190254496,,C23H35Cl13,767.917551,460.521393,0.599701612
C23H34Cl15,840.789995,840.790545,0.18019173,,C23H34Cl14,801.8131231,495.4758078,0.617944249
C23H33Cl16,876.748073,876.748623,0.174733996,,C23H33Cl15,833.757562,531.4616789,0.637429516
C23H32Cl17,910.709101,910.709651,0.173130224,,C23H32Cl16,870.4280112,566.5089239,0.650839491
C23H31Cl18,944.670129,944.670679,0.168658127,,C23H31Cl17,902.8990314,601.2115348,0.665867958
C23H30Cl19,978.631157,978.631707,0.161867451,,C23H30Cl18,934.5552752,637.5385858,0.682183925
C23H29Cl20,1014.589235,1014.589785,0.156964731,,C23H29Cl19,972.0779844,672.4047643,0.691718952
C23H28Cl21,1048.550263,1048.550813,0.156095831,,C23H28Cl20,1005.40343,706.8656082,0.703066637
C23H27Cl22,1082.511291,1082.511841,0.153057628,,C23H27Cl21,1036.639416,743.554118,0.717273631
C23H26Cl23,1108.484119,1108.484669,0.009664631,,C23H26Cl22,1074.728146,778.2451134,0.724132067
C23H25Cl24,1142.445147,1142.445697,0.007641148,,C23H25Cl23,12.52228462,812.486649,64.88326001
C23H24Cl25,1176.406175,1176.406725,0.006030833,,C23H24Cl24,10.14231695,9.328980225,0.919807602
C23H23Cl26,1210.367203,1210.367753,0.004752264,,C23H23Cl25,8.196871388,7.632960448,0.931204125
C23H22Cl27,1244.328231,1244.328781,0.003739219,,C23H22Cl26,6.611139059,6.227436162,0.941961152
C23H21Cl28,1278.289259,1278.289809,0.00293809,,C23H21Cl27,5.322014011,5.067250459,0.952130236
C23H20Cl29,1312.250287,1312.250837,0.002305658,,C23H20Cl28,4.276581072,4.11303415,0.961757554
C23H19Cl30,1346.211315,1346.211865,0.001807208,,C23H19Cl29,3.430705843,3.330819399,0.970884579
C23H18Cl31,1380.172343,1380.172893,0.001414941,,C23H18Cl30,2.747752455,2.691557267,0.979548671
C23H17Cl32,1414.133371,1414.133921,0.001106666,,C23H17Cl31,2.197439585,2.170594712,0.987783567
C23H16Cl33,1448.094399,1448.094949,0.00086471,,C23H16Cl32,1.75483516,1.74714865,0.995619811
C23H15Cl34,1482.055427,1482.055977,0.000675034,,C23H15Cl33,1.399483759,1.403801336,1.003085121
C23H14Cl35,1516.016455,1516.017005,0.000526507,,C23H14Cl34,1.114656913,1.126031665,1.010204711
C23H13Cl36,1549.977483,1549.978033,0.000410326,,C23H13Cl35,0.886714568,0.901790101,1.017001562
C23H12Cl37,1583.938511,1583.939061,0.000319535,,C23H12Cl36,0.704565266,0.721120201,1.023496667
C23H11Cl38,1617.899539,1617.900089,0.000248651,,C23H11Cl37,0.559212727,0.575826511,1.029709238
C23H10Cl39,1651.860567,1651.861117,0.000193357,,C23H10Cl38,0.443377185,0.459186639,1.035656896
C23H9Cl40,1685.821595,1685.822145,0.000150261,,C23H9Cl39,0.351180725,0.365704093,1.041355825
C23H8Cl41,1719.782623,1719.783173,0.000116697,,C23H8Cl40,0.277887006,0.290897932,1.04682092
C23H7Cl42,1753.743651,1753.744201,9.06E-05,,C23H7Cl41,0.219686826,0.231125021,1.052065913
C23H6Cl43,1787.704679,1787.705229,7.03E-05,,C23H6Cl42,0.173522113,0.183430829,1.05710348
C23H5Cl44,1821.665707,1821.666257,5.45E-05,,C23H5Cl43,0.136941939,0.145424855,1.061945345
C23H4Cl45,1855.626735,1855.627285,4.22E-05,,C23H4Cl44,0.107985088,0.115177151,1.066602366
C23H3Cl46,1889.587763,1889.588313,3.27E-05,,C23H3Cl45,0.085084555,0.091132757,1.071084613
C23H2Cl47,1923.548791,1923.549341,2.53E-05,,C23H2Cl46,0.066990073,0.07204122,1.075401436
C23H1Cl48,1957.509819,1957.510369,1.96E-05,,C23H1Cl47,0.052705428,0.056898752,1.079561533
C23Cl49,1991.4707,1991.47125,1.51E-05,,C23Cl48,0.041437837,0.044900925,1.083573084
C24H49Cl2,407.321131,407.321681,0.440864125,,C24H49Cl1,372.8527659,35.45293492,0.095085616
C24H48Cl3,441.282159,441.282709,0.334037075,,C24H48Cl2,407.1168884,70.90586984,0.174165877
C24H47Cl4,477.240237,477.240787,0.323919599,,C24H47Cl3,441.622076,106.3588048,0.240836703
C24H46Cl5,511.201265,511.201815,0.306787141,,C24H46Cl4,474.8640402,141.8117397,0.29863651
C24H45Cl6,545.162293,545.162843,0.278938403,,C24H45Cl5,509.455841,177.2646746,0.347949047
C24H44Cl7,579.123321,579.123871,0.246572713,,C24H44Cl6,543.0820068,212.6726162,0.391603135
C24H43Cl8,615.081399,615.081949,0.239104399,,C24H43Cl7,577.6344001,248.1578203,0.429610529
C24H42Cl9,649.042427,649.042977,0.232928135,,C24H42Cl8,611.8554892,283.5324144,0.46339768
C24H41Cl10,683.003455,683.004005,0.220608313,,C24H41Cl9,644.7865315,318.7146053,0.494294762
C24H40Cl11,716.964483,716.965033,0.204296988,,C24H40Cl10,680.6960275,354.4084688,0.520655997
C24H39Cl12,752.922561,752.923111,0.198109142,,C24H39Cl11,713.0680733,389.6005103,0.546372114
C24H38Cl13,786.883589,786.884139,0.195136172,,C24H38Cl12,745.5425474,424.4552299,0.569323953
C24H37Cl14,820.844617,820.845167,0.188175485,,C24H37Cl13,781.4932778,460.521393,0.589283883
C24H36Cl15,854.805645,854.806195,0.17822268,,C24H36Cl14,815.4223903,495.4758078,0.607630859
C24H35Cl16,890.763723,890.764273,0.172824586,,C24H35Cl15,847.2773561,531.4616789,0.627258211
C24H34Cl17,924.724751,924.725301,0.171238339,,C24H34Cl16,883.9764963,566.5089239,0.640864238
C24H33Cl18,958.685779,958.686329,0.166815111,,C24H33Cl17,916.3730076,601.2115348,0.656077307
C24H32Cl19,992.646807,992.647357,0.16009864,,C24H32Cl18,947.9507936,637.5385858,0.672543965
C24H31Cl20,1028.604885,1028.605435,0.155249495,,C24H31Cl19,985.5233665,672.4047643,0.682281909
C24H30Cl21,1062.565913,1062.566463,0.15439009,,C24H30Cl20,1018.8828,706.8656082,0.693765376
C24H29Cl22,1096.526941,1096.527491,0.151385086,,C24H29Cl21,1050.031358,743.554118,0.708125631
C24H28Cl23,1122.499769,1122.500319,0.009559021,,C24H28Cl22,1088.168419,778.2451134,0.715188108
C24H27Cl24,1156.460797,1156.461347,0.007557649,,C24H27Cl23,12.55830646,812.486649,64.69715095
C24H26Cl25,1190.421825,1190.422375,0.005964931,,C24H26Cl24,10.1672416,9.328980225,0.917552724
C24H25Cl26,1224.382853,1224.383403,0.004700333,,C24H25Cl25,8.213782792,7.632960448,0.929286863
C24H24Cl27,1258.343881,1258.344431,0.003698358,,C24H24Cl26,6.622321546,6.227436162,0.940370551
C24H23Cl28,1292.304909,1292.305459,0.002905984,,C24H23Cl27,5.329148236,5.067250459,0.950855603
C24H22Cl29,1326.265937,1326.266487,0.002280463,,C24H22Cl28,4.280894477,4.11303415,0.960788492
C24H21Cl30,1360.226965,1360.227515,0.00178746,,C24H21Cl29,3.433087584,3.330819399,0.970211018
C24H20Cl31,1394.187993,1394.188543,0.00139948,,C24H20Cl30,2.748840702,2.691557267,0.979160875
C24H19Cl32,1428.149021,1428.149571,0.001094573,,C24H19Cl31,2.197687484,2.170594712,0.987672145
C24H18Cl33,1462.110049,1462.110599,0.000855261,,C24H18Cl32,1.754560406,1.74714865,0.995775719
C24H17Cl34,1496.071077,1496.071627,0.000667657,,C24H17Cl33,1.398905644,1.403801336,1.003499659
C24H16Cl35,1530.032105,1530.032655,0.000520754,,C24H16Cl34,1.113923853,1.126031665,1.010869515
C24H15Cl36,1563.993133,1563.993683,0.000405842,,C24H15Cl35,0.885924436,0.901790101,1.017908599
C24H14Cl37,1597.954161,1597.954711,0.000316043,,C24H14Cl36,0.703780304,0.721120201,1.024638224
C24H13Cl38,1631.915189,1631.915739,0.000245934,,C24H13Cl37,0.558470415,0.575826511,1.031077916
C24H12Cl39,1665.876217,1665.876767,0.000191244,,C24H12Cl38,0.442698087,0.459186639,1.037245591
C24H11Cl40,1699.837245,1699.837795,0.000148619,,C24H11Cl39,0.350574112,0.365704093,1.043157725
C24H10Cl41,1733.798273,1733.798823,0.000115422,,C24H10Cl40,0.277354837,0.290897932,1.048829488
C24H9Cl42,1767.759301,1767.759851,8.96E-05,,C24H9Cl41,0.219226528,0.231125021,1.054274877
C24H8Cl43,1801.720329,1801.720879,6.95E-05,,C24H8Cl42,0.173128502,0.183430829,1.059506823
C24H7Cl44,1835.681357,1835.681907,5.39E-05,,C24H7Cl43,0.136608511,0.145424855,1.064537292
C24H6Cl45,1869.642385,1869.642935,4.18E-05,,C24H6Cl44,0.10770487,0.115177151,1.069377373
C24H5Cl46,1903.603413,1903.603963,3.23E-05,,C24H5Cl45,0.08485064,0.091132757,1.074037358
C24H4Cl47,1937.564441,1937.564991,2.50E-05,,C24H4Cl46,0.066795948,0.07204122,1.07852681
C24H3Cl48,1971.525469,1971.526019,1.94E-05,,C24H3Cl47,0.052545144,0.056898752,1.082854627
C24H2Cl49,2005.486497,2005.487047,1.50E-05,,C24H2Cl48,0.041306093,0.044900925,1.087029101
C24H1Cl50,2039.447525,2039.448075,1.16E-05,,C24H1Cl49,0.032449324,0.035404093,1.091057965
C24Cl51,2073.4084,2073.40895,8.95E-06,,C24Cl50,0.025475196,0.027894028,1.094948523
C25H51Cl2,421.336781,421.337331,0.436046571,,C25H51Cl1,386.8359852,35.45293492,0.091648493
C25H50Cl3,455.297809,455.298359,0.330386876,,C25H50Cl2,421.071414,70.90586984,0.168393929
C25H49Cl4,491.255887,491.256437,0.320379959,,C25H49Cl3,455.5955102,106.3588048,0.233450072
C25H48Cl5,525.216915,525.217465,0.303434716,,C25H48Cl4,488.7033129,141.8117397,0.290179616
C25H47Cl6,559.177943,559.178493,0.275890297,,C25H47Cl5,523.4056384,177.2646746,0.338675516
C25H46Cl7,593.138971,593.139521,0.243878283,,C25H46Cl6,556.8419346,212.6726162,0.381926365
C25H45Cl8,629.097049,629.097599,0.23649158,,C25H45Cl7,591.4283817,248.1578203,0.419590652
C25H44Cl9,663.058077,663.058627,0.230382806,,C25H44Cl8,625.6081167,283.5324144,0.453210895
C25H43Cl10,697.019105,697.019655,0.21819761,,C25H43Cl9,658.4567061,318.7146053,0.484032742
C25H42Cl11,730.980133,730.980683,0.202064527,,C25H42Cl10,694.441905,354.4084688,0.510350061
C25H41Cl12,766.938211,766.938761,0.195944299,,C25H41Cl11,726.6681986,389.6005103,0.536146361
C25H40Cl13,800.899239,800.899789,0.193003817,,C25H40Cl12,759.0662972,424.4552299,0.559180709
C25H39Cl14,834.860267,834.860817,0.186119193,,C25H39Cl13,796.148711,460.521393,0.578436398
C25H38Cl15,868.821295,868.821845,0.176275147,,C25H38Cl14,829.0019538,495.4758078,0.597677491
C25H37Cl16,904.779373,904.779923,0.17093604,,C25H37Cl15,860.7656861,531.4616789,0.617428979
C25H36Cl17,938.740401,938.740951,0.169367127,,C25H36Cl16,897.4911038,566.5089239,0.631213971
C25H35Cl18,972.701429,972.701979,0.164992234,,C25H35Cl17,929.8113472,601.2115348,0.646595179
C25H34Cl19,1006.662457,1006.663007,0.158349158,,C25H34Cl18,961.3097569,637.5385858,0.663197873
C25H33Cl20,1042.620535,1042.621085,0.153553002,,C25H33Cl19,998.9302894,672.4047643,0.673124813
C25H32Cl21,1076.581563,1076.582113,0.152702988,,C25H32Cl20,1032.327157,706.8656082,0.684730227
C25H31Cl22,1110.542591,1110.543141,0.149730822,,C25H31Cl21,1063.387048,743.554118,0.699231874
C25H30Cl23,1136.515419,1136.515969,0.009454564,,C25H30Cl22,1101.570088,778.2451134,0.706487151
C25H29Cl24,1170.476447,1170.476997,0.007475063,,C25H29Cl23,12.59244359,812.486649,64.52176204
C25H28Cl25,1204.437475,1204.438025,0.005899749,,C25H28Cl24,10.19071186,9.328980225,0.915439505
C25H27Cl26,1238.398503,1238.399053,0.00464897,,C25H27Cl25,8.229574198,7.632960448,0.927503691
C25H26Cl27,1272.359531,1272.360081,0.003657944,,C25H26Cl26,6.632643251,6.227436162,0.938907148
C25H25Cl28,1306.320559,1306.321109,0.002874228,,C25H25Cl27,5.335622155,5.067250459,0.949701893
