"mzref","mzmatch","ppm"
452.8238756,452.824157714844,0.303266725244178
474.9254476,474.924438476562,-2.29475121637571
475.0845916,475.085845947266,2.47139138177869
486.7849036,486.784942626953,-0.00939502724574186
514.8162036,514.816162109375,-0.0805930829376229
534.7615816,534.763122558594,2.88158058987698
548.7772316,548.778442382812,2.20632843844447
570.7196596,570.721130371094,2.57704648685287
584.7353096,584.734741210938,-0.972045048791975
590.8241816,590.824157714844,-0.0404268426518031
612.7666096,612.766662597656,0.0864891385753279
626.7822596,626.782531738281,0.434183126766894
660.7432876,660.741455078125,-2.77342488288727
666.6730156,666.67333984375,0.486360993211962
674.7589376,674.7578125,-1.66741029614109
708.7199656,708.719909667969,-0.0789197905915281
742.6809936,742.679504394531,-2.00517514457533
756.6966436,756.697143554688,0.660706891873685
770.7122936,770.710693359375,-2.076313869963
784.7279436,784.726257324219,-2.1488667442086
798.7435936,798.742614746094,-1.22549202791354
806.6703716,806.670532226562,0.199122923317858
834.7016716,834.702331542969,0.790633337813672
854.6470496,854.649597167969,2.98084217338213
868.6626996,868.661437988281,-1.452360875317
