"mzref","mzmatch","mzshift"
452.8238756,452.824249267578,0.825194072688523
474.9254476,474.925933837891,1.02381940807366
486.7849036,486.784912109375,0.0174807701104764
495.0299696,495.028961181641,-2.03708547222948
509.0456196,509.0458984375,0.547765247857392
514.8162036,514.816223144531,0.0379640949895561
570.7196596,570.719360351562,-0.524335253686002
584.7353096,584.735595703125,0.489286554535576
590.8241816,590.824157714844,-0.0404268426518031
612.7666096,612.7666015625,-0.0131167395743356
618.6963376,618.695251464844,-1.7555222008519
626.7822596,626.782409667969,0.239425999183381
632.7119876,632.712036132812,0.0767060106462721
646.7276376,646.7265625,-1.66236903678602
660.7432876,660.742553710938,-1.11070225956629
666.6730156,666.673217773438,0.303257268231977
674.7589376,674.758239746094,-1.03422699178999
680.6886656,680.688049316406,-0.905382482375417
694.7043156,694.703125,-1.71382266273145
702.7902376,702.790344238281,0.151735575695041
708.7199656,708.719970703125,0.00720048146589562
728.6653436,728.664367675781,-1.33933118591417
756.6966436,756.696228027344,-0.549193206789843
826.6157496,826.614868164062,-1.06631882816749
854.6470496,854.646423339844,-0.732770512094813
888.6080776,888.609680175781,1.80346749218945
