SCCP 51.5,Area,%Cl,SCCP 63,Area,%Cl
C13H22Cl6,0.293982238,0.544593691,C13H22Cl6,0.017811799,0.544593691
C13H21Cl7,0.150046157,0.585171909,C13H21Cl7,0.138817414,0.585171909
C13H20Cl8,0.030821025,0.617673546,C13H20Cl8,0.34166961,0.617673546
C13H19Cl9,0,0.646470574,C13H19Cl9,0,0.646470574
C13H18Cl10,0,0.671597464,C13H18Cl10,0.126216972,0.671597464
C13H17Cl11,0,0.693919281,C13H17Cl11,0.005264041,0.693919281
C13H16Cl12,0,0.713362548,C13H16Cl12,0,0.713362548
C13H15Cl13,0,0.730258711,C13H15Cl13,0,0.730258711
C10H17Cl5,0.026735718,0.564029913,C10H17Cl5,0.004960145,0.564029913
C10H16Cl6,0.027698499,0.61001587,C10H16Cl6,0.06007949,0.61001587
C10H15Cl7,0,0.648963809,C10H15Cl7,0.090489501,0.648963809
C10H14Cl8,0,0.679450536,C10H14Cl8,0.030755352,0.679450536
C10H13Cl9,0,0.70652478,C10H13Cl9,0,0.70652478
C10H12Cl10,0,0.729148224,C10H12Cl10,0,0.729148224
C11H19Cl5,0.202664759,0.540036209,C11H19Cl5,0.023362602,0.540036209
C11H18Cl6,0.232004435,0.586515046,C11H18Cl6,0.202212174,0.586515046
C11H17Cl7,0.072810547,0.626189543,C11H17Cl7,0.497623842,0.626189543
C11H16Cl8,0,0.657507656,C11H16Cl8,0.385828007,0.657507656
C11H15Cl9,0,0.685441767,C11H15Cl9,0.124867993,0.685441767
C11H14Cl10,0,0.708874256,C11H14Cl10,0,0.708874256
C11H13Cl11,0,0.729870304,C11H13Cl11,0,0.729870304
C12H21Cl5,0.292591794,0.518017402,C12H21Cl5,0.012415192,0.518017402
C12H20Cl6,0.39142889,0.564770501,C12H20Cl6,0.092198595,0.564770501
C12H19Cl7,0.148128466,0.604976907,C12H19Cl7,0.384539987,0.604976907
C12H18Cl8,0.029326936,0.636957678,C12H18Cl8,0.549953889,0.636957678
C12H17Cl9,0,0.665603631,C12H17Cl9,0.290267991,0.665603631
C12H16Cl10,0,0.689720254,C12H16Cl10,0.053492898,0.689720254
C12H15Cl11,0,0.711427391,C12H15Cl11,0,0.711427391
C12H14Cl12,0,0.730319474,C12H14Cl12,0,0.730319474
C13H23Cl5,0.185297649,0.497740756,C13H23Cl5,0,0.497740756
C13H22Cl6,0.307031585,0.544593691,C13H22Cl6,0.01811416,0.544593691
C13H21Cl7,0.163481918,0.585171909,C13H21Cl7,0.153022168,0.585171909
C13H20Cl8,0.041081937,0.617673546,C13H20Cl8,0.382042628,0.617673546
