mz10ppm,matches10ppm,mz5ppm,matches5ppm,mz1ppm,matches1ppm
179.813736,0,179.813736,0,179.813736,0
179.9506582,2,179.9506582,2,179.9506582,0
179.9798787,10,179.9798787,8,179.9798787,0
179.9798787,10,179.9798787,8,179.9798787,0
180.0382131,33,180.0382131,18,180.0382131,18
180.0666351,30,180.0666351,17,180.0666351,17
180.0666351,30,180.0666351,17,180.0666351,17
180.074173,54,180.074173,51,180.074173,0
180.0742798,54,180.0742798,52,180.0742798,0
180.0790965,41,180.0790965,34,180.0790965,20
180.0791016,41,180.0791016,34,180.0791016,20
181.0142415,6,181.0142415,5,181.0142415,3
181.0505371,53,181.0505371,40,181.0505371,36
181.0699565,25,181.0699565,17,181.0699565,16
181.0869954,69,181.0869954,60,181.0869954,58
181.1233114,69,181.1233114,64,181.1233114,64
181.123408,69,181.123408,64,181.123408,64
181.1596018,69,181.1596018,69,181.1596018,39
181.1597646,69,181.1597646,69,181.1597646,69
181.1597646,69,181.1597646,69,181.1597646,69
182.0123545,7,182.0123545,2,182.0123545,0
182.0737457,21,182.0737457,15,182.0737457,2
182.0737457,21,182.0737457,15,182.0737457,2
182.0823008,31,182.0823008,28,182.0823008,25
183.0662842,43,183.0662842,32,183.0662842,29
183.0662842,43,183.0662842,32,183.0662842,29
183.0816956,13,183.0816956,9,183.0816956,7
183.0816956,13,183.0816956,9,183.0816956,7
183.1026611,53,183.1026611,45,183.1026611,44
183.1027018,53,183.1027018,45,183.1027018,44
183.1390381,63,183.1390381,60,183.1390381,60
183.1390381,63,183.1390381,60,183.1390381,60
183.1390533,63,183.1390533,60,183.1390533,60
184.1342519,16,184.1342519,15,184.1342519,15
184.1423696,60,184.1423696,60,184.1423696,60
185.0374756,42,185.0374756,39,185.0374756,38
185.06073,14,185.06073,12,185.06073,11
185.060791,14,185.060791,12,185.060791,11
185.0819092,37,185.0819092,27,185.0819092,23
185.08196,37,185.08196,27,185.08196,23
185.0972137,18,185.0972137,18,185.0972137,16
185.1182302,47,185.1182302,33,185.1182302,33
185.1182912,47,185.1182912,33,185.1182912,33
185.1183573,47,185.1183573,33,185.1183573,33
185.1544393,48,185.1544393,45,185.1544393,0
185.1544393,48,185.1544393,45,185.1544393,0
185.1545207,48,185.1545207,45,185.1545207,36
185.1545359,48,185.1545359,45,185.1545359,36
185.154541,48,185.154541,45,185.154541,36
185.1546529,48,185.1546529,45,185.1546529,45
185.8135376,0,185.8135376,0,185.8135376,0
185.8135376,0,185.8135376,0,185.8135376,0
186.0560354,15,186.0560354,9,186.0560354,5
186.0672862,13,186.0672862,1,186.0672862,0
186.1498871,12,186.1498871,11,186.1498871,11
187.0611623,21,187.0611623,10,187.0611623,10
187.0764618,20,187.0764618,18,187.0764618,16
187.0764821,20,187.0764821,18,187.0764821,16
187.1127472,44,187.1127472,43,187.1127472,42
187.1338298,52,187.1338298,45,187.1338298,45
187.1702881,17,187.1702881,13,187.1702881,13
188.0465495,11,188.0465495,4,188.0465495,1
188.0717417,16,188.0717417,16,188.0717417,16
188.0829671,10,188.0829671,1,188.0829671,1
188.0842438,12,188.0842438,10,188.0842438,5
188.111262,3,188.111262,2,188.111262,0
188.9890645,18,188.9890645,6,188.9890645,1
189.0557149,19,189.0557149,16,189.0557149,14
189.0920359,29,189.0920359,27,189.0920359,27
