"mz10ppm","matches10ppm"
151,44
152,9
153,4
154,26
155,46
156,3
157,49
159,30
160,6
161,34
163,57
164,53
165,44
167,49
168,44
169,92
170,12
171,57
172,40
173,44
174,15
175,46
176,16
177,47
178,36
179,28
180,41
181,69
182,21
183,53
184,38
185,47
186,13
187,20
188,12
189,35
190,35
191,24
192,23
193,55
194,25
195,44
196,13
197,55
198,26
199,46
200,33
201,16
202,10
203,32
204,8
205,63
206,44
207,39
208,12
209,18
210,19
211,31
212,12
213,31
214,29
215,14
216,13
217,13
218,16
219,28
220,24
221,30
222,19
223,25
224,7
225,24
226,10
227,27
228,27
229,14
230,13
231,17
232,8
233,16
234,16
235,25
236,12
237,24
238,6
239,19
240,19
241,23
242,17
243,17
244,5
245,16
246,9
247,11
248,8
249,24
250,10
251,13
252,10
253,27
254,7
255,21
256,8
257,18
258,10
259,11
260,5
261,13
262,16
263,14
264,9
265,13
266,7
267,12
268,11
269,16
270,7
271,10
272,9
273,7
274,10
275,12
276,9
277,13
278,9
279,7
280,7
281,17
282,6
283,15
284,10
285,13
286,6
287,9
288,4
289,8
290,4
291,9
292,8
293,10
294,7
295,12
296,9
297,8
298,7
299,8
300,16
301,11
302,11
303,6
304,7
305,9
306,10
307,9
308,6
309,7
310,8
311,8
312,4
313,10
314,4
315,9
316,5
317,6
318,4
319,6
320,5
321,6
322,6
323,11
324,9
325,8
326,6
327,11
328,5
329,8
330,5
331,8
332,12
333,7
334,9
335,8
336,5
337,10
338,5
339,9
340,8
341,6
342,6
343,8
344,8
345,10
346,8
347,8
348,7
349,7
350,5
351,4
352,7
353,6
354,5
355,9
356,10
357,7
358,5
359,5
360,6
361,8
362,4
363,5
364,5
365,4
366,3
367,8
368,7
369,7
370,5
371,7
372,8
373,7
374,5
375,4
376,4
377,6
378,4
379,5
380,4
381,4
382,5
383,7
384,7
385,6
386,12
387,6
388,3
389,8
390,5
391,5
392,5
393,6
394,7
395,6
396,4
397,5
398,7
399,5
400,6
401,7
402,6
403,6
404,8
405,3
406,5
407,6
408,5
409,4
410,3
411,6
412,5
413,5
414,4
415,7
416,5
417,5
418,11
419,5
420,4
421,5
422,5
423,7
424,7
425,4
426,5
427,8
428,7
429,9
430,5
431,6
432,5
433,6
434,5
435,4
436,2
437,5
438,4
439,4
440,6
441,4
442,4
443,4
444,4
445,6
446,3
447,5
448,6
449,5
450,4
451,4
452,4
453,4
454,4
455,4
456,3
457,4
458,5
459,4
460,3
461,6
462,4
463,4
464,2
465,6
466,4
467,2
468,3
469,6
470,5
471,7
472,4
473,6
474,4
475,6
476,3
477,3
478,5
479,3
480,3
481,4
482,2
483,5
484,2
485,5
486,2
487,6
488,2
489,4
490,4
491,4
492,3
493,4
494,5
495,4
496,3
497,5
498,2
499,4
500,3
501,3
502,2
503,5
504,3
505,3
506,6
507,4
508,4
509,4
510,3
511,6
512,2
513,4
514,2
515,5
516,3
517,3
518,2
519,3
520,2
521,4
522,2
523,2
524,1
525,3
526,6
527,3
528,1
529,3
530,2
531,3
532,2
533,4
534,3
535,3
536,2
537,3
538,2
539,3
540,3
541,4
542,3
543,4
544,2
545,3
546,4
547,6
548,5
549,5
550,2
551,2
552,3
553,3
554,4
555,3
556,2
557,2
558,3
559,2
560,2
561,2
562,2
563,2
564,2
565,2
566,2
567,2
568,3
569,2
570,1
571,3
572,3
573,4
574,2
575,2
576,2
577,2
