"mz","ppm"
204.956970214844,-5.93430873404371
218.045104980469,9.37420553252798
254.980209350586,-13.1481001720005
276.094329833984,8.39804807931822
290.948516845703,13.3886156171563
100,NA
100,NA
355.097686767578,-6.9631971611851
368.058349609375,-14.3458635885057
404.017791748047,9.36464570323806
405.034759521484,5.39813740821294
100,NA
100,NA
593.129455566406,-6.93003031584193
204.956909179688,-6.2321019439285
218.045135498047,9.51416677681174
254.981231689453,-9.13866968334637
276.094299316406,8.2875139932635
290.948486328125,13.2837242534059
100,NA
100,NA
355.097839355469,-6.53349335344021
100,NA
100,NA
405.034912109375,5.77486733256726
100,NA
100,NA
593.130310058594,-5.48938989944708
204.956787109375,-6.82768836369808
218.04248046875,-2.66246147587547
254.980133056641,-13.4473114024971
276.093902587891,6.85057087455221
290.948455810547,13.1788328896554
100,NA
333.038269042969,-12.1586861714845
355.097564697266,-7.30696020738102
100,NA
404.016540527344,6.26767213940087
405.034973144531,5.92555930230899
100,NA
472.102355957031,14.8017911283478
593.12939453125,-7.03293320272727
204.956787109375,-6.82768836369808
218.045120239258,9.44418615466986
254.979949951172,-14.1654183556889
276.093933105469,6.96110496060693
290.946838378906,7.61959061088036
100,NA
333.039306640625,-9.04317322035313
355.097503662109,-7.47884173047898
368.063201904297,-1.16255904816942
404.015411376953,3.47284233788926
405.034484863281,4.72002354437516
100,NA
100,NA
593.130004882812,-6.00390433387381
204.956344604492,-8.98668913536279
218.044952392578,8.67439931110917
254.980361938477,-12.5496777110074
276.094146728516,7.73484356298993
290.948425292969,13.0739415259049
100,NA
333.043762207031,4.33520592274017
355.097412109375,-7.73666401512592
100,NA
100,NA
405.034729003906,5.32279142334207
443.012298583984,-10.9772632665918
472.095611572266,0.515726868135925
593.12939453125,-7.03293320272727
