"mz","ppm"
204.95783996582,-1.69075549318549
218.0458984375,13.0131978839058
254.980743408203,-11.0536215585245
276.094757080078,9.94552528408422
290.948547363281,13.4935069809068
100,NA
100,NA
355.097991943359,-6.10378954569531
368.058654785156,-13.5167249381701
404.018096923828,10.120005109052
405.035064697266,6.15159725692158
100,NA
100,NA
593.129699707031,-6.51841876830054
204.957763671875,-2.06299700554147
218.045867919922,12.873236639622
254.981460571289,-8.24103599185662
276.094451904297,8.84018442353707
290.948669433594,13.9130724359087
100,NA
100,NA
355.098083496094,-5.84596726104837
100,NA
100,NA
405.035369873047,6.90505710563023
100,NA
100,NA
593.130798339844,-4.66616680436431
204.957672119141,-2.50968682036865
218.043365478516,1.3964146083536
254.980712890625,-11.1733060507231
276.094268798828,8.17697990720879
290.948455810547,13.1788328896554
100,NA
333.03857421875,-11.2423588329164
355.097991943359,-6.10378954569531
100,NA
404.016937255859,7.24963936695901
405.03564453125,7.58317096946801
100,NA
100,NA
593.130432128906,-5.28358412567639
204.957748413086,-2.13744530801267
218.045913696289,13.0831785060476
254.980316162109,-12.7292044493053
276.094299316406,8.2875139932635
290.947235107422,8.9831783396365
100,NA
333.039855957031,-7.39378401093067
355.09814453125,-5.67408573795041
368.063842773438,0.578632117535377
404.015563964844,3.85052204079623
405.035400390625,6.9804030905011
100,NA
100,NA
593.131408691406,-3.63713793551085
204.957305908203,-4.29644607967738
218.045837402344,12.7332753953382
254.980987548828,-10.0961456209354
276.094665527344,9.61392302592008
290.948822021484,14.4375292546611
100,NA
333.045043945312,8.18378074472592
355.097839355469,-6.53349335344021
100,NA
100,NA
405.035064697266,6.15159725692158
443.012969970703,-9.46177633562585
472.096069335938,1.48536923873854
593.1298828125,-6.2097101076445
