mz,minintensity,sampleID,,IsUnique,,mz,,lockmass mz
173.044,1280742.25,16,,FALSE,,,,
199.06,118334.8047,16,,FALSE,,,,
201.076,150723.75,16,,FALSE,,,,
201.112,46703.46094,16,,FALSE,,,,
213.076,90826.02344,16,,FALSE,,,,
112.984,229006.875,17,,FALSE,,,,
129.054,461424.0625,17,,FALSE,,,,
132.922,11728.62305,17,,FALSE,,,,
143.07,449382.6563,17,,FALSE,,,,
148.06,233862.4531,17,,FALSE,,,,
157.086,113375.6953,17,,FALSE,,,,
199.06,88178.16406,17,,FALSE,,,,
201.076,116624.7578,17,,FALSE,,,,
213.076,71604.96094,17,,FALSE,,,,
112.984,190595.25,18,,FALSE,,,,
117.054,147481.9688,18,,FALSE,,,,
129.054,539043.25,18,,FALSE,,,,
131.07,71260.39844,18,,FALSE,,,,
143.07,389166.5,18,,FALSE,,,,
148.06,257300.5,18,,FALSE,,,,
157.086,122138.8281,18,,FALSE,,,,
201.076,135939.8594,18,,FALSE,,,,
213.076,82938.95313,18,,FALSE,,,,
112.984,196926.5313,19,,FALSE,,,,
117.054,196364.3906,19,,FALSE,,,,
129.054,586550.625,19,,FALSE,,,,
132.922,8584.134766,19,,FALSE,,,,
143.07,446530.4688,19,,FALSE,,,,
148.06,230109.5469,19,,FALSE,,,,
157.086,135298.0781,19,,FALSE,,,,
173.044,1198842.5,19,,FALSE,,,,
201.076,155283.1875,19,,FALSE,,,,
201.112,59174.86328,19,,FALSE,,,,
213.076,87470.625,19,,FALSE,,,,
112.984,209152.5156,20,,FALSE,,,,
117.054,181603.6563,20,,FALSE,,,,
129.054,474319.5,20,,FALSE,,,,
131.07,66650.82813,20,,FALSE,,,,
132.922,10797.68457,20,,FALSE,,,,
138.018,25828.17383,20,,FALSE,,,,
143.07,417985.0313,20,,FALSE,,,,
148.06,208824.5469,20,,FALSE,,,,
157.086,115550.3203,20,,FALSE,,,,
187.06,280982.4375,20,,FALSE,,,,
199.06,106005.4609,20,,FALSE,,,,
201.076,127728.6953,20,,FALSE,,,,
213.076,84012,20,,FALSE,,,,
112.984,238237.4063,21,,FALSE,,,,
129.054,545872.125,21,,FALSE,,,,
132.922,11924.29883,21,,FALSE,,,,
143.07,405980.0625,21,,FALSE,,,,
148.06,240837.9063,21,,FALSE,,,,
157.086,130551.0703,21,,FALSE,,,,
199.06,122083.7656,21,,FALSE,,,,
201.076,152223.9375,21,,FALSE,,,,
213.076,88161.82031,21,,FALSE,,,,
100.932,2224.051514,22,,FALSE,,,,
112.984,245206.4844,22,,FALSE,,,,
117.054,135204.0156,22,,FALSE,,,,
129.054,571610.3125,22,,FALSE,,,,
132.922,12504.62207,22,,FALSE,,,,
138.018,26162.41797,22,,FALSE,,,,
143.07,460151.1875,22,,FALSE,,,,
148.06,220898.3438,22,,FALSE,,,,
157.086,136272.6719,22,,FALSE,,,,
201.076,140805.2031,22,,FALSE,,,,
201.112,40795.69141,22,,FALSE,,,,
112.984,210894.9063,23,,FALSE,,,,
117.054,186862.4688,23,,FALSE,,,,
121.028,123510.8906,23,,FALSE,,,,
129.054,563040.0625,23,,FALSE,,,,
132.922,11338.80469,23,,FALSE,,,,
143.07,409607.9688,23,,FALSE,,,,
148.06,240462.7188,23,,FALSE,,,,
157.086,126753.0313,23,,FALSE,,,,
187.06,171719.9375,23,,FALSE,,,,
201.076,127320.8516,23,,FALSE,,,,
100.932,2011.140991,24,,FALSE,,,,
112.984,231018.1875,24,,FALSE,,,,
129.054,516753.0313,24,,FALSE,,,,
143.07,420599.75,24,,FALSE,,,,
148.06,234122.2656,24,,FALSE,,,,
157.086,128847.7891,24,,FALSE,,,,
201.076,124485.3203,24,,FALSE,,,,
213.076,81001.24219,24,,FALSE,,,,
100.932,3007.303467,25,,FALSE,,,,
112.984,232882.5938,25,,FALSE,,,,
117.054,177965.6875,25,,FALSE,,,,
129.054,528779.0625,25,,FALSE,,,,
143.07,409247.7188,25,,FALSE,,,,
148.06,255686.3906,25,,FALSE,,,,
157.086,122398.5,25,,FALSE,,,,
187.06,182708.1875,25,,FALSE,,,,
201.076,133605.125,25,,FALSE,,,,
213.076,85243.76563,25,,FALSE,,,,
112.984,206263.3281,26,,FALSE,,,,
129.054,568767.3125,26,,FALSE,,,,
143.07,400790.5938,26,,FALSE,,,,
148.06,249420.875,26,,FALSE,,,,
157.086,129960.3672,26,,FALSE,,,,
201.076,148101.2813,26,,FALSE,,,,
201.112,44096.625,26,,FALSE,,,,
112.984,193178.9375,27,,FALSE,,,,
129.054,439719.7813,27,,FALSE,,,,
132.922,11508.64355,27,,FALSE,,,,
143.07,398440.0938,27,,FALSE,,,,
148.06,227093.7656,27,,FALSE,,,,
157.086,117733.9844,27,,FALSE,,,,
187.06,252808.6719,27,,FALSE,,,,
199.06,105702.5781,27,,FALSE,,,,
201.076,140576.1875,27,,FALSE,,,,
201.112,39894.76953,27,,FALSE,,,,
213.076,82610.42188,27,,FALSE,,,,
100.932,2510.551025,28,,FALSE,,,,
112.984,204934.9844,28,,FALSE,,,,
129.054,471647.5,28,,FALSE,,,,
132.922,11292.99512,28,,FALSE,,,,
143.07,435075.5938,28,,FALSE,,,,
148.06,229201.4375,28,,FALSE,,,,
157.086,125078.2031,28,,FALSE,,,,
169.086,37936.96875,28,,FALSE,,,,
187.06,215112.3281,28,,FALSE,,,,
201.076,141584.7031,28,,FALSE,,,,
213.076,82573.22656,28,,FALSE,,,,
112.984,200655.6563,29,,FALSE,,,,
129.054,484962.25,29,,FALSE,,,,
131.07,72743.82813,29,,FALSE,,,,
143.07,419524.1563,29,,FALSE,,,,
148.06,172783.2031,29,,FALSE,,,,
157.086,96322.29688,29,,FALSE,,,,
201.076,131991.5781,29,,FALSE,,,,
213.076,80757.54688,29,,FALSE,,,,
112.984,221097.5313,30,,FALSE,,,,
129.054,322214.8125,30,,FALSE,,,,
143.07,349681.4688,30,,FALSE,,,,
148.06,210098.3594,30,,FALSE,,,,
187.06,173760.4219,30,,FALSE,,,,
201.076,142559.2344,30,,FALSE,,,,
112.984,209982.7344,31,,FALSE,,,,
117.054,131239.7188,31,,FALSE,,,,
129.054,486234.5625,31,,FALSE,,,,
131.07,73188.4375,31,,FALSE,,,,
143.07,356138.2813,31,,FALSE,,,,
145.086,49197.33203,31,,FALSE,,,,
148.06,190778.0625,31,,FALSE,,,,
157.086,119104.2188,31,,FALSE,,,,
187.06,240219.0938,31,,FALSE,,,,
201.076,137721.2031,31,,FALSE,,,,
201.112,49888.20703,31,,FALSE,,,,
213.076,81463,31,,FALSE,,,,
112.984,228414.8594,32,,FALSE,,,,
129.054,426493.3438,32,,FALSE,,,,
143.07,363561.5,32,,FALSE,,,,
148.06,232056.9844,32,,FALSE,,,,
