"mz","rt","X700_900_Neg_JeansA.mzXML","X700_900_Neg_JeansB.mzXML","X700_900_Neg_JeansC.mzXML","X700_900_Neg_JeansD.mzXML","X700_900_Neg_JeansDx.mzXML","X700_900_Neg_JeansE.mzXML","X700_900_Neg_JeansF.mzXML","X700_900_Neg_JeansG.mzXML","X700_900_Neg_JeansGx.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore"
127.076471964518,2.88171666666667,202338.34375,85687.5859375,102013.359375,77111.75,72975.546875,116776.6484375,110296.59375,84904.890625,57012.5078125,1,"C7H11O2;C7H11O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C6H10;C6H10;C6H10;C6H10;C6H10;C6H10;C6H10;C6H10;C6H10;C6H10","0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483;0.00994838685152483","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929;0.0198987177046929","CC(C)\C=C(/C)C([O-])=O;CCC\C=C(/C)C([O-])=O;CC(C)COC(=O)C=C;CCCCC(=O)C(C)=O;CCOC1CCC=CO1;OC(=O)C1CCCCC1;CCCCOC(=O)C=C;CCOC(=O)C=C(C)C;CC(=O)OCC=C(C)C;CCOC(=O)CCC=C;CCCC(=O)OCC=C;CCCOC(=O)C(C)=C;CCC/C=C/C(=O)OC;CC/C=C/CC(=O)OC;CCC(C)OC(=O)C=C;O=COC1CCCCC1;CCCCOC(=O)C=C;CC(C)OC(=O)C(C)=C;CC(=C)CCOC(C)=O;CCOC(=O)C(/C)=C/C;CCC(=O)CC(=O)CC;COC1CCCCC1=O;CCCC/C=C/C(O)=O;CCOC(C)OCC#C;C/C=C(C)/COC(C)=O;CC(C)(OCCO)C#C;CC\C=C/CCOC=O;CC\C=C/COC(C)=O;C/C=C(C)/CCOC=O;CCOC(=O)C(C)(O)CC;CCCCOC(=O)C(C)O;CCOCCC(=O)OCC;COC1CCCC(OC)O1;COC(C)CCOC(C)=O;CCC1(CO)COCOC1;CCC(C)OC(=O)C(C)O;CC(C)OCCOC(C)=O;CCCC(=O)OCC(C)O;CCCCOC(=O)C(C)O;CCCC(=O)OCC(C)O;CC(C)CCOCC(O)=O;CCOC(C)COC(C)=O;C1CCC=CC1;C=CCCC=C;C/C=C/CC=C;CCCCC#C;CC(C)=CC=C;CC(C=C)C=C;C/C=C/C(C)=C;C=C1CCCC1;CCCCC#C;C/C=C/C=C/C","16302;18856;343;1005;1057;2591;4150;5913;6894;8083;8159;8354;8562;8563;9639;11190;11515;11561;11803;12104;13007;13014;14792;15666;15745;19973;20930;23166;41032;897;4039;6173;8794;11250;11796;15641;15738;19302;21105;22574;25849;45405;2961;5498;5500;6023;6474;6716;6749;7473;14495;28904","[M]-;[M]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-",0,"0;0;-0.5;-0.5;-0.5;0;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;0;-0.5;-0.5;0;-0.5;-0.5;-0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0.5;0.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
128.035283406576,0.710453333333333,36188.20703125,35980.8671875,37151.453125,40507.578125,35105.8046875,40890.41015625,158168.40625,86034.296875,123777.7109375,7,"C5H7NO3;C5H7NO3;C5H7NO3;C5H9NO4;C5H9NO4;C5H9NO4;C5H9NO4;C7H11ClO;C7H11ClO;C7H8;C7H8;C7H8","0.00990100996425233;0.00990100996425233;0.00990100996425233;0.00990100996425233;0.00990100996425233;0.00990100996425233;0.00990100996425233;-0.534281149072614;-0.534281149072614;-0.534281149072614;-0.534281149072614;-0.534281149072614","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0198513408174204;0.0198513408174204;0.0198513408174204;0.0198513408174204;0.0198513408174204;0.0198513408174204;0.0198513408174204;-0.524330818219446;-0.524330818219446;-0.524330818219446;-0.524330818219446;-0.524330818219446","OC(=O)C1CCC(=O)N1;CC1(C)OC(=O)NC1=O;CCOC(=O)CN=C=O;NC(CCC(O)=O)C(O)=O;NC(CCC(O)=O)C(O)=O;CCOC(=O)C(C)[N+]([O-])=O;NC(CCC(O)=O)C(O)=O;ClC1CCCCCC1=O;ClC(=O)C1CCCCC1;Cc1ccccc1;C1C2C=CC1C=C2;C#CCCCC#C","2583;6053;6144;9592;130;6202;9349;5232;8980;12733;2896;3358","[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M+Cl]-;[M+Cl]-;[M+Cl]-",0,"0;-0.5;-0.5;0;0;0;0;0;0;-0.5;-0.5;-0.5","1;1;1;0;0;0;0;0;0;0;0;0"
129.01931254069,7.95551666666667,112847.5859375,106240.453125,198614.59375,146798.546875,100392.1171875,121384.5234375,143537.34375,109155.453125,122833.1015625,3,"C5H6O4;C5H6O4;C5H6O4","0.00850256932722982;0.00850256932722982;0.00850256932722982","0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0184529001803979;0.0184529001803979;0.0184529001803979","OC(=O)CC(=C)C(O)=O;C\C(=C/C(O)=O)C(O)=O;COC(=O)\C=C/C(O)=O","2535;4829;9693","[M-H]-;[M-H]-;[M-H]-",0,"0;0;0","1;1;1"
129.975789388021,0.741121666666667,102886.046875,109091.609375,177885.421875,97533.6015625,129287.0546875,165129.921875,110655.40625,117039.109375,124183.8984375,3,"0","0","0","0","0","0","0",0,"0","0"
128.928482055664,7.88913333333333,100271.078125,125067.84375,122264.390625,152274.4375,65968.875,121781.8828125,192688.015625,170334.09375,118154.9765625,7,"0","0","0","0","0","0","0",0,"0","0"
128.949584960938,7.29951666666667,89871.28125,126571.8671875,97275.9609375,118963.546875,103807.390625,159703.625,164683.578125,1341975.625,128341.9375,8,"0","0","0","0","0","0","0",0,"0","0"
130.944137573242,0.741295,521641.5,547372.8125,510525.28125,544759.625,501957.53125,567487.75,571327.5,586810.0625,563914.9375,8,"0","0","0","0","0","0","0",0,"0","0"
130.944152832031,8.00716666666667,866080.75,877103.375,765578.8125,1124322.5,543335.3125,968664.6875,1670519.5,1040049.5,1133409.25,7,"0","0","0","0","0","0","0",0,"0","0"
131.944346110026,7.29475,84563.359375,104021.5546875,86574.28125,119501.1796875,51627.74609375,99713.859375,202504.9375,143193.671875,124640.359375,7,"0","0","0","0","0","0","0",0,"0","0"
132.86789449056,9.68103333333333,693711.0625,708920.25,678600.3125,808066.75,749858.5,700683.375,855990.75,785500.6875,716714.3125,7,"0","0","0","0","0","0","0",0,"0","0"
