"mz","rt","X500_700_Neg_JeansA.mzXML","X500_700_Neg_JeansB.mzXML","X500_700_Neg_JeansC.mzXML","X500_700_Neg_JeansD.mzXML","X500_700_Neg_JeansDx.mzXML","X500_700_Neg_JeansE.mzXML","X500_700_Neg_JeansF.mzXML","X500_700_Neg_JeansG.mzXML","X500_700_Neg_JeansGx.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore","MS2score","allscore"
543.320861816406,7.89996666666667,127284.4921875,67755.7734375,53204.19921875,153852.71875,25417.513671875,100,38303.890625,29069.212890625,7538.82568359375,4,"0","0","0","0","0","0","0","0","0","0","0","0"
544.324279785156,7.69396666666667,127284.4921875,67755.7734375,293654.625,153852.71875,25417.513671875,100,38303.890625,29069.212890625,7538.82568359375,3,"0","0","0","0","0","0","0","0","0","0","0","0"
544.966430664062,4.87196666666667,100991.28125,97820.109375,97965.1328125,85885.703125,80187.359375,82679.8203125,167023.015625,131602.015625,126959.8359375,7,"0","0","0","0","0","0","0","0","0","0","0","0"
545.820332845052,2.00956666666667,98717.03125,105279.1171875,101607.1640625,119619.6875,104203.921875,102909.09375,117994.3359375,117698.0703125,99137.671875,4,"0","0","0","0","0","0","0","0","0","0","0","0"
553.266581217448,6.54395,46707.1484375,30960.72265625,97270.375,28879.626953125,33203.22265625,32748.71484375,154950.890625,34883.92578125,30367.232421875,7,"0","0","0","0","0","0","0","0","0","0","0","0"
553.284993489583,5.13388333333333,1010329.1875,1176780.5,2302895,1031904.75,891173.5625,919966.5625,849239.9375,822163.3125,1088151.125,3,"C38H38N2O2","-0.0142233853971511","-4.53902530633439","-5.55324869173154","O=C1c2ccccc2C(=O)c3c(Nc4ccc(cc4)C5CCCCC5)ccc(Nc6ccc(cc6)C7CCCCC7)c13","37220","[M-H]-","0","-0.5","1","0.835929586645158","0"
553.285217285156,8.91346666666667,89006.6640625,53692.3984375,100,56712.58203125,124160.3203125,55457.85546875,31878.072265625,24191.626953125,40293.51171875,5,"C38H38N2O2;C31H40N4O3","-0.00214475061893438;-0.595255421596936","-3.87423393740974;-4.46122331008069","-3.87637868802867;-5.05647873167763","O=C1c2ccccc2C(=O)c3c(Nc4ccc(cc4)C5CCCCC5)ccc(Nc6ccc(cc6)C7CCCCC7)c13;CCC(C)(C)c1ccc(Oc2ccc(N)cc2C(=O)Nc3ccc(NNC(C)=O)cc3)c(c1)C(C)(C)CC","37220;20864","[M-H]-;[M+Cl]-","0;0","-0.5;-0.5","1;0","0;0","0;0"
554.288146972656,5.13388333333333,324858.875,325599.375,642444.875,275611.375,266823.6875,251875.390625,221819.234375,192755.21875,302795.21875,3,"0","0","0","0","0","0","0","0","0","0","0","0"
552.892761230469,7.2946,100,100,100,100,100,100,131370.171875,106639.8828125,29133.337890625,7,"0","0","0","0","0","0","0","0","0","0","0","0"
553.285095214844,5.10466666666667,77335.1796875,91076.21875,180188.6875,61280.29296875,59461.84375,72413.1484375,56780.80859375,53860.3359375,70338.3984375,3,"C38H38N2O2","-0.0800663560037634","-4.37439449406304","-5.2044608500668","O=C1c2ccccc2C(=O)c3c(Nc4ccc(cc4)C5CCCCC5)ccc(Nc6ccc(cc6)C7CCCCC7)c13","37220","[M-H]-","0","-0.5","1","0.835929586645158","0"
